claim_id,borrower,question,evidence_found,source_type,source_url,local_path,source_location,what_it_proves,what_it_does_not_prove,next_required_document,status
ATWELL-BR-001,Atwell,"Did Atwell have a named bank facility before the 2026 Ares/Antares financing?","Business Wire and ABF Journal show a 200M USD senior credit facility in January 2024 led by Bank of America, with U.S. Bank, TD Bank, and Old National Bank also in the lending group.",borrower credit facility release,https://www.businesswire.com/news/home/20240125865095/en/Atwell-enters-into-$200-million-senior-credit-facility-with-lending-group-led-by-Bank-of-America,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/atwell-2024-bank-of-america-credit-facility.html,"official web-rendered source; direct local download blocked","Prior bank-led facility existed and had a disclosed 200M USD amount.","Whether that facility was repaid, amended, upsized, or left in place after the 2026 Advent transaction.","Payoff letter, credit-agreement termination, UCC termination/amendment, rating report, or lender presentation.",proven-prior-bank-facility
ATWELL-BR-002,Atwell,"Is there a locally captured corroborating source for the 2024 bank facility?","ABF Journal repeats the 200M USD Bank of America-led senior credit facility and says it increased capacity for organic and acquisition growth.",trade publication corroboration,https://www.abfjournal.com/bank-of-america-leads-200mm-credit-facility-for-atwell/,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/atwell-2024-bank-of-america-credit-facility-abf-journal.html,lines 572 and 615-619,"Corroborates the prior bank facility and purpose language in a locally captured page.","It is not the loan agreement and does not disclose covenants, maturity, collateral, or payoff.","Original credit agreement, amendment history, or borrower/lender closing documents.",corroborated-prior-bank-facility
ATWELL-BR-003,Atwell,"Did Ares finance the 2026 Advent/Atwell transaction?","Ares' Q2 2026 U.S. direct-lending release lists Atwell and says Ares served as administrative agent, joint lead arranger, and joint bookrunner for a senior secured facility supporting Advent's acquisition of Atwell.",asset-manager direct-lending release,https://ir.ares.com/news/ares-management-announces-second-quarter-2026-us-direct-lending-origination-activity/3a0619d9-6b06-4091-84af-556ab80b0f8d,raw/primary-sources/capital-flow/ares/q2-2026/ares-q2-2026-us-direct-lending-origination-activity.html,official web-rendered source used in Ares extraction table,"Ares was a lead financing party on the 2026 sponsor acquisition facility.","Amount, pricing, lender group, and whether proceeds repaid the 2024 bank facility.","Debt commitment letter, rating-agency report, final credit agreement, or sponsor financing exhibit.",proven-ares-2026-facility-role
ATWELL-BR-004,Atwell,"Does another private-credit lender source identify the same 2026 financing?","Antares' private-credit page lists Advent International / Atwell as an undisclosed first-lien credit facility where Antares was joint lead arranger in April 2026.",private-credit transaction listing,https://www.antares.com/our-platform/private-credit/,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/antares-private-credit-atwell-transaction.html,lines 1446-1451,"There was at least one other private-credit lender or arranger around the Atwell first-lien facility.","It does not identify Ares allocation, total size, bank payoff, or revolver/back-office bank roles.","Final lender list, administrative-agent notice, debt schedule, or rating-agency capital-structure table.",proven-private-credit-co-lender-clue
ATWELL-BR-005,Atwell,"What did the operating-company/sponsor announcement say the 2026 investment was for?","Atwell says Advent agreed to make a significant investment in Atwell, a critical-infrastructure engineering, consulting, and construction services firm with 2,000 professionals; the release says the investment supports talent, technology, geographic reach, corporate services, digital platforms, and operational infrastructure.",company transaction announcement,https://atwell.com/news-and-insights/atwell-partners-with-advent-international-to-accelerate-next-phase-of-growth/,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/atwell-2026-advent-company-announcement.html,lines 301 and 306-316,"The borrower is an operating infrastructure-services business and the transaction has growth/investment language.","It does not mention debt financing or repayment of the 2024 bank facility.","Financing appendix, lender announcement, rating report, or post-close debt schedule.",proven-operating-destination
ATWELL-BR-006,Atwell,"Can we currently claim private credit replaced the 2024 bank facility?","No direct payoff, termination, repayment, amendment, or coexistence evidence was found in the current source set or targeted web search.",negative evidence log,local-search-and-web-search,analysis/company-first-principles/capital-flow-atwell-bank-replacement-test.md,"current pass search terms documented in page","The correct current claim is that Atwell is a live bank-replacement candidate.","It does not prove bank displacement.","Debt document, rating report, UCC termination/amendment, payoff letter, or lender presentation.",not-proven
ATWELL-BR-007,Atwell,"What does Antares' own transaction-display rule imply?","Antares says listed transactions are representative and require Antares to be an agent or arranger; the transaction must be a new platform, refinancing or recapitalization of a prior Antares facility, or a material add-on, and the sponsor must consent to publication.",private-credit transaction criteria,https://www.antares.com/partner-with-us/sponsors-borrowers/,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/antares-sponsors-borrowers-atwell-transaction.html,line 1936,"The Atwell listing is stronger than a generic logo because Antares says displayed deals meet agent-or-arranger criteria and sponsor-consent criteria.","It does not identify which of Antares' transaction categories applies to Atwell or whether any bank debt was repaid.","Deal-specific Antares release, credit agreement, rating report, or lender list.",proven-antares-display-criteria
ATWELL-BR-008,Atwell,"Is there another public clue that the 2026 facility had both term-loan and revolver components?","Weil's web-rendered attorney biography lists Advent portfolio company Atwell LLC in its senior secured term loan and revolving facility.",law-firm biography / representative transaction,https://www.weil.com/people/noah-beck,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/atwell-2026-weil-senior-secured-facility.html,web-rendered lines 167-170; local download blocked by Cloudflare,"Adds a term-loan plus revolving-facility clue to the 2026 Atwell financing trail.","It does not name Ares, Antares, Bank of America, lender shares, facility size, payoff, or whether the revolver was bank- or private-credit-provided.","Credit agreement, debt commitment letter, or lender tombstone naming agent/lender roles.",web-rendered-clue-local-download-blocked
ATWELL-BR-009,Atwell,"Did the ABL Advisor deal table provide another route for the 2024 facility?","Search indexing shows ABL Advisor's January 2024 deal table with Atwell, Engineering, Senior Credit Facility, 200.0 MM, and Bank of America roles; the downloaded local HTML did not include the indexed deal row.",deal-table route,https://www.abladvisor.com/deal-tables/2024/1,raw/primary-sources/capital-flow/ares/q2-2026/follow-through/atwell-2024-abl-advisor-deal-table.html,"search-result snippet; local marker not found","Identifies another public route to corroborate the 2024 bank-facility amount and lender role.","Because the local capture lacks the row, it should not be treated as extracted source evidence yet.","Static export, archived page, XLS/table download, or direct row capture.",route-identified-not-extracted
ATWELL-BR-010,Atwell,"Can a lender-side filing show actual Atwell debt exposure after the 2026 financing trail?","KKR FS Income Trust Select's Q2 2026 SEC 10-Q schedule lists Atwell LLC in Senior Secured Loans--First Lien, Capital Goods, with 4.002M USD funded principal, 3.986M USD fair value, 0.488M USD unfunded commitment, SOFR + 5.0%, 0.8% floor, and 04/33 maturity.",SEC portfolio schedule,https://www.sec.gov/Archives/edgar/data/1975736/000162828026056136/kfits-20260630.htm,raw/primary-sources/capital-flow/atwell/sec/kfits-2026q2-10q.html,parsed rows 196-197 and 1279,"At least one SEC-filing credit vehicle reported a first-lien Atwell holding after the Advent/Ares/Antares deal trail.","It does not disclose the full Atwell facility size or prove the 2024 bank facility was repaid, terminated, amended, or left in place.","Full credit agreement, lender list, rating report, or payoff/termination evidence.",proven-lender-side-holding
