task_id,question_id,meta_question,answer_status,current_answer_short,confidence,open_question,working_hypothesis,proof_mechanism,next_documents,upgrade_rule,falsification_or_weaken_rule,priority,next_artifact
CFDAP-001,CFMQ-001,Where is capital actually flowing?,working,"Capital visibly reaches borrowers, infrastructure assets, energy systems, fleet/collateral pools, backlog execution, acquisition finance, and sponsor-backed platforms.",medium-high,"Which dollars are productive capacity versus acquisition, refinancing, liquidity, or control transfer?","The cycle is mixed: some dollars build capacity, some refinance or consolidate ownership, and some provide balance-sheet flexibility.","Classify each source row by destination type and use-of-proceeds class; separate audit rows, same-period exposure, and promoted totals.","Sources-and-uses tables; credit agreements; merger proxies; rating reports; capex schedules; project budgets; borrower operating KPIs.","Upgrade when a named source document ties amount, period, vehicle, borrower, and use category together.","Weaken if exposure rows cannot be tied to a borrower or the use is only broad liquidity with no operating destination.",high,capital-flow-use-of-proceeds-classification-pass-1.md
CFDAP-002,CFMQ-002,Who is the source of capital?,working,"Source wrappers are visible for BDCs, insurers, retirement-linked platforms, public debt investors, ABL/AR lenders, private-credit funds, and bank facilities.",medium,"Can ultimate investor money be tied to a named borrower in the same period?","Ultimate source differs by wrapper: BDC equity/debt, insurer liabilities, private fund LPs, securitization lenders, 144A buyers, or bank balance sheets.","Decompose each holder vehicle into liabilities, equity/NAV, leverage, investor base, facilities, and adviser/funding relationships.","Vehicle annual reports; statutory Schedule D/BA; fund prospectuses; leverage tables; funding notes; credit-facility notes; adviser disclosures.","Upgrade when a vehicle's funding stack is visible in the same reporting period as the borrower exposure.","Weaken if the vehicle is only named as holder and no funding-stack source is available.",high,capital-flow-capital-source-to-vehicle-bridge-pass-1.md
CFDAP-003,CFMQ-003,What vehicle carries the capital?,active,"The Ares borrower expansion classifies visible holder/source vehicles across BDCs, non-traded/private-credit funds, registered funds, private funds, direct-lending programs, and transaction sources.",high,"Which liabilities or investor bases fund each vehicle's assets?","Vehicle identity is mostly solved for visible holder rows; capital-stack decomposition is the next layer.","Create one capital-stack row per recurring holder with asset base, liabilities, NAV/equity, leverage, investor base, adviser, and source visibility.","Vehicle annual reports; 10-Q/10-K schedules; prospectuses; adviser agreements; subscription materials where public; facility notes.","Upgrade when holder identity, manager, vehicle type, source visibility, and funding stack are all documented.","Weaken if vehicle names are ambiguous, stale, renamed, or not matched to the borrower schedule period.",medium-high,capital-flow-vehicle-capital-stack-decomposition-pass-1.md
CFDAP-004,CFMQ-004,What does the capital fund in the real economy?,working,"Named destinations include roadway safety, aerospace MRO, wealth management, insurance brokerage, refrigeration/foodservice equipment, precision manufacturing, building maintenance, automotive services, fleet, LNG/midstream, and grid assets.",medium-high,"Which flows are organic growth, capacity buildout, acquisition, refinancing, rescue, dividend, or working capital?","Power/grid, LNG, fleet, and backlog lanes lean toward physical output; several private-credit borrower lanes lean toward acquisition finance and consolidation.","Use use-of-proceeds classifications, then upgrade with legal documents or operating evidence that names the actual use.","Credit agreements; merger proxies; funds-flow language; sponsor releases; capex schedules; project budgets; acquisition timelines; borrower KPIs.","Upgrade when the use category is tied to a named amount and borrower event or operating program.","Weaken if only generic growth language exists or transaction value is used as a proxy for debt/use.",high,capital-flow-use-of-proceeds-classification-pass-1.md
CFDAP-005,CFMQ-005,Does the capital convert into output?,active,"URI, Sterling, power/grid, and energy lanes have partial output evidence through fleet productivity, OEC, backlog, cash conversion, dockets, tariffs, ESAs, cargo/export, and projects.",medium,"Does capital create incremental output and durable cash flow, or just a larger balance sheet?","Operating bottleneck companies matter where capital meets scarce assets, regulated recovery, fleet density, project control, or recurring service demand.","Score each lane on repeated-period output metrics and cash conversion after the financing or investment period.","Revenue; EBITDA; cash conversion; utilization; OEC; MW in service; cargo volumes; rate-base additions; backlog burn; capex-to-output; project milestones.","Upgrade when output metric movement can be tied to the funded period and persists beyond one quarter.","Weaken if capex/backlog grows without utilization, revenue, cash conversion, or project in-service proof.",high,capital-flow-operating-conversion-scorecard-pass-1.md
CFDAP-006,CFMQ-006,Is private credit replacing banks or sitting beside them?,active-high-priority,"Auctane/Stamps.com confirms selected bank takeout; Medallia is strong but incomplete; Atwell remains plausible but unresolved; broad bank disappearance is not proven.",medium,"Do banks remain through revolvers, agency, treasury, hedging, collateral facilities, or ancillary roles?","Private credit often replaces or supplements bank term debt while banks remain elsewhere in the capital stack.","Build pre/post lender maps and search for repayment, termination, amendment, agent, revolver, hedging, and collateral-facility evidence.","Credit-agreement terminations; payoff notices; UCC amendments; new credit agreements; lender lists; rating reports; agent names; bank denominator data.","Upgrade when old bank facility status and new private-credit facility role are both visible.","Weaken if banks remain as agent/revolver/collateral lenders or if only secondary source bank-competition language exists.",high,capital-flow-bank-role-after-private-credit-pass-1.md
CFDAP-007,CFMQ-007,Is the evidence borrower-specific or only platform-scale?,active,"Platform disclosures prove scale; BDC schedules and borrower crosswalks prove named exposure.",high,"Can platform pools be tied to named borrower assets without unsupported allocation claims?","The defensible chain is platform scale -> vehicle stack -> holder row -> borrower -> facility/use -> output.","Keep platform metrics and borrower exposure in separate tables, then join only through same-period vehicle, borrower, instrument, and source evidence.","Same-period vehicle reports; borrower schedules; facility documents; transaction documents; source-of-capital notes.","Upgrade when platform, vehicle, borrower, instrument, period, and amount all line up.","Weaken if AUM/deployment is used as borrower allocation proof or if holder rows are stale relative to the transaction.",medium-high,capital-flow-platform-to-borrower-evidence-bridge-pass-1.md
CFDAP-008,CFMQ-008,Can false aggregation be avoided?,working,"The Ares borrower lane separates row-level audit sums, master-rollup promoted totals, and a 9-row same-period borrower control.",high,"Which number should be used in external writing?","Audit rows are for coverage, same-period controls are for conservative snapshots, and master rollups are for promoted latest-visible totals.","Enforce row type, period, duplicate, same-period, and allowed-use controls in generated tables.","Generated audit tables; master rollups; same-period summaries; duplicate rules; claim-use notes.","Upgrade when every promoted number has a documented permitted-use field and period rule.","Weaken if mixed-period, comparative, transaction-only, locator, or derived rows are summed as current exposure.",high,capital-flow-aggregation-control-standard-pass-1.md
CFDAP-009,CFMQ-009,What are the limits of every claim?,working,"The promoted-claims system tracks safe claims and overclaims for facility size, transaction value, AUM, commitments, and durability.",high,"Which claims are publication-ready versus internal leads?","Level 4 claims can be used with boundaries; Level 5 claims can use stronger mechanism language; Level 2-3 claims remain leads.","Run every claim through primary-source, amount, period, actor, mechanism, contrary-role, and boundary checks.","Claim scorecard; promoted-claims register; contrary-source checks; source documents; what-it-says fields.","Upgrade when a claim has a source-backed mechanism plus clear overclaim boundaries.","Weaken if any claim depends on inference without source, period, amount, actor, or contrary-role check.",high,capital-flow-publication-ready-claim-register-pass-1.md
CFDAP-010,CFMQ-010,Can this scale across the 519-company universe?,queued,"The operating pieces exist: evidence ledger, source queue, claim scorecard, triage table, lane queues, taxonomy, holder expansion, same-period controls, source bridge, bank-role pass, and use-of-proceeds pass.",medium,"Can every company be classified by role, wrapper, proof metric, and missing evidence?","The scalable unit is company -> role -> wrapper -> source document -> metric -> claim strength -> missing proof.","Run a repeatable extraction template across all companies and assign lane, role, wrapper, source availability, proof level, denominator need, next document, and safe claim.","Company reports; filings; lane queues; source availability scoring; denominator maps; extraction scripts.","Upgrade when each company has a complete role/wrapper/proof/missing-evidence row.","Weaken if the case-study set remains disconnected from the full 519-company universe.",medium-high,capital-flow-all-company-extraction-template-pass-1.md
