bridge_id,company,ticker,period,source_file,source_section,evidence_type,metric_or_term,value,unit,what_it_says,what_it_does_not_say,next_required_source,safe_claim
CFMTDRBB-001,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Condensed consolidated balance sheet,Cash/liquidity,Cash,26.318,USD millions,"Matador had 26.318M USD of cash at June 30 2026.","Cash alone does not prove project return or borrowing-base cushion.","Liquidity schedule and covenant compliance detail.","Matador has source-visible cash denominator evidence."
CFMTDRBB-002,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Reserve-based facility borrowings,Credit Agreement borrowings outstanding,939.000,USD millions,"Matador had 939.0M USD outstanding under its reserves-based revolving credit facility at June 30 2026.","This is drawn debt, not full borrowing capacity or asset return.","Borrowing-base certificate, availability, and covenant detail.","Matador has source-visible reserve-based facility debt outstanding."
CFMTDRBB-003,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Letters of credit,Credit Agreement letters of credit outstanding,53.800,USD millions,"Matador had about 53.8M USD of letters of credit under the Credit Agreement at June 30 2026.","This does not show beneficiary, collateral use, or project linkage.","Letter-of-credit schedule and counterparty detail.","Matador has visible ancillary credit support under the main facility."
CFMTDRBB-004,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Post-quarter facility draw,Credit Agreement borrowings at August 5 2026,1180.000,USD millions,"Matador disclosed borrowings increased by 243.0M USD after quarter-end to 1.18B USD at August 5 2026.","This does not prove the specific use of the post-quarter draw.","Subsequent borrowing notices and use-of-proceeds detail.","Matador's facility use continued after quarter-end."
CFMTDRBB-005,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Reserve-backed borrowing base,Borrowing base reaffirmed,3250.000,USD millions,"The 10-Q says the borrowing base was reaffirmed at 3.25B USD in June 2026 after the regular May 1 redetermination.","This is borrowing-base capacity, not actual cash drawn or project return.","Borrowing-base redetermination certificate and reserve report.","Matador has reserve-based borrowing-capacity evidence tied to proved reserves."
CFMTDRBB-006,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Elected commitments,Borrowing commitments increased,2750.000,USD millions,"The 10-Q says elected borrowing commitments increased from 2.25B USD to 2.75B USD.","This does not prove incremental use or return on the higher capacity.","Credit agreement amendment and lender allocation schedule.","Matador upgraded facility capacity, but operating-return use remains bounded."
CFMTDRBB-007,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/exhibit101-creditagreement-eighth-amendment.htm,Eighth amendment to credit agreement,Credit amendment,Borrowing base reaffirmed,3250.000,USD millions,"The official June 10 2026 eighth amendment directly reaffirms the borrowing base at 3.25B USD.","This does not disclose asset-by-asset reserve value or future borrowing-base durability.","Reserve report, borrowing-base schedule, and engineering deck.","The borrowing-base evidence is credit-agreement-grade."
CFMTDRBB-008,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/exhibit101-creditagreement-eighth-amendment.htm,Eighth amendment to credit agreement,Credit amendment,Revolving Credit Aggregate Commitment increase,500.000,USD millions,"The amendment increased aggregate commitments from 2.25B USD to 2.75B USD, a 500M USD increase.","This does not prove how the incremental commitment was used.","Borrowing records and funds-flow/use schedule.","Matador has documented incremental revolver commitment capacity."
CFMTDRBB-009,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/exhibit101-creditagreement-eighth-amendment.htm,Eighth amendment to credit agreement,Bank role,Lenders and issuing lenders,bank group,qualitative,"The amendment identifies PNC Bank as administrative agent and lender/issuing lender roles for banks including Bank of America, KeyBank, JPMorgan Chase, Truist, Wells Fargo, Capital One, Citizens, Mizuho, MUFG, Royal Bank of Canada, Scotiabank, TD, U.S. Bank, Fifth Third, Bank of Texas, First Horizon, Amegy, Cathay, and Bank OZK.","This does not provide final hold sizes in the extracted table or prove private-credit substitution.","Full Schedule 1.2 lender commitment table and amendment annexes.","Matador is a bank-led reserve-based facility case, not private-credit displacement evidence."
CFMTDRBB-010,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/exhibit101-creditagreement-eighth-amendment.htm,Eighth amendment to credit agreement,Collateral/reserve condition,Collateral Coverage Minimum,condition,qualitative,"The amendment requires title information and mortgages for oil and gas properties evaluated by the latest reserve report as necessary to comply with the Collateral Coverage Minimum after the amendment.","This does not quantify collateral cushion in this extracted row.","Collateral schedule, mortgages, reserve report, and borrowing-base model.","The facility is tied to oil-and-gas reserve collateral mechanics."
