work_id,layer,platform,question_answered,money_source,wrapper_or_instrument,named_destination,cash_back_proof_needed,current_status,next_work
CFME2E-001,controlling_goal,All big-money platforms,What is the whole project trying to prove?,"Retirement, insurance, ETF, institutional, wealth, public debt, bank, BDC, utility customer, and operating cash pools",Platform/router plus legal wrapper and financial instrument,"Named borrower, company, legal entity, project, asset, fleet, collateral pool, regulated program, or transaction","Receipt, billing, settlement, investment income, sale/maturity proceeds, borrower cash flow, project revenue, or repayment",goal-defined-not-proof,"Promote only rows that connect source, wrapper, destination, use, cash-back, waterfall/legal route, and return evidence."
CFME2E-002,platform_map,BlackRock,How does broad public-market and private-market routing become named exposure?,"ETF buyers, retirement accounts, institutions, wealth platforms, outsourced portfolio clients, private-market allocators","ETFs, model portfolios, Aladdin/workflow, HPS/private credit, infrastructure/private-market vehicles",HPS or infrastructure-linked borrower/project still to be selected,"Vehicle allocation, borrower/project use, interest/principal or project/customer cash, and return evidence",platform-map-visible,Select one BlackRock/HPS or infrastructure case with public borrower/project documents.
CFME2E-003,platform_map,Blackstone,Can credit/insurance/infrastructure deployment be tied to borrower or asset cash?,"Institutions, insurers, wealth clients, perpetual capital, private-market allocators","Credit and insurance vehicles, real estate, infrastructure, ABF, private equity, wealth alternatives",Credit/insurance borrower or data-center/infrastructure asset still to be selected,"Vehicle-to-borrower allocation, lender schedule, use of proceeds, borrower/project receipts, repayment, and return",platform-and-credit-channel-visible,Pick one Blackstone credit/insurance case where facility or borrower schedules can be acquired.
CFME2E-004,prototype,Apollo/Athene,"Can an insurance liability engine be tied to named assets, income, proceeds, and cash return?","Retirement and insurance liabilities, Athene legal-entity balance sheet, institutions, credit investors","Athene statutory legal entity, Schedule D/BA holdings, private credit, ABF, investment income, sale/maturity/repayment proceeds",Named Schedule D issuers/assets and disposal/proceeds rows,"CUSIP-level income/proceeds match, liability-cost spread, realized gain/loss, credit quality, and return boundary",best-next-end-to-end-prototype,Match Schedule D holdings to disposal/proceeds rows by CUSIP and reconcile consideration/gain-loss totals.
CFME2E-005,platform_map,KKR/Global Atlantic,Can KKR/Global Atlantic insurance and private-credit channels be decomposed like Apollo/Athene?,"Insurance liabilities, institutions, wealth clients, strategic capital pools","Global Atlantic statutory accounts, Ivy/reinsurance vehicles, private credit, infrastructure, private equity, ABF",Global Atlantic statutory holdings or KKR borrower allocation case,"Legal-entity schedules, private-placement/loan schedules, liability-cost spread, borrower use, repayment, and credit migration",insurance-credit-platform-proxy-visible,Reuse the Apollo/Athene statutory template against Global Atlantic source documents.
CFME2E-006,platform_map,Brookfield,Can real-asset capital be tied to project/customer cash and returns?,"Institutions, sovereigns, insurance capital, wealth solutions, real-asset allocators","Infrastructure funds, renewables/transition capital, real estate, operating assets, insurance wealth solutions, Oaktree credit",Named power/infrastructure/real-asset project still to be selected,"Project source/use, customer receipts, debt waterfall, operating cash contribution, and return model",real-asset-and-insurance-channel-visible,"Pick one asset with regulatory, project finance, or customer contract documents."
CFME2E-007,named_private_credit_chase,Ares,Can named private-credit borrower exposure be tied to facility cash and repayment?,"Institutions, BDC investors, private-credit clients, wealth channels, insurers","Direct lending, BDCs, private-credit funds, non-traded funds, infrastructure credit, private funds",Frontline or another named borrower from the Ares borrower lane,"Credit agreement, lender allocation, funds-flow, borrower cash flow, interest/principal, collateral, repayment, and bank residual role",named-borrower-holder-and-arranger-visible,Acquire facility/lender documents or rating/proxy sources for the selected borrower.
CFME2E-008,platform_map,Carlyle,Can PE/credit/secondaries capital movement be tied to a named deal or borrower?,"Institutions, private wealth, credit clients, private-equity allocators, AlpInvest/secondaries allocators","Private equity, global credit, secondaries, co-investment, continuation/liquidity vehicles","Named secondaries, credit, or borrower-facility case still to be selected","Fund source/use, deal cash flow, borrower/project cash, realization, and return proof",platform-map-visible-hold,Select one public-document-rich secondaries or borrower case.
CFME2E-009,operating_asset_chase,Comparison operating lanes,Which real-economy assets actually turn financing into cash?,"Public debt, bank facilities, utility customers, shippers, corporate customers, operating cash, BDC/insurer/private-credit capital","Rate recovery, tariffs, ABL, project finance, streams, revolvers, notes, acquisition finance","FPL, URI, Wheaton/Antamina, Cheniere, Energy Transfer, PBF, Sterling","Customer receipts, settlement ledgers, borrowing-base certificates, trustee reports, DSCR, project EBITDA/DCF, return models",multiple-bridge-cases-no-full-proof,Choose one operating-asset case to pursue to receipt/waterfall/return proof.
CFME2E-010,claim_control,Publication claim register,What can we safely say now versus what is overclaim?,All source pools,All wrappers,All promoted proof rows,Claim-specific decisive evidence and missing-source label,claim-discipline-required,"Maintain safe sentence, proof level, missing document, and forbidden overclaim for every promoted row."
