"takeaway_id","takeaway","evidence_basis","why_it_matters","current_boundary","next_action"
"CFNCPWU-001","The research is now a proof-controlled money-movement system, not a broad theme memo.","Named-cash requirements matrix, execution status matrix, and decisive source request packet define source, wrapper, destination, cash use, receipt/settlement, payback/legal availability, and return gates.","Keeps the thesis disciplined and auditable.","No case yet clears every named-cash proof gate.","Use the proof gates as promotion rules for every future case."
"CFNCPWU-002","The core thesis is routing-specific: different wrappers require different proof.","Private credit, regulated utility recovery, LNG/project finance, fleet ABL, insurance statutory capital, and refinancing lanes each have separate source families and pass tests.","Prevents generic claims about private credit, capex, or infrastructure from replacing evidence.","The research cannot collapse all lanes into one denominator or one proof type.","Keep lane-specific source packages and do not rank incomparable proxy metrics together."
"CFNCPWU-003","FPL is the best public customer-receipt route, but still lacks named customer-cash proof.","FPL public PSC route shows petition, program testimony, factor support, amended factor support, aggregate SPPCRC revenue, category cost/recovery proxy, discovery route, response notices, and audit route.","Shows where regulated cost recovery can become cash proof if workpapers are acquired.","Missing billed/collected customer cash, category receipt allocation, source-of-funds allocation, legal-entity waterfall, and earned-return workpapers.","Acquire FPL discovery answers, POD productions, Form 4P/Form 5P workpapers, receipt ledgers, and earned-return support."
"CFNCPWU-004","Wheaton/BHP Antamina is the closest two-sided named transaction.","Current evidence shows Wheaton paid 4.300B USD, BHP received 4.300B USD, BHP booked streaming arrangement liability, and delivery/cash-back mechanics are visible.","This is the strongest named payer-recipient-asset bridge in the system.","Missing BHP use allocation, PMPA-only settlement ledger, lender waterfall, tax/interest allocation, reserve-backed IRR/NPV/payback.","Acquire PMPA-only delivery, invoice, settlement, lender, and return-model support."
"CFNCPWU-005","PBF is the cleanest transaction source/use proxy, not full refinancing-value proof.","Public filings show new notes, net proceeds, completed old-note redemption, available-cash bridge, and derived accrued-interest proxy.","Demonstrates how far SEC filings can carry refinancing proof before trustee/payor detail is needed.","Missing trustee settlement, paying-agent transfer, exact accrued interest, fee/tax treatment, ABL availability, after-tax NPV, and refinery-level return.","Acquire redemption settlement, paying-agent confirmation, fee/tax model, ABL support, and pro forma debt-service/NPV model."
"CFNCPWU-006","URI is the best collateral/fleet-cash proxy but lacks certificate-grade proof.","URI evidence shows ABL mechanics, certificate-delivery condition, collateral route, fleet assets, rental revenue, OCF/capex coverage, and ROIC proxy.","Shows capital converting into reusable fleet assets and cash-flow proxy.","Missing populated borrowing-base certificate, eligible collateral, NOLV, reserves, L/C deductions, and fleet-class lifecycle return.","Acquire borrowing-base certificate, availability report, eligible-collateral schedule, and fleet-class return model."
"CFNCPWU-007","Ares/Frontline is a strong borrower-facility marker but not borrower cash proof.","Evidence shows Frontline operating borrower, Bain sponsor, Ares arranger/bookrunner role, first-lien markers, holder fair value, and commitments.","Shows private credit reaches named operating borrowers, not only platform AUM.","Missing credit agreement, lender allocation, closing funds-flow, collateral package, borrower financials, repayment, and payoff route.","Acquire borrower credit agreement, lender schedule, funds-flow memo, collateral documents, and borrower cash schedules."
"CFNCPWU-008","Cheniere has strong physical output and entity mechanics, but not train-level cash proof.","Evidence shows cargo/output reconciliation, contracted demand, entity debt, DSCR mechanics, and project route.","Shows energy infrastructure has real operating-output evidence beyond capex narrative.","Missing train-level customer receipts, SPA invoice cash, restricted-account balances, actual DSCR, project EBITDA/DCF, and return.","Acquire trustee reports, DSCR certificates, SPA billing attribution, and project EBITDA/DCF support."
"CFNCPWU-009","Insurance capital remains high-value but needs statutory legal-entity schedules.","Apollo/Athene and KKR/Global Atlantic evidence shows liability, invested-asset, asset-income, credit, and FHLB/collateral proxies plus statutory route maps.","Insurance is likely important to the capital-flow thesis, but public-company aggregates are too high-level.","Missing Schedule D/BA holdings, NAIC designations, legal-entity investment income, impairments, liability-cost spread, and borrower allocation.","Acquire statutory annual statements, Schedule D/BA extracts, investment-income schedules, and spread workpapers."
"CFNCPWU-010","The repeated blockers are documents that reconcile cash, not more narrative sources.","Recurring gaps are receipts, billing, settlement ledgers, debt waterfalls, legal-entity schedules, collateral certificates, source-to-use ledgers, project cash contribution, and return models.","This identifies why many public sources are useful but insufficient.","Search and extraction should not keep re-querying sources that only return metadata, aggregate values, or notices.","Run targeted source acquisition by missing document family."
"CFNCPWU-011","The 519-company system is a funnel, not empirical proof across 519 companies.","The universe template, pilot batch, source-visible rows, and queue artifacts classify companies by lane and next source need.","Lets the research scale without pretending every row is proven.","Queued or source-visible status is not full proof or representative universe evidence.","Use the universe to prioritize extraction and keep non-proven rows explicitly queued or bounded."
"CFNCPWU-012","The final safe conclusion is strong but bounded: map proven, full cash loop unproven.","The current system can identify strongest candidates, visible money paths, cash/proxy evidence, proof gaps, and request-grade source packages.","This is the right stopping point for the current sprint and the right launch point for source acquisition.","No named case has full source-use-receipt-payback-return proof.","Start with FPL records/POD workpapers, then Wheaton/PBF lender/trustee packages, then URI certificates and insurance statutory schedules."
