diagnostic_id,metric,value,units,proof_use,boundary,next_action
CFAASCBCMD-001,unique_cusips_total,10801,count,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-002,headline_unique_cusips_ex_placeholder,10800,count,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-003,same_cusip_holding_and_disposal_count,3486,count,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-004,headline_same_cusip_holding_and_disposal_count,3485,count,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-005,disposal_only_cusip_count,2755,count,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-006,year_end_holding_only_cusip_count,4560,count,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-007,total_disposal_consideration,72807523483.000000,USD,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-008,headline_disposal_consideration_ex_placeholder,68251655221.000000,USD,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-009,statutory_disposal_consideration_reference,72140293824.000000,USD,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-010,total_disposal_consideration_coverage,1.009249,ratio,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-011,headline_disposal_consideration_coverage_ex_placeholder,0.946096,ratio,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-012,same_cusip_matched_consideration,32068721510.000000,USD,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-013,same_cusip_matched_consideration_share,0.440459,ratio,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-014,headline_same_cusip_matched_consideration_ex_placeholder,27512853248.000000,USD,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-015,headline_same_cusip_matched_consideration_share_ex_placeholder,0.403109,ratio,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-016,holding_rows_input,8648,count,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
CFAASCBCMD-017,disposal_rows_input,7655,count,CUSIP-level holdings-to-proceeds matching diagnostics,"diagnostic supports workbench quality control, not final lot-level cash return or liability spread proof","inspect same-CUSIP matched rows, disposal-only rows, and highest-dollar consideration rows before claim promotion"
