geometry_row_id,row_type,reconciliation_row_id,parser_row_id,page,cusip,issuer_or_description,asset_type_guess,money_token_count,first_four_candidate_book_value,extra_group_count,extra_group_book_candidates,max_extra_group_book_candidate,geometry_class,variance_relevance,proof_effect,boundary,next_action
CFKKRGACEDHG-001,held-reconciliation-row,CFKKRGACEDCR-0009,CFKKRGACEDP-0009,218,91282C-PN-5,UNITED STATES TREASURY,us_treasury,14,645310,2,6668000; 46046,6668000,long-token-row-with-small-extra-column-noise,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-002,held-reconciliation-row,CFKKRGACEDCR-0011,CFKKRGACEDP-0011,218,268317-AL-8,ELECTRICITE DE FRANCE SA,utility_or_energy_credit,15,5314283,2,8621177; -9655,8621177,long-token-row-with-small-extra-column-noise,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-003,held-reconciliation-row,CFKKRGACEDCR-0016,CFKKRGACEDP-0016,218,57582R-N9-3,MASSACHUSETTS COMMONWEALTH,issuer_credit_or_corporate_bond,16,2905372,2,3944050; 86445195,86445195,long-token-row-with-possible-embedded-security,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-004,held-reconciliation-row,CFKKRGACEDCR-0066,CFKKRGACEDP-0066,219,95308R-XA-2,WEST HARRIS CNTY TEX REGL WTR AUTH WTR S,issuer_credit_or_corporate_bond,67,3995576,2,4197188; 428544580,428544580,long-token-row-with-page-or-section-total-signature,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-005,held-reconciliation-row,CFKKRGACEDCR-0073,CFKKRGACEDP-0073,219,36271M-AC-1,GSPWC 2023 LLC Class C Asset-Backed Note,issuer_credit_or_corporate_bond,13,2524178,2,61250000; 552611,61250000,long-token-row-with-possible-embedded-security,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-006,held-reconciliation-row,CFKKRGACEDCR-0188,CFKKRGACEDP-0188,222,046353-AU-2,ASTRAZENECA PLC,issuer_credit_or_corporate_bond,15,4624794,2,4802813; 6050522,6050522,long-token-row-with-small-extra-column-noise,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-007,held-reconciliation-row,CFKKRGACEDCR-0395,CFKKRGACEDP-0395,227,254687-FZ-4,WALT DISNEY CO,issuer_credit_or_corporate_bond,2,,0,,0,short-token-fragment-probable-income-or-continuation,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-008,held-reconciliation-row,CFKKRGACEDCR-0610,CFKKRGACEDP-0610,231,53944Y-AE-3,LLOYDS BANKING GROUP PLC,bank_or_financial_credit,2,,0,,0,short-token-fragment-probable-income-or-continuation,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-009,held-reconciliation-row,CFKKRGACEDCR-0853,CFKKRGACEDP-0853,237,84756N-AE-9,SPECTRA ENERGY PARTNERS LP,utility_or_energy_credit,16,14822873,2,14379429; 5610639,14379429,long-token-row-with-possible-embedded-security,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-010,held-reconciliation-row,CFKKRGACEDCR-0937,CFKKRGACEDP-0937,239,91324P-EF-5,UNITEDHEALTH GROUP INC,issuer_credit_or_corporate_bond,2,,0,,0,short-token-fragment-probable-income-or-continuation,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-011,held-reconciliation-row,CFKKRGACEDCR-0962,CFKKRGACEDP-0962,239,92936U-AG-4,WP CAREY INC,issuer_credit_or_corporate_bond,13,125661,2,16200000; 1088847,16200000,long-token-row-with-possible-embedded-security,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-012,held-reconciliation-row,CFKKRGACEDCR-0994,CFKKRGACEDP-0994,240,J41838-AQ-6,MEIJI YASUDA LIFE INSURANCE CO,issuer_credit_or_corporate_bond,86,381000,2,5364223361; 62521466,5364223361,long-token-row-with-page-or-section-total-signature,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-013,held-reconciliation-row,CFKKRGACEDCR-1060,CFKKRGACEDP-1060,243,92841W-AD-1,VSTA 2024-CES3 M1 - RMBS,asset_backed_security,14,11108,2,60159361; 101554,60159361,long-token-row-with-possible-embedded-security,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-014,held-reconciliation-row,CFKKRGACEDCR-1062,CFKKRGACEDP-1062,243,74970W-AC-4,ROCC 2024-CNTR B - CMBS,asset_backed_security,14,200000,2,11835000; 32241,11835000,long-token-row-with-possible-embedded-security,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-015,held-reconciliation-row,CFKKRGACEDCR-1064,CFKKRGACEDP-1064,243,758971-AJ-4,REG29 XXIX C - CDO,asset_backed_security,100,2500000,2,5750000; 69542,5750000,long-token-row-with-small-extra-column-noise,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-016,held-reconciliation-row,CFKKRGACEDCR-1070,CFKKRGACEDP-1070,245,78166A-AC-7,RUPH 2024-1 DTC Class C - ABS,asset_backed_security,24,243972,2,16832184; 698229,16832184,long-token-row-with-possible-embedded-security,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-017,held-reconciliation-row,CFKKRGACEDCR-1071,CFKKRGACEDP-1071,245,40446A-AA-3,HTAP 251 A - RMBS,asset_backed_security,15,161622,2,164741; 164528,164741,long-token-row-with-small-extra-column-noise,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-018,held-reconciliation-row,CFKKRGACEDCR-1079,CFKKRGACEDP-1079,245,86774A-AA-8,Sunrun Cassius 2025-2 - ABS,asset_backed_security,16,11342416,2,10181196; 13006366,13006366,long-token-row-with-possible-embedded-security,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-019,held-reconciliation-row,CFKKRGACEDCR-1082,CFKKRGACEDP-1082,245,047698-AD-7,AAH LLC - Class A - ABS,asset_backed_security,62,94438995,2,10271213; 29102,10271213,long-token-row-with-possible-embedded-security,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-020,held-reconciliation-row,CFKKRGACEDCR-1085,CFKKRGACEDP-1085,246,456949-AD-8,ILDAH LLC - Class A - ABS,asset_backed_security,37,87333391,2,399199643; 18697219,399199643,long-token-row-with-page-or-section-total-signature,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-021,held-reconciliation-row,CFKKRGACEDCR-1086,CFKKRGACEDP-1086,246,552339-AA-1,LYRA 242 A2 - ABS,asset_backed_security,75,180714,2,184967; 192406,192406,long-token-row-with-small-extra-column-noise,direct blocker: current reconciliation explicitly holds this row,explains why the column map cannot yet become final statutory-column proof,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-022,high-dollar-candidate-row,CFKKRGACEDCR-0554,CFKKRGACEDP-0554,230,458140-BM-1,INTEL CORP,issuer_credit_or_corporate_bond,8,66417686,1,64380157,64380157,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-023,high-dollar-candidate-row,CFKKRGACEDCR-0871,CFKKRGACEDP-0871,237,87264A-AZ-8,T-MOBILE USA INC,issuer_credit_or_corporate_bond,8,65593727,1,85890000,85890000,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-024,high-dollar-candidate-row,CFKKRGACEDCR-0064,CFKKRGACEDP-0064,219,91412G-HA-6,UNIVERSITY CALIF REVS,issuer_credit_or_corporate_bond,8,57637593,1,67380869,67380869,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
