queue_id,source_packet,article_sections_covered,required_public_documents,minimum_citation_test,boundary,priority,next_action,status
ARPCAQ-001,Article framing packet,Opening thesis and whole-map exhibit,"Final draft; citation polish map; final theme synthesis artifact.",Citation note states this is synthesis from the annual-report review not a primary-source fact.,Do not present the bottleneck map as a universal law.,1,Use as framing note.,ready
ARPCAQ-002,Power scarcity packet,Power scarcity chapter,"Utility annual reports; power-generator reports; tariff filings; rate-case/docket materials; contractor annual reports.","Each named load, capex, tariff, recovery, or backlog claim has a filing or company-report citation.",Do not claim customer receipts or project return without billing and return support.,1,Attach utility contractor and docket citations.,ready
ARPCAQ-003,FPL regulated recovery packet,Power scarcity proof example,"FPL SPPCRC filings; Form 1P/4P/5P; amended factor support; final true-up; docket orders.",Rate-class factor and recovery numbers can be traced to docket pages or workpapers.,Recovery authority is not collected project-specific cash.,1,Attach docket source citations.,ready
ARPCAQ-004,Data-center load packet,Power scarcity and capital formation,"AEP Duke NextEra disclosures; tariffs; ESA/PPA filings where public; resource plans; interconnection or load-growth disclosures.",Public citation shows customer/load obligation route tariff route or resource-plan route.,Load requests do not prove named customer payments.,2,Attach tariff load and resource-plan citations.,ready
ARPCAQ-005,Capital-platform packet,Capital platforms chapter,"BlackRock Blackstone Apollo KKR Brookfield Ares Carlyle annual reports and investor disclosures.","AUM, inflows, fundraising, insurance, credit, infrastructure, and platform claims cite company disclosures.",AUM and fundraising are not borrower receipt or return proof.,1,Attach platform annual-report citations.,ready
ARPCAQ-006,Statutory asset-income packet,Capital platforms proof example,"Athene and Accordia statutory schedules; Schedule D rows; income schedules; proceeds/disposal schedules.","Named asset, book value, interest received, or proceeds claims tie to statutory schedules.","Still does not prove borrower use, trustee remittance, or final return.",1,Attach statutory schedule citations.,ready
ARPCAQ-007,Industrial uptime packet,Industrial uptime chapter,"United Rentals Fastenal WESCO Grainger Applied Industrial MSC Industrial Watsco Sterling MasTec annual reports.","Fleet, branch, vending, backlog, revenue, margin, and OCF claims cite company filings.",Operating scale is not fleet-class ROIC or project collection.,2,Attach industrial company report citations.,ready
ARPCAQ-008,Healthcare access packet,Healthcare access chapter,"UnitedHealth Cigna DaVita Option Care Addus BrightSpring Enhabit annual reports and filings.","Patient, admission, census, pharmacy/service, revenue, reimbursement, and labor claims cite company filings.","Volume does not prove care quality, trust, denial fairness, or collection.",2,Attach healthcare company report citations.,ready
ARPCAQ-009,Built-environment packet,Built-environment upkeep chapter,"Home Depot Lowe's Builders FirstSource Sherwin-Williams West Fraser Ferguson Core & Main annual reports.","Retail, Pro, materials, coatings, lumber, distribution, and waterworks claims cite filings.",Do not collapse sub-lanes into one housing-cycle claim.,2,Attach built-environment company report citations.,ready
ARPCAQ-010,Digital-control packet,Digital control chapter,"Cloudflare Akamai Fastly Zscaler Fortinet DigitalOcean Roblox annual reports.","ARR, RPO, traffic, customer, security, platform, bookings, and cash-flow claims cite filings.",Digital demand metrics are not durable margin proof.,2,Attach digital company report citations.,ready
ARPCAQ-011,Value-retail packet,Value retail chapter,"Costco Walmart Target Dollar General Dollar Tree Burlington Ollie's annual reports.","Traffic, comps, ticket, membership, store, inventory, margin, ads, and format claims cite filings.",Activity does not prove cohort quality shrink control or durable margin.,2,Attach retailer annual-report citations.,ready
ARPCAQ-012,Proof-box packet,Three proof boxes and final takeaway,"Cash-flow statements; working-capital notes; acquisition notes; backlog tables; debt schedules; use-of-proceeds disclosures.",Every proof-box example has a primary filing citation and a clear metric definition.,Proof boxes are method not completed proof.,1,Attach primary filing citations for proof-box examples.,ready
ARPCAQ-013,External-publication citation list,Source notes section,Public links or citation strings for every company filing and docket used in final copy.,Reader can locate original filing or docket without relying on internal filenames.,Internal artifacts remain audit trail only.,1,Build external citation list.,ready
ARPCAQ-014,Overclaim review packet,Final boundary and editorial checklist,"Final publication draft; citation polish map; publication readiness review.","Every paragraph with a company-specific claim has either a citation, a softened claim, or a boundary sentence.",Do not publish as recommendation or complete cash-chain proof.,1,Run paragraph-level overclaim review.,ready
