extraction_id,company,ticker,period,field,value,unit,source_anchor,what_it_proves,boundary,claim_status
ARAXPOF-001,American Express Company,AXP,FY2025,record revenue,72.2B USD,USD,company-packet.md; company-profile.md,"American Express is visible as a large premium-card, merchant-network, and membership revenue machine.","Revenue does not prove repayment quality, credit durability, or merchant-fee durability.",source-visible-with-boundary
ARAXPOF-002,American Express Company,AXP,FY2025,net income,10.8B USD,USD,company-packet.md; company-profile.md,The annual packet shows large reported profitability.,Net income does not prove credit-loss resilience or customer-level repayment.,source-visible-with-boundary
ARAXPOF-003,American Express Company,AXP,FY2025,EPS,15.38 USD,USD per share,company-packet.md; company-profile.md,Per-share profitability is visible in the annual evidence.,"EPS does not separate fee income, interest income, rewards cost, credit cost, or capital effects.",source-visible-with-boundary
ARAXPOF-004,American Express Company,AXP,FY2025,billed business,1.67T USD,USD,company-packet.md,"Amex has a large card-spend base that connects household, business, merchant, travel, dining, and premium-consumption behavior.","Billed business does not prove merchant take rate, net revenue yield, repayment quality, or customer cash health.",source-visible-with-boundary
ARAXPOF-005,American Express Company,AXP,FY2025,card spending growth,7% FX-adjusted,percent,company-profile.md,Card-member spending growth is visible after currency adjustment.,"Spending growth can come from affluent resilience, inflation, mix, or credit extension and does not by itself prove healthy cash repayment.",source-visible-with-boundary
ARAXPOF-006,American Express Company,AXP,FY2025,net card fee revenue,10B USD,USD,company-profile.md,The fee-paying membership model is visible as a large revenue stream.,"Card fees do not prove retention, rewards economics, benefit cost, or lifetime customer value.",source-visible-with-boundary
ARAXPOF-007,American Express Company,AXP,FY2025,new proprietary cards,12.5M cards,cards,company-packet.md; company-profile.md,Customer acquisition is visible at scale.,"New cards do not prove activation, spend quality, retention, or credit performance.",source-visible-with-boundary
ARAXPOF-008,American Express Company,AXP,FY2025,fee-paying product mix,more than 70% of new accounts on fee-paying products,percent descriptor,company-packet.md,Amex is leaning into premium fee-paying relationships rather than only transaction processing or lending.,"Fee-paying mix does not prove benefits cost, churn, or net customer profitability.",source-visible-with-boundary
ARAXPOF-009,American Express Company,AXP,FY2025,Millennial and Gen Z acquisition mix,roughly 65% of new global consumer account acquisitions,percent,company-packet.md,Younger premium cohorts are visible as a central demand source.,"Younger-account acquisition does not prove lifetime value, repayment, or through-cycle credit quality.",source-visible-with-boundary
ARAXPOF-010,American Express Company,AXP,Q1 2026,"quarter revenue, net income, EPS, and U.S. consumer billed business",18.9B USD revenue; 3.0B USD net income; 4.28 USD EPS; 10% U.S. consumer billed-business growth,USD and percent,company-packet.md; company-profile.md,The first 2026 quarter shows double-digit revenue growth and spending engagement.,"Quarterly spend and earnings do not prove delinquency, write-off, reward-cost, or lending-quality durability.",source-visible-with-boundary
ARAXPOF-011,American Express Company,AXP,Q2 2026,"quarter revenue, net income, EPS, spending, guidance, credit, capital",19.6B USD revenue; 3.1B USD net income; 4.53 USD EPS; 11% U.S. consumer spend growth; 10% 2026 revenue-growth guidance; 17.30-17.90 USD EPS guidance; stable credit metrics; provisions declined year over year; CET1 within 10%-11% target range,USD and percent,company-packet.md; company-profile.md,"The most recent local quarter shows premium-spend resilience, raised revenue guidance, stable credit tone, and capital-range discipline.","Stable credit tone and provision decline do not replace delinquency, write-off, reserve, loan, or cohort-level evidence.",source-visible-with-boundary
ARAXPOF-012,American Express Company,AXP,FY2025 through Q2 2026,membership model and agentic commerce,"premium card products; merchant and partner relationships; global closed-loop network; first-party data; personalization; fraud controls; product design; AI-powered agents discovering products, making decisions, and completing payments",descriptor,company-packet.md; company-profile.md,"Amex is a card, merchant, membership, data, fraud-control, and commerce-routing system, not only a lender.","Strategic positioning does not prove network moat durability, merchant economics, AI monetization, or credit performance.",source-visible-with-boundary
