frontier_id,lane,deeper_question,current_evidence,upgrade_evidence_needed,decision_use,boundary,next_artifact
CFORF-001,URI fleet,"Is URI's fleet investment earning durable returns, or just increasing revenue through more assets?","210 rows across 10 periods show rental revenue growth, positive fleet productivity, OEC growth, OCF coverage, collateral support, and ABL draw intensity.","Growth versus replacement capex, utilization, segment OEC, fleet margin, sale proceeds by fleet type, and asset-class return bridge.","Decide whether URI is a true capital-compounding fleet platform or only a scale/cycle beneficiary.","Current evidence is proxy-grade, not asset-class ROIC.",capital-flow-uri-fleet-return-bridge-pass-1.md
CFORF-002,URI Yak/Matting,"Did URI buy high-return specialty economics or pay a goodwill-heavy price for category exposure?","Yak had 353M USD 2023 adjusted revenue, 171M USD adjusted EBITDA, about 600000 mats, 1.100B USD base price, 127M USD acquired rental-equipment fair value, and 828M USD goodwill.","Post-acquisition Matting revenue, EBITDA, OEC, capex, utilization, pricing, retention, and integration margin.","Decide whether Matting is a high-return niche or a costly acquisition-led growth lane.","Current evidence is acquisition-economics visible, not ongoing Matting ROIC.",capital-flow-uri-matting-return-bridge-pass-1.md
CFORF-003,Sterling backlog,"Does Sterling backlog convert into cash-returning work or only expand reported RPO?","RPO grew from 2.055081B USD to 4.233618B USD; OCF less capex was positive across observed quarters; July 2026 credit wrapper has 1.500B USD revolver and 600M USD L/C sublimit.","Project-level margin, backlog burn, cancellation, retainage collection, actual L/C/surety usage, and owner-funding evidence.","Decide whether Sterling is a high-quality conversion platform or a backlog aggregator with hidden execution risk.","Current evidence is company-level conversion proxy, not project-level return proof.",capital-flow-sterling-backlog-return-risk-pass-1.md
CFORF-004,Cheniere LNG,"Do entity debt and growth capex convert into train-level cash returns?","Company cargoes reconcile to DOE terminal rows; contracted production is visible; entity debt and equity-funded growth-capex split are visible.","Train-level source/use, construction draws, SPA economics, debt-service schedule, project EBITDA, and restricted-account waterfall.","Decide whether LNG buildout is project-and-cash-grade or still only entity/output-grade.","Entity and cargo proof do not prove train-level return.",capital-flow-cheniere-train-source-use-return-pass-1.md
CFORF-005,Energy Transfer midstream,"Do named NGL/export capacity additions create measurable utilization, EBITDA, and DCF contribution?","Company-level EBITDA, DCF, growth capex, credit facility, note refinancing, and named capacity additions are visible.","Project cost, funding source, in-service status, throughput, tariff/shipper economics, utilization, EBITDA contribution, and return.","Decide whether ET is a project-return case or a company-level capital-allocation case.","Company-level cash generation does not allocate return to named projects.",capital-flow-et-named-project-return-registry-pass-1.md
CFORF-006,Regulated power/grid,"Does utility demand and storm-hardening spend become approved, recoverable, in-service rate-base or clause investment?","FPL Distribution Inspection links 193199 projects, 61.5M USD AP-1 actual cost, 15.942971M USD final recovery, 10.481240M USD equity component, 2.278910M USD debt component, 3.182821M USD depreciation, 804.620369M USD aggregate SPPCRC clause revenue, and Form 8A capital-structure support; Transmission Inspection links 84056 projects, 66.3M USD actual cost, and 23.595154M USD final recovery; AEP/Duke have tariff mechanics, customer-obligation process, generation-resource path, Anderson County approval, and resource-plan evidence.","SPPCRC category customer receipts, financing source allocation, docket status, approved capital, customer contribution, recovery rider/rate-base treatment, in-service date, and who-pays-first map.","Separate investable utility capex from speculative load or recovery commentary.","Load forecasts and aggregate clause revenue are not category cash receipts or project funding proof.",capital-flow-power-grid-approved-recovery-bridge-pass-1.md
CFORF-007,Private-credit borrowers,"Do borrower loans create durable enterprise value or only enable acquisition/refinancing leverage?","Ares borrower expansion shows 83 holder/source rows; use-of-proceeds pass shows mixed acquisition, consolidation, continued growth, and repayment/termination evidence.","Borrower facility size, purchase accounting, leverage, EBITDA trend, acquisition integration, capex, free cash flow, and debt service.","Decide whether private-credit destination proof has operating-return quality.","Holder rows are destination proof, not borrower return proof.",capital-flow-private-credit-borrower-operating-return-pass-1.md
CFORF-008,Bank replacement,"Does private-credit takeout improve or weaken borrower financing resilience?","Auctane confirms selected takeout; Medallia has strong repayment evidence; Atwell remains unresolved; banks may remain in ancillary roles.","Pre/post cost of debt, maturity, covenant package, revolver access, bank ancillary roles, liquidity, and default/workout outcomes.","Decide whether bank replacement is a value-creating substitution or only risk migration.","Bank replacement is not proven broadly and may leave banks in other roles.",capital-flow-bank-replacement-value-risk-map-pass-1.md
CFORF-009,Insurance/retirement capital,"Are retirement-liability pools earning durable spread through quality assets, or taking opaque credit risk?","Platform and liability-channel evidence exists, but publication register keeps the lane internal-only.","Statutory statements, NAIC designations, Schedule D/BA holdings, affiliated investment notes, impairments, yield, capital charges, and borrower links.","Decide whether insurance capital is safe long-duration funding or hidden credit transformation.","Do not publish source-quality claims before statutory extraction.",capital-flow-insurance-statutory-asset-quality-pass-1.md
CFORF-010,519-company scale,"Do the strongest case-study mechanisms repeat across the broader universe?","The 519 company template routes every company by lane, role, wrapper, source availability, proof level, denominator need, next document, safe claim, and boundary.","Lane-specific primary-source extraction batches and proof-level refresh.","Decide whether the thesis is representative or only a collection of strong examples.","Template coverage is process proof, not empirical representativeness.",capital-flow-full-universe-operating-return-queue-pass-1.md
