boundary_id,question,proof_gate,evidence_status,selected_period,source_id,evidence_metric_refs,metric_label,metric_value,unit,source_anchor,what_it_says,what_it_does_not_say,next_required_evidence,safe_claim
CFPLDIF-001,Is there SPPCRC cash-collection evidence?,aggregate clause revenue,aggregate-revenue-visible,2025 final true-up,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,CFPLFT-008,final clause revenues net of revenue taxes,804.620369,USD millions,"PDF page 9 / Form 2A lists Clause Revenues net of Revenue Taxes of $804,620,369.","The final true-up filing has aggregate SPPCRC clause revenue evidence.","It does not allocate revenue to Distribution Inspection or prove cash receipts by customer class.","Find rate-class billing determinants, category allocation workpapers, or later collection schedules.","SPPCRC aggregate clause revenue is visible."
CFPLDIF-002,Is there true-up collection/refund evidence?,aggregate true-up collection line,aggregate-collection-line-visible,2025 final true-up,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,CFPLFT-011,true-up collected/refunded,65.318726,USD millions,"PDF page 9 / Form 2A lists True-Up Collected/(Refunded) of $65,318,726.","The final filing has an aggregate true-up collection/refund line.","It does not identify Distribution Inspection cash collection.","Find category-level collection schedules or billing determinant workpapers.","SPPCRC aggregate true-up collection/refund mechanics are visible."
CFPLDIF-003,Did the PSC authorize rate factors?,customer charge authorization,rate-factor-authority-visible,2026 factor year,fpl-2026-sppcrc-factor-order-psc-2025-0439,CFPLFO-003; CFPLFO-004; CFPLFO-005; CFPLFO-006; CFPLFO-007; CFPLFO-008; CFPLFO-009; CFPLFO-010; CFPLFO-011; CFPLFO-012; CFPLFO-013; CFPLFO-014,approved 2026 SPPCRC factor/tariff authority,multiple,rate factors / authorization,"Order PSC-2025-0439-FOF-EI approves storm cost recovery amounts, related tariffs, and 2026 factors.","The customer-charge mechanism is authorized at order and rate-class factor level.","Authorization is not proof of actual billed or collected cash.","Find stamped tariffs, billing determinant exhibits, and later true-up collection schedules.","SPPCRC customer-charge authority is visible."
CFPLDIF-004,Is recovery capital-structure support visible?,Form 8A total capital structure,total-capital-structure-visible,2025 final true-up,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,CFPLDIF-005; CFPLDIF-006; CFPLDIF-007; CFPLDIF-008; CFPLDIF-009,total adjusted retail capital structure,70622.413018,USD millions,"PDF page 27 / Exhibit ALE-1 page 19 Form 8A lists total adjusted retail capital structure of $70,622,413,018.","The final SPPCRC filing discloses the capital structure used for cost-recovery calculations.","It does not trace funding to Distribution Inspection projects.","Find debt issuance use-of-proceeds, construction funding records, or explicit general-treasury allocation language.","SPPCRC recovery capital-structure support is visible."
CFPLDIF-005,What debt input supports the recovery math?,long-term debt capital structure component,capital-structure-component-visible,2025 final true-up,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,CFPLDIC-008,long-term debt,22907.234278,USD millions,"PDF page 27 / Exhibit ALE-1 page 19 Form 8A lists long-term debt of $22,907,234,278, adjusted retail ratio of 32.436%, midpoint cost rate of 4.58%, weighted cost of 1.4866%, and pre-tax weighted cost of 1.49%.","Long-term debt is an explicit input into the SPPCRC cost-of-capital schedule.","It does not prove that a specific long-term debt issuance funded Distribution Inspection.","Find issuance proceeds, treasury allocation, or regulatory testimony tying debt proceeds to SPPCRC projects.","Long-term debt is visible as a recovery capital-structure input."
CFPLDIF-006,What short-term debt input supports the recovery math?,short-term debt capital structure component,capital-structure-component-visible,2025 final true-up,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,CFPLDIC-008,short-term debt,896.468170,USD millions,"PDF page 27 / Exhibit ALE-1 page 19 Form 8A lists short-term debt of $896,468,170, adjusted retail ratio of 1.269%, midpoint cost rate of 4.86%, weighted cost of 0.0617%, and pre-tax weighted cost of 0.06%.","Short-term debt is an explicit input into the SPPCRC cost-of-capital schedule.","It does not prove construction borrowing or project draw usage.","Find treasury or construction funding support.","Short-term debt is visible as a recovery capital-structure input."
CFPLDIF-007,What equity input supports the recovery math?,common equity capital structure component,capital-structure-component-visible,2025 final true-up,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,CFPLDIC-007,common equity,35140.912233,USD millions,"PDF page 27 / Exhibit ALE-1 page 19 Form 8A lists common equity of $35,140,912,233, adjusted retail ratio of 49.759%, midpoint cost rate of 10.80%, weighted cost of 5.3740%, and pre-tax weighted cost of 7.20%.","Common equity is an explicit input into the SPPCRC cost-of-capital schedule and supports the Distribution Inspection equity component.","It does not prove shareholder cash funded Distribution Inspection or that the equity component is realized profit.","Find capital contribution, retained earnings, or regulatory capital-structure allocation support.","Common equity is visible as a recovery capital-structure input."
CFPLDIF-008,What other balance inputs support recovery math?,deferred tax and tax credit components,capital-structure-component-visible,2025 final true-up,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,CFPLDIF-004,"deferred income tax and weighted-cost investment tax credits","10308.807613; 785.929202",USD millions,"PDF page 27 / Exhibit ALE-1 page 19 Form 8A lists deferred income tax of $10,308,807,613 and weighted-cost investment tax credits of $785,929,202.","Deferred tax and tax credit items are included in the capital-structure schedule.","They do not allocate financing to Distribution Inspection.","Find workpapers explaining how these items affect the selected category's revenue requirement.","Deferred tax and tax credit inputs are visible in Form 8A."
CFPLDIF-009,What total cost rate supports the recovery math?,total weighted cost and pre-tax weighted cost,total-cost-rate-visible,2025 final true-up,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,CFPLDIC-007; CFPLDIC-008,total weighted cost / pre-tax total,7.0330; 8.8822,percent,"PDF page 27 / Exhibit ALE-1 page 19 Form 8A lists total weighted cost of 7.0330% and pre-tax total of 8.8822%.","The final true-up has a total cost-rate schedule supporting the equity and debt component calculations.","It does not prove actual earned ROE or project IRR.","Tie Form 8A cost rates to the Distribution Inspection monthly Form 7A calculation if deeper modeling is needed.","Final SPPCRC cost-rate support is visible."
CFPLDIF-010,Can customer receipts be proven for Distribution Inspection?,category customer receipts,missing,2025 final true-up / 2026 factor year,fpl-2025-sppcrc-final-trueup-epperson-01940-2026; fpl-2026-sppcrc-factor-order-psc-2025-0439,CFPLDIF-001; CFPLDIF-002; CFPLDIF-003,Distribution Inspection customer receipts,,,"The current local source set has aggregate clause revenue, aggregate true-up collection/refund lines, and approved factors, but no Distribution Inspection-specific receipts.","Customer charge authority and aggregate SPPCRC revenue are visible.","Distribution Inspection-specific billed/collected cash is not proven.","Search billing determinant workpapers, tariff factor support schedules, rate-class allocation exhibits, and later true-up collection schedules.","Do not claim Distribution Inspection customer cash receipts."
CFPLDIF-011,Can financing source be proven for Distribution Inspection?,category financing source,partial-context,2025 final true-up / June 30 2026 context,fpl-2025-sppcrc-final-trueup-epperson-01940-2026; nextera-2026q2-earnings-release,CFPLDIF-004; CFPLDIF-005; CFPLDIF-006; CFPLDIF-007; CFPLDIF-008; CFPLDIF-009; CFPLCE-009; CFPLCE-010; CFPLCE-016,Distribution Inspection financing source,,,"Form 8A capital structure and FPL-wide debt/cash/capex context are visible, but no source allocates debt, equity, operating cash, or parent funding to Distribution Inspection projects.","Recovery capital-structure support and utility-wide financing context are visible.","Source-of-funds allocation is not proven.","Search FPL financing footnotes, debt use-of-proceeds, treasury policy, construction funding support, and regulatory testimony.","Do not say debt, equity, or operating cash funded Distribution Inspection without allocation evidence."
CFPLDIF-012,Does the current evidence reach realized return proof?,receipts and financing decision,partial-upgraded,2025 final true-up / 2026 context,derived from local official PSC and NextEra sources,CFPLDIF-001; CFPLDIF-002; CFPLDIF-003; CFPLDIF-004; CFPLDIF-005; CFPLDIF-006; CFPLDIF-007; CFPLDIF-008; CFPLDIF-009; CFPLDIF-010; CFPLDIF-011,full realized return decision,,,"The chain now includes category output, cost, recovery, component attribution, aggregate clause revenue, rate-factor authority, and Form 8A capital structure/cost rates. It still lacks category customer receipts and source-of-funds allocation.","Distribution Inspection is stronger than before and has recovery capital-structure support.","It remains below realized-return proof and project-return-grade proof.","Find customer receipt and financing allocation evidence before promotion.","Safe status: category-output-recovery-with-component-and-capital-structure-attribution partial."
