"metric_id","route_id","source_id","pilot_id","company","proof_ids","metric_family","metric_label","period_or_effective_date","metric_value","unit","source_anchor","promotion_level","what_it_says","what_it_does_not_say"
"CFPGFM-001","CFPGSR-006","fpl-2026-final-settlement-order-psc-2026-0022","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","recovery order","PSC final order number","2026","PSC-2026-0022-S-EI","order id","Final-order PDF front matter identifies Order No. PSC-2026-0022-S-EI in Docket No. 20250011-EI.","recovery-order-anchor-visible","FPL recovery proof now has a commission-order anchor, not only company-slide proxy evidence.","It does not allocate every project or capital category to a revenue requirement."
"CFPGFM-002","CFPGSR-006","fpl-2026-final-settlement-order-psc-2026-0022","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","rate-plan term","settlement term","2026-01-01 through at least 2029-12-31","4","years minimum","Final order describes a rate plan beginning January 1, 2026 and continuing until the later of December 31, 2029 or new base rates.","approved-recovery-term-visible","FPL has a bounded approved recovery term for base-rate framework analysis.","It does not prove individual project returns."
"CFPGFM-003","CFPGSR-006","fpl-2026-final-settlement-order-psc-2026-0022","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","allowed return","ROE midpoint used for rates","settlement term","10.95","percent","Final order states that rates and cost-recovery clause proceedings during the term use a 10.95 percent ROE.","allowed-return-visible","The FPL bridge moves from regulated-return proxy to approved allowed-return evidence.","It is not equity return realized by investors or project-level IRR."
"CFPGFM-004","CFPGSR-006","fpl-2026-final-settlement-order-psc-2026-0022","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","allowed return","authorized ROE range","settlement term","9.95 to 11.95","percent","Final order and settlement terms describe an authorized ROE range around the 10.95 percent midpoint.","allowed-return-range-visible","There is an official corridor for allowed return analysis.","It does not show actual earned ROE or project-level return."
"CFPGFM-005","CFPGSR-006","fpl-2026-final-settlement-order-psc-2026-0022","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","capital structure","authorized equity ratio","settlement term","59.6","percent","Final order/settlement terms identify a 59.6 percent equity ratio based on investor sources.","capital-structure-visible","FPL recovery proof now has an official capital-structure input.","It is not a project-specific funding-source allocation."
"CFPGFM-006","CFPGSR-007","nextera-fpl-2025-settlement-sec-exhibit","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","base revenue","authorized incremental base/service-charge annual revenue","2026-01-01","945","USD million","SEC settlement exhibit states FPL is authorized to increase base rates and service charges by an amount intended to generate additional annual revenue of 945 million dollars in 2026.","settlement-revenue-visible","The settlement amount is lower than the as-filed request and gives an approved-framework revenue denominator.","It is not a project-by-project revenue requirement."
"CFPGFM-007","CFPGSR-007","nextera-fpl-2025-settlement-sec-exhibit","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","base revenue","authorized incremental base-rate annual revenue","2027-01-01","705","USD million","SEC settlement exhibit states the 2027 increase is intended to generate an additional 705 million dollars over then-current base rates.","settlement-revenue-visible","FPL has an official 2027 base-rate step for the recovery bridge.","It does not isolate the share tied to AI/data-center load, solar, battery, or transmission."
"CFPGFM-008","CFPGSR-007","nextera-fpl-2025-settlement-sec-exhibit","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","recovery mechanism","Solar and Battery Base Rate Adjustment project years","2027-2029 solar; 2028-2029 battery","2027-2029 / 2028-2029","years","SEC settlement exhibit authorizes FPL to petition for base-rate recovery for solar projects entering service in 2027-2029 and battery storage projects entering service in 2028-2029.","sobras-mechanism-visible","Solar and battery recovery mechanics are visible as a named mechanism.","It does not prove approval for each future SoBRA project before petition/review."
"CFPGFM-009","CFPGSR-007","nextera-fpl-2025-settlement-sec-exhibit","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","rate stabilization","RSM deferred tax liability amount","settlement term","1155","USD million","SEC settlement exhibit identifies 1.155 billion dollars of deferred tax liabilities in the Rate Stabilization Mechanism amount.","rate-stabilization-visible","FPL settlement includes a cash/rate-stability mechanism that can affect customer bill/revenue timing.","It is not operating output or project-return proof."
"CFPGFM-010","CFPGSR-008","fpl-2025-sppcrc-actual-estimated-projection","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","cost-recovery clause","total jurisdictional SPPCRC revenue requirement","2026","859.244393","USD million","SPPCRC filing testimony says total jurisdictional revenue requirements including true-up amounts are 859.244393 million dollars for January-December 2026.","clause-revenue-requirement-visible","FPL has program-level cost-recovery revenue-requirement evidence for storm-protection investment.","It is not proof for non-storm projects or all grid capital."
