missing_source_id,priority,missing_source_family,affected_graph_ids,affected_cases,affected_count,source_documents_needed,why_it_matters,upgrade_if_found,hold_if_missing,safe_claim
CFRMSI-001,1,customer receipts and billing support,CFMMPG16-002;CFMMPG16-005;CFMMPG16-006;CFMMPG16-014;CFMMPG16-016,"FPL Distribution Inspection; Sterling backlog; Energy Transfer projects; MasTec backlog; Plains tariff route",5,"Customer bills, billing determinants, tariff billing records, collection schedules, route revenue support, retainage collection, customer payment evidence","Converts recovery, tariffs, backlog, and project demand into realized cash evidence.","Upgrade from authorization/rate/backlog evidence to customer cash collection proof.","Without receipts or billing records, recovery authority, tariffs, backlog, and customer demand remain proxy evidence.","Customer receipts and billing support are the highest-leverage missing source family across the current graph."
CFRMSI-002,2,source-to-use allocation and funds-flow priority,CFMMPG16-002;CFMMPG16-006;CFMMPG16-011;CFMMPG16-012;CFMMPG16-013;CFMMPG16-015,"FPL Distribution Inspection; Energy Transfer projects; Matador borrowing base; Devon treasury allocation; PBF refinancing; Liberty Broadband holdco",6,"Funds-flow statements, treasury ledgers, borrowing notices, project allocation schedules, debt/equity/cash source allocation, restricted-cash rollforwards","Shows which dollars funded which project, capex, acquisition, debt repayment, or payout.","Upgrade broad treasury capacity into named source/use funding evidence.","Without allocation support, statement-level liquidity cannot be assigned to specific uses.","Source-to-use allocation is the control that prevents broad capital capacity from being overstated as named-use funding."
CFRMSI-003,3,project or asset EBITDA DCF and cash contribution,CFMMPG16-003;CFMMPG16-006;CFMMPG16-011;CFMMPG16-012;CFMMPG16-013;CFMMPG16-014;CFMMPG16-016,"Cheniere LNG; Energy Transfer projects; Matador borrowing base; Devon treasury allocation; PBF refinancing; MasTec backlog; Plains tariff route",7,"Project EBITDA bridges, asset-area production/cash margin, refinery-level cash contribution, route revenue, segment contribution, DCF contribution, acquired-business cash contribution","Connects funded assets/projects to actual cash generation.","Upgrade company-level cash proxy toward project/asset cash-return evidence.","Without project or asset contribution, company EBITDA, DCF, OCF, and revenue remain aggregate proxies.","Project/asset contribution is the recurring source needed to move from company cash proxy to asset return."
CFRMSI-004,4,debt-service waterfalls and lender allocation,CFMMPG16-001;CFMMPG16-003;CFMMPG16-006;CFMMPG16-011;CFMMPG16-013;CFMMPG16-015;CFMMPG16-016,"Wheaton Antamina; Cheniere LNG; Energy Transfer projects; Matador borrowing base; PBF refinancing; Liberty Broadband holdco; Plains tariff route",7,"Debt-service schedules, lender allocations, borrowing notices, indentures, facility agreements, restricted account schedules, collateral loan documents, repayment waterfalls","Shows whether asset cash repays the specific debt or capital source.","Upgrade cash-generation evidence into capital-provider payback evidence.","Without lender allocation and debt-service support, payback beneficiaries remain inferred rather than proven.","Debt-service waterfalls are needed before cash channels can be tied to creditor payback."
CFRMSI-005,5,borrower facility documents and lender schedules,CFMMPG16-008;CFMMPG16-009;CFMMPG16-010;CFMMPG16-011,"KKR / Global Atlantic channel; Ares borrower exposure; Blackstone credit channel; Matador borrowing base",4,"Borrower credit agreements, lender schedules, payoff letters, borrower financials, funded allocation schedules, bank residual-role support","Identifies loan size, use of proceeds, lender allocations, and borrower repayment route.","Upgrade holder exposure or borrowing-base capacity into borrower source/use/cash proof.","Without facility documents, fair value, commitments, and credit-channel scale do not prove borrower cash movement.","Borrower facility documents are the key unlock for private-credit and reserve-backed lending rows."
CFRMSI-006,6,statutory investment schedules and asset-income detail,CFMMPG16-007;CFMMPG16-008,"Apollo/Athene insurance channel; KKR / Global Atlantic channel",2,"Statutory filings, Schedule D, Schedule BA, investment income schedules, realized gain/loss schedules, impairments, NAIC designations, liability-cost schedules","Identifies legal-entity holdings, income, credit quality, and liability spread.","Upgrade platform-level insurance evidence into legal-entity asset-return proof.","Without statutory detail, insurance liabilities and AUM cannot be traced to legal-entity cash return.","Statutory schedules are the decisive source family for insurance/private-credit balance-sheet proof."
CFRMSI-007,7,contract pricing customer obligation and tenor evidence,CFMMPG16-003;CFMMPG16-005;CFMMPG16-006;CFMMPG16-009;CFMMPG16-014;CFMMPG16-016,"Cheniere LNG; Sterling backlog; Energy Transfer projects; Ares borrower exposure; MasTec backlog; Plains tariff route",6,"SPA price formulas, shipper contracts, customer contracts, open-season results, funded-award evidence, contract tenor, take-or-pay or minimum-volume terms, borrower agreement terms","Establishes whether demand is legally durable and economically meaningful.","Upgrade output/route/backlog evidence into revenue durability and margin support.","Without pricing and obligation terms, output and backlog can be visible but economically underproved.","Contract pricing and obligation evidence turns demand signals into cash-quality evidence."
CFRMSI-008,8,physical output and utilization attribution,CFMMPG16-003;CFMMPG16-004;CFMMPG16-006;CFMMPG16-011;CFMMPG16-016,"Cheniere LNG; United Rentals fleet; Energy Transfer projects; Matador borrowing base; Plains tariff route",5,"Cargo-to-train mapping, fleet-class OEC, fleet utilization, route throughput, asset-area production, terminal volumes, project utilization schedules","Maps volume, utilization, cargoes, production, or throughput to the funded asset.","Upgrade aggregate output into asset-specific output attribution.","Without attribution, output can be real but assigned to the wrong asset/project.","Physical output attribution is needed before output can support asset-level cash-return proof."
CFRMSI-009,9,collateral borrowing-base and availability certificates,CFMMPG16-004;CFMMPG16-008;CFMMPG16-011;CFMMPG16-015,"United Rentals fleet; KKR / Global Atlantic channel; Matador borrowing base; Liberty Broadband holdco",4,"Borrowing-base certificates, collateral reports, reserve reports, pledged-asset files, LTV certificates, FHLB collateral files, availability calculations","Tests whether reported collateral or credit capacity is legally available.","Upgrade financing wrapper evidence into usable source capacity and collateral support.","Without certificates, collateral value and credit capacity remain reported context rather than legal availability proof.","Collateral certificates are the proof control for asset-backed and borrowing-base capital channels."
CFRMSI-010,10,retainage receivable aging and working-capital collection,CFMMPG16-002;CFMMPG16-005;CFMMPG16-014,"FPL Distribution Inspection; Sterling backlog; MasTec backlog",3,"Receivable aging, retainage schedules, customer collection records, contract asset/liability rollforwards, true-up collection support","Shows whether backlog, revenue, or regulatory recovery turns into collected cash.","Upgrade project execution and recovery evidence into cash-collection proof.","Without collection support, revenue and contract-liability timing remain cash proxies.","Working-capital collection evidence is required before backlog/recovery can be treated as cash realized."
