theme_id,theme,first_principle,plain_question,core_mechanism,company_examples,proof_needed,common_bad_claim,writing_status
ARETFP-001,Debt reshaping,"Debt is a dated promise to move future cash to someone else.","Did the company improve its future cash position, or only move the payment date?","A company raises new money, pays off or changes old obligations, changes interest cost or maturity, and then must support the new promise with future operating cash.","PBF; Devon; Matador; Liberty Broadband; Verizon; Wheaton","new debt terms; old debt payoff; fees; taxes; coupon change; maturity change; liquidity; covenant cushion; cash-flow coverage; NPV","Refinancing automatically creates value.",ready
ARETFP-002,Acquisition and rollup finance,"Buying scale is not the same as earning from scale.","What was bought, how was it funded, and did the acquired base convert into cash?","Money buys a company, customer base, backlog, route, asset, or capability. The deal only works if the acquired thing produces revenue, margin, collections, and debt-service capacity after close.","Core & Main; Sherwin-Williams; Lowe's; URI/Yak; Sterling; MasTec; Relation; MAI","purchase price; cash/debt/equity mix; acquired revenue; acquired backlog; purchase accounting; integration costs; margin; working capital; collections","A larger company is automatically a better company.",ready
ARETFP-003,Asset-backed collateral,"A loan is safer only if the pledged asset can turn into cash when needed.","What asset backs the borrowing, and can it actually be collected, sold, rented, or financed?","Receivables, inventory, fleet, leases, card loans, or equipment become borrowing support. The key is eligibility, advance rate, loss risk, and cash conversion.","United Rentals; Target; Zebra; Pool; MSC Industrial; Global Industrial; Synchrony; Arrow","borrowing base; eligible collateral; receivable aging; inventory turns; advance rates; charge-offs; reserves; trustee reports; collections","Balance-sheet assets automatically equal borrowing quality.",ready
ARETFP-004,Capital-intensive buildout,"A plan matters only when money becomes usable capacity.","Can capital spending become productive assets, output, and cash?","A company spends money on plants, equipment, infrastructure, projects, or fleet. The spend matters if the asset enters service, produces output, and earns enough cash after maintenance, financing, and time.","Jacobs; Steel Dynamics; Eaton; Energy Transfer; Cheniere; Nucor; AECOM; Knife River; KBR; United Rentals","capex; project status; in-service date; output; utilization; contract duration; revenue; OCF; debt service; maintenance capex; return model","Capex automatically means growth or return.",ready
ARETFP-005,Government and public funding,"Public demand becomes company revenue only through authority, budget, contract, and collection.","Which public body approved the spending, and who is obligated to pay?","Government, utility, defense, transportation, water, or infrastructure need becomes a funded contract, rate recovery, grant, or approved capital plan. The proof is the legal funding path, not the social need.","CACI; Leidos; Granite; AECOM; utilities; public contractors","appropriation; order; grant; rate case; tariff; contract award; funded backlog; billing; collection; change-order risk","Public need automatically becomes funded company revenue.",ready
ARETFP-006,Water and civic infrastructure,"Water systems fail slowly, but repair cannot be ignored forever.","Who supplies and finances the repair of pipes, drainage, treatment, fire protection, and utility systems?","Aging public and private systems require replacement parts, pipe, valves, meters, engineering, construction, and regulated or municipal funding. The channel is local, physical, and permission-heavy.","Core & Main; Ferguson; American Water Works; Granite; AECOM","municipal budgets; rate base; project awards; pipe and waterworks sales; backlog; branch economics; receivables; collections","Water scarcity or aging infrastructure automatically makes every supplier a winner.",ready
ARETFP-007,Energy logistics and midstream,"Energy value depends on moving molecules from where they are produced to where they are used or exported.","Which route, terminal, pipe, plant, or contract turns volume into cash?","Pipelines, fractionators, storage, export terminals, LNG trains, and processing plants earn only when volumes move through assets under tariffs, contracts, spreads, or fees.","ONEOK; Plains; Targa; Energy Transfer; Williams; Cheniere","route; tariff; contract; volume; utilization; capex; debt; DCF; EBITDA; project contribution; shipper/customer support","A pipeline network automatically earns more because energy demand exists.",ready
ARETFP-008,Electrification equipment bottleneck,"Electricity cannot scale without physical gear.","Who supplies the equipment that lets power be generated, switched, protected, measured, and delivered?","Grid, data-center, industrial, and utility demand needs turbines, switchgear, transformers, cable, controls, power-quality systems, sensors, and service capacity. The bottleneck is physical delivery, not only demand.","Eaton; Teledyne; electrical distributors; turbine suppliers; WESCO","orders; backlog; capacity; lead times; customer deposits; delivery schedule; revenue recognition; margin; working capital","Demand for electrification automatically proves supplier cash flow.",ready
ARETFP-009,Private-market liquidity and secondaries,"An investment is different from cash in hand.","How do investors get liquidity when assets stay private?","Private funds, continuation vehicles, secondaries, tender offers, semi-liquid funds, and redemption queues create ways to transfer ownership or return cash without selling assets publicly.","Blackstone; KKR; Apollo; Carlyle/AlpInvest; Ares; BlackRock","subscription terms; redemption terms; tender documents; secondary sale price; distributions; fees; NAV; DPI; TVPI; IRR","Private-market AUM automatically means investors can get cash when they want.",ready
ARETFP-010,Bank coexistence and replacement,"A new lender does not prove the old lender disappeared.","Who actually supplied the credit, and did banks stay in the stack?","Private credit, BDCs, banks, ABL lenders, revolvers, bonds, and agent banks can coexist. A deal may replace one bank loan while preserving bank roles elsewhere.","Ares borrower rows; Auctane; Frontline; PBF; Matador; URI","credit agreement; lender list; admin agent; revolver banks; payoff language; facility size; collateral; pricing; treasury or hedging role","Private credit has replaced banks everywhere.",ready
