claim_id,borrower,fact_type,fact_value,source_file,source_line_or_marker,evidence_direction,claim_effect,verification_status
CF-005,Auctane / Stamps.com,transaction value,6.6B USD,raw/primary-sources/capital-flow/borrower-transactions/auctane-stamps-com/paul-hastings-stamps-com-unitranche.html,line 195 marker: 6.6 billion,evidence-to-claim,"Shows the borrower transaction was large enough to test mega-direct-lending capacity, not just middle-market lending.",local-marker-found
CF-005,Auctane / Stamps.com,private-credit lender group,Blackstone Credit; Ares Corporation; PSP Investments,raw/primary-sources/capital-flow/borrower-transactions/auctane-stamps-com/paul-hastings-stamps-com-unitranche.html,line 195 markers: Blackstone Credit; Ares Corporation; PSP Investments,evidence-to-claim,Supports private-credit lender identity for the Auctane/Stamps.com acquisition financing.,local-marker-found
CF-005,Auctane / Stamps.com,debt structure and amount,2.775B USD unitranche financing,raw/primary-sources/capital-flow/borrower-transactions/auctane-stamps-com/paul-hastings-stamps-com-unitranche.html,line 195 markers: unitranche; 2.775 billion,claim-to-evidence,Supports the claim that private credit funded the transaction through a large direct-loan/unitranche structure.,local-marker-found
CF-005,Guidehouse,transaction value and sponsor,Bain Capital acquired Guidehouse from Veritas Capital for 5.3B USD,raw/primary-sources/capital-flow/borrower-transactions/guidehouse/guidehouse-bain-close.html,line 408 markers: Bain Capital; Veritas Capital; 5.3 billion,evidence-to-claim,Supports sponsor-backed transaction context and deal size.,local-marker-found
CF-005,Guidehouse,bank competition,Blackstone-led private lenders held off banks vying to finance the buyout,raw/primary-sources/capital-flow/borrower-transactions/guidehouse/bloomberg-law-guidehouse-private-loan.html,lines 27/58 markers: Private lenders led by Blackstone; held off banks; banks vying,claim-to-evidence,Supports the strongest current borrower-level bank-competition/displacement-adjacent claim.,local-marker-found-secondary-source
CF-005,Guidehouse,facility amount reference,3.075B USD existing debt/facility reference,raw/primary-sources/capital-flow/borrower-transactions/guidehouse/bloomberg-law-guidehouse-private-loan.html,line 58 marker: 3.075; existing debt; HPS Investment Partners,claim-to-evidence,Supports the size of the financing contest but still needs primary credit document confirmation.,local-marker-found-secondary-source
CF-005,Medallia,transaction value,6.4B USD acquisition value,raw/primary-sources/capital-flow/borrower-transactions/medallia/thoma-bravo-medallia-acquisition.html,line 1 marker: 6.4 billion,evidence-to-claim,Supports scale of the software take-private transaction.,local-marker-found
CF-005,Medallia,private-credit lender group,Blackstone Credit; Apollo Capital Management affiliates; KKR Credit; Thoma Bravo Credit; Antares Capital,raw/primary-sources/capital-flow/borrower-transactions/medallia/thoma-bravo-medallia-acquisition.html,line 1 markers: Debt financing; Blackstone Credit; Apollo Capital Management; KKR Credit; Thoma Bravo Credit; Antares Capital,evidence-to-claim,Supports private-credit lender identity for the original take-private financing.,local-marker-found
CF-005,Medallia,lender-led ownership transition,"Ownership to transition from Thoma Bravo to investor group led by Blackstone, Apollo, and FS KKR Capital Corp",raw/primary-sources/capital-flow/borrower-transactions/medallia/medallia-2026-lender-led-ownership-transition.html,"line 3757 markers: change ownership; Blackstone, Apollo, and FS KKR",evidence-to-claim,Supports private-credit workout/control risk claim rather than clean bank-displacement claim.,local-marker-found
CF-005,Medallia,new capital,150M USD new capital,raw/primary-sources/capital-flow/borrower-transactions/medallia/medallia-2026-lender-led-ownership-transition.html,lines 3730/3757/3759 markers: 150 million,evidence-to-claim,Supports the recapitalization/new-money component of the lender-led transition.,local-marker-found
