candidate_id,part3_page,part3_source_y,part3_name,disposal_consideration,part3_row_rank,candidate_rank,candidate_source,candidate_page,candidate_row_id,candidate_cusip,candidate_name,overlap_tokens,coverage_score,jaccard_score,candidate_status,boundary
CFAASBANC-0001,5830,195.5,WIlmington DE......... AP Aristotle Holdings LLC WIlmington,"6,500,000",1,1,part1,5813,CFAASBACP-0001,00264#-AA-5,AP Aristotle Holdings LLC Aristotle Junior Perpetual,aristotle;holdings,1.0000,1.0000,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0002,5830,195.5,WIlmington DE......... AP Aristotle Holdings LLC WIlmington,"6,500,000",1,2,part2,5826,CFAASBACP2-0004,00264#-AA-5,AP Aristotle Holdings LLC WIlmington AP Aristotle Holdings LLC Aristotle Junior Perpetual WIlmington,aristotle;holdings,1.0000,1.0000,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0003,5830,195.5,WIlmington DE......... AP Aristotle Holdings LLC WIlmington,"6,500,000",1,3,part2,5826,CFAASBACP2-0003,,Ace Credit Fund LP ACE J59738 AP Aristotle Holdings LLC WIlmington,aristotle;holdings,1.0000,0.4000,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0004,5830,195.5,WIlmington DE......... AP Aristotle Holdings LLC WIlmington,"6,500,000",1,4,part2,5826,CFAASBACP2-0005,G2973#-AB-4,AP Aristotle Holdings LLC Aristotle Junior Perpetual WIlmington AP Chia Issuer LLC AP Chia PERP NC10 JR Notes,aristotle;holdings,1.0000,0.3333,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0005,5830,320.8,.........CYM........ CD&R Friends & Family Feeder Fund X L.P.,"661,600",2,1,part2,5826,CFAASBACP2-0013,,CD&R Friends & Family Feeder Fund X L.P.,family;feeder;friends,1.0000,1.0000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0006,5830,320.8,.........CYM........ CD&R Friends & Family Feeder Fund X L.P.,"661,600",2,2,part1,5813,CFAASBACP-0014,,"BSI, LLC CD&R Friends & Family Feeder Fund X L.P.",family;feeder;friends,1.0000,0.7500,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0007,5830,320.8,.........CYM........ CD&R Friends & Family Feeder Fund X L.P.,"661,600",2,3,part1,5813,CFAASBACP-0015,,"CD&R Friends & Family Feeder Fund X L.P. Cibus Fund L.P,",family;feeder;friends,1.0000,0.7500,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0008,5830,320.8,.........CYM........ CD&R Friends & Family Feeder Fund X L.P.,"661,600",2,4,part2,5826,CFAASBACP2-0014,,"CD&R Friends & Family Feeder Fund X L.P. Cibus Fund L.P,",family;feeder;friends,1.0000,0.7500,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0009,5830,328.8,"CD&R Friends & Family Feeder Fund X L.P. DE......... L Catteron VIII Offshore, L.P. Wilmington","103,987",3,1,part1,5813,CFAASBACP-0026,,"L Catteron VIII Offshore, L.P.",catteron;offshore;viii,1.0000,0.5000,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0010,5830,328.8,"CD&R Friends & Family Feeder Fund X L.P. DE......... L Catteron VIII Offshore, L.P. Wilmington","103,987",3,2,part2,5826,CFAASBACP2-0013,,CD&R Friends & Family Feeder Fund X L.P.,family;feeder;friends,1.0000,0.5000,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0011,5830,328.8,"CD&R Friends & Family Feeder Fund X L.P. DE......... L Catteron VIII Offshore, L.P. Wilmington","103,987",3,3,part1,5813,CFAASBACP-0014,,"BSI, LLC CD&R Friends & Family Feeder Fund X L.P.",family;feeder;friends,0.7500,0.4286,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0012,5830,328.8,"CD&R Friends & Family Feeder Fund X L.P. DE......... L Catteron VIII Offshore, L.P. Wilmington","103,987",3,4,part1,5813,CFAASBACP-0015,,"CD&R Friends & Family Feeder Fund X L.P. Cibus Fund L.P,",family;feeder;friends,0.7500,0.4286,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0013,5830,328.8,"CD&R Friends & Family Feeder Fund X L.P. DE......... L Catteron VIII Offshore, L.P. Wilmington","103,987",3,5,part2,5826,CFAASBACP2-0014,,"CD&R Friends & Family Feeder Fund X L.P. Cibus Fund L.P,",family;feeder;friends,0.7500,0.4286,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
