brief_id,answer_area,answer_status,safe_sentence,evidence_basis,caveat,next_proof_needed,upgrade_trigger,do_not_say,linked_artifacts,external_readiness
CFAB-001,Overall thesis,intermediate-answer,"Large pools of capital are moving through distinct financial wrappers into identifiable real-economy borrowers, assets, projects, collateral pools, and operating systems.","Meta-question matrix; detailed answers dossier; claim dashboard; evidence ledger; answer-status dashboard.","The full source-to-use-to-output-to-bank-role chain is proven only in pieces.","Source-of-capital decomposition, facility-size reconstruction, use-of-proceeds documents, bank-role proof, and operating-conversion scorecards.","Upgrade when source, vehicle, borrower/company, use, output, bank role, and denominator align for repeated cases.","Do not say the whole thesis is fully proven across sectors.","capital-flow-to-real-economy-end-to-end-thesis.md; capital-flow-meta-question-status-dashboard-pass-1.md; capital-flow-detailed-answers-open-questions-pass-1.md",yes-bounded
CFAB-002,Where capital flows,usable-bounded-answer,"Capital is visibly reaching private-credit borrowers, power/grid assets, energy infrastructure, fleet and collateral pools, backlog execution, acquisition finance, and sponsor-backed operating platforms.","Ares borrower holder expansion; capital-intensive funding map; URI and Sterling passes; power/grid and energy source rows.","Exact use split remains incomplete across productive capacity, acquisition, refinancing, liquidity, and control transfer.","Classify each destination row by use-of-proceeds and operating output.","Upgrade when each destination has same-period amount, source, use, and output metric.","Do not turn every funded exposure into new productive capacity.","capital-flow-ares-borrower-holder-expansion-pass-1.md; capital-flow-use-of-proceeds-classification-pass-1.md; capital-flow-capital-intensive-project-funding-map-pass-1.md",yes
CFAB-003,Source of capital,partial-answer,"Visible wrappers include BDCs, insurers, retirement-linked platforms, public debt investors, ABL and AR lenders, private-credit funds, and bank facilities.","Vehicle taxonomy; source-to-vehicle bridge; BDC funding-stack extractions; insurance platform extractions.","Ultimate investor or liability source is not tied to most named borrower rows in the same period.","Vehicle capital-stack decomposition for public BDCs and non-traded/private-credit vehicles.","Upgrade when same-period vehicle funding stack and borrower holding are both visible.","Do not say a holder vehicle proves the ultimate money source.","capital-flow-capital-source-to-vehicle-bridge-pass-1.md; capital-flow-vehicle-taxonomy.csv; capital-flow-detailed-answer-proof-tasks-pass-1.csv",yes-with-caveat
CFAB-004,Vehicle layer,strong-answer-for-visible-holder-layer,"The visible Ares borrower holder layer now classifies public BDCs, non-traded BDC/private-credit funds, registered funds, private funds, direct-lending programs, and transaction-context sources.","83-row holder expansion; 16-row vehicle taxonomy; source-to-vehicle bridge.","Vehicle identity is stronger than ultimate source-of-capital proof.","Funding-stack decomposition by vehicle and reporting period.","Upgrade when vehicle type, manager, funding stack, liabilities, NAV/equity, leverage, and investor base are visible.","Do not equate vehicle classification with full source allocation.","capital-flow-ares-borrower-holder-expansion-pass-1.md; capital-flow-vehicle-taxonomy.csv",yes-bounded
CFAB-005,Use of proceeds,usable-bounded-answer,"Private-credit borrower flows are mixed: acquisition finance, consolidation support, continued-growth facilities, incremental commitments, transaction-only leads, and selected bank-credit repayment or termination are all visible.","12-row use-of-proceeds classification pass; bank-role pass; answer-resolution queue.","Organic capex and new productive capacity are not the default conclusion for every borrower.","Credit agreements, merger proxies, sponsor releases, funds-flow language, acquisition timelines, and borrower KPIs.","Upgrade when a named amount is tied to exact use and borrower event.","Do not say every private-credit dollar funds organic growth.","capital-flow-use-of-proceeds-classification-pass-1.md; capital-flow-answer-resolution-queue-pass-1.md",yes
CFAB-006,Bank replacement,partial-high-value-answer,"Specific borrower-level bank-facility takeout can be proven in selected cases, while broad bank replacement remains unproven.","Auctane/Stamps.com termination evidence; Medallia repayment evidence; Atwell unresolved bank-facility test; Guidehouse secondary bank-competition lead.","Banks may remain as revolver lenders, agents, hedging providers, treasury providers, collateral-facility lenders, or other ancillary providers.","Pre/post lender maps, payoff notices, UCC amendments, credit agreements, rating reports, and bank denominators.","Upgrade only when prior bank facility status and new private-credit role are both visible.","Do not say private credit is broadly replacing banks.","capital-flow-bank-role-after-private-credit-pass-1.md; capital-flow-answer-resolution-queue-pass-1.md",yes-very-bounded
CFAB-007,Borrower-specific versus platform-scale,strong-method-answer,"Platform AUM and deployment prove scale; BDC schedules and borrower crosswalks prove named exposure; they are different evidence levels.","Meta-question matrix; detailed proof-task table; Ares holder expansion; promoted claims register.","Platform pools cannot be allocated to named borrowers without a bridge.","Same-period vehicle, borrower, instrument, facility, and source evidence.","Upgrade when platform, vehicle, borrower, period, instrument, and amount all line up.","Do not use AUM or deployment as borrower allocation proof.","capital-flow-meta-question-answer-matrix.md; capital-flow-detailed-answer-proof-tasks-pass-1.csv; capital-flow-promoted-claims-and-overclaims-pass-1.md",yes
CFAB-008,Aggregation control,strong-control-answer,"Audit rows, same-period borrower controls, and master-rollup promoted totals are separate and should be used for different claims.","83-row Ares expansion; 9-row same-period borrower summary; master borrower exposure rollup.","The control must be reused across future lanes and external writing.","Reusable aggregation-control standard and claim-specific permitted-use fields.","Upgrade when every promoted number carries period, row-type, duplicate, and permitted-use controls.","Do not sum mixed-period, comparative, locator, transaction-only, and derived rows as current exposure.","capital-flow-ares-borrower-same-period-exposure-summary-pass-1.csv; capital-flow-master-borrower-exposure-rollup.md",yes
CFAB-009,Operating conversion,stronger-partial-answer,"URI is now a repeated-period fleet capital-to-output proxy case, Sterling is now a conversion-supported backlog/acquisition execution platform, and ET/Cheniere have bounded company/entity/physical-output evidence; grid/power still needs project-level output linkage.","URI operating conversion scorecard; Sterling backlog credit-platform conversion pass; ET/Cheniere energy project source-use-return pass; capital-intensive source-table, denominator, and project-funding passes.","Direct source-to-specific-output linkage remains incomplete for most lanes; ET/Cheniere still lack complete project-level source-of-funds, use-of-proceeds, customer economics, cash return, and waterfall proof.","Publication-ready claim register; grid/power conversion scorecards; Sterling project/customer funding bridge and post-reset credit/L/C usage bridge; ET/Cheniere project registry by asset/train.","Upgrade when named funded period links to sustained revenue, utilization, cash conversion, rate-base, MW, cargo, backlog burn, or project-specific output evidence.","Do not treat capex, backlog, AUM, funding capacity, L/C capacity, revolver size, or cargo counts as full project return proof by itself.","capital-flow-operating-conversion-scorecard-pass-1.md; capital-flow-sterling-backlog-credit-platform-conversion-pass-1.md; capital-flow-energy-project-source-use-return-pass-1.md",internal-mostly
CFAB-010,Scale across 519 companies,template-grade-system-answer,"The 519-company universe now has a role/wrapper/proof extraction template that routes every company into a lane, expected funding wrapper, source-availability status, proof level, denominator need, next-document target, safe claim, and do-not-claim boundary.","519-company triage; lane candidate queues; all-company scale-up operating model; all-company extraction template; evidence ledger.","Most rows remain radar, high-signal backlog, or lane-queue status until primary-source extraction is run.","Run lane-specific extraction batches from the template and refresh proof levels after each source pass.","Upgrade when every company has source-backed role, wrapper, evidence, denominator, and safe-claim status rather than template-grade status.","Do not treat the 519-company template as source proof or representative completion of the thesis.","capital-flow-all-company-triage.md; capital-flow-lane-candidate-queues.md; capital-flow-all-company-extraction-template-pass-1.md",yes-bounded-process
