audit_id,goal_requirement,status,authoritative_evidence,source_artifact,remaining_gap,verification_method
CA-01,Originating social macro or industry observation named and dated,proven,"Pilot 02 dated affordability/substitution signals, independent Fed SHED and BLS expenditure corroboration, official CPI/real-earnings/retail-sales anchor, and source matrix",analysis/company-first-principles/combined-investment-research-pilot-02-independent-affordability-validation-2026-09-15.md,Population prevalence causality retailer attribution real-volume attribution and cross-pilot generalization remain unresolved,Verify the named dated source route; retain the broader causal conclusion as qualified
CA-02,Affected industry and control point explained,proven,Three pilot control-point and burden maps,analysis/company-first-principles/combined-investment-research-current-synthesis.md,No material gap at pilot-model level,Inspect pilot control-point sections and burden fields
CA-03,Candidate company or cohort selected for stated reason,proven,Pilot selection rationale and source ledgers,analysis/company-first-principles/combined-investment-research-meaty-end-to-end-goal.md,Private-company discovery remains directional,Check selection rationale and ledger entity coverage
CA-04,Primary filing evidence locally traceable,proven,SEC/IR source artifacts and verifier source-path checks,analysis/company-first-principles/combined-investment-research-current-synthesis.md,Future-period refresh remains required,Run source resolver and verify required artifacts
CA-05,Operating model identifies payer and burden carrier,proven,"Retail stream and insurance operating models including Target-TD card payer/burden map, Roundel accounting boundary, Walmart ecosystem control point, attached-service control points, and Target Q2 aggregate merchandise/fulfillment burden plus temporary tariff support",analysis/company-first-principles/combined-investment-research-pilot-02-target-q2-attached-service-burden-boundary-2026-09-15.md,Attached-service cost and legal-entity allocation remains open,Inspect operating denominator and burden map
CA-06,Reported performance reconciled to correct cash denominator,partial,"Common-period retail cash matrix with filed net-sales denominators and cash-after-property percentages plus OCF-less-property bridges, the fiscal-year-aligned TJX/Target/Walmart annual cash-after-property-per-diluted-share control with lease/tax context and annual supplier-finance movement, the annual Target/Walmart attached-services 0–100% conversion frontier, capex-allocation sensitivity, Walmart known-growth capex boundary, H1 TJX cash-quality screen, Target and Walmart ordinary-repair expense boundaries, retail owner-cash promotion rule, Target Q2 attached-service burden boundary, consolidated retail cash frontier, Walmart attached-income denominator reconciliation, the cross-pilot cash-denominator reconciliation, and the 16-field retail cohort owner-cash input schema; Antamina OCF proxy, corporate burden context, official-SOFR all-in financing sensitivity, and separate maturity-bullet coverage screen; Apollo 2025 Athene statutory entity asset/liability and investment-income cash bridge with 96.46% conversion screen, decomposed H1 investment-earnings/cost-of-funds bridge, ANI entity-dividend boundary, collected-income screen, legal-entity income/cash bridge, cash-pool and parent cash-use bridge, and FY2025 parent-company dividend receipt",analysis/company-first-principles/combined-investment-research-cash-denominator-reconciliation-2026-09-15.md,Normalized owner cash and entity-specific allocation remain incomplete,Run denominator reconciliation and promotion matrix; use the field-level schemas and obtain missing delivery settlement maintenance-service and parent-receipt bridges
CA-07,Reinvestment financing liabilities acquisitions and dilution visible,proven,"Retail cohort operating and common-period cash matrices plus burden tables and capex-allocation sensitivity; Antamina funding context with term-loan/RCF margin, official-SOFR burden sensitivity, and BHP subsidiary-versus-Antamina legal-counterparty boundary; Apollo 2025 statutory asset/liability and investment-turnover boundaries, entity and claim bridges, statutory cash, legal-entity cash obligations, Q2 2026 preferred/RSU adjusted-share denominator, FY2025 parent-company dividend receipt, and the cross-pilot capital-obligation/claim matrix with explicit non-additivity rules",analysis/company-first-principles/combined-investment-research-current-synthesis.md,"Maintenance capex allocation, full legal-entity cash obligations, BHP settlement attribution, Athene attribution, and instrument-specific dilution economics remain incomplete even though the required burden categories are visible","Check burden tables, claim denominator, allocation boundaries, and next-upgrade fields"
CA-08,Damodaran assumptions convert narrative into valuation range,proven,Three valuation workbenches; Apollo SOTP; dated 2026-09-16 market snapshot,analysis/company-first-principles/combined-investment-research-current-synthesis.md,Normalized cash and reinvestment inputs remain illustrative,Verify workbench arithmetic and assumption labels; do not promote illustrative ranges to intrinsic-value proof
CA-09,Lyn Alden macro and liquidity risks connected to company mechanisms,proven,"Checked macro-liquidity transmission matrix, dated official macro anchor, historical 2020-2026 regime panel, same-period 2026 company/regime join across retail Wheaton and Apollo, multi-period retail cash-screen bridge, current-regime validation, cross-pilot quantified screens, and Apollo denominator-held stress tests",analysis/company-first-principles/combined-investment-research-macro-historical-regime-validation-2026-09-15.md,Through-cycle stress causal attribution and legal-entity policy transmission remain partly unresolved,Inspect historical regime rows common-period join longitudinal retail bridge external anchor validation rows stress rows and falsifier links; retain causal conclusion as qualified
CA-10,Capital-flow claims labeled by proof level without overclaiming,proven,226 evidence gates including BHP contract-denominator; production-profile proxy; BHP-interest reserve-quantity proxy; BHP legal-counterparty and Antamina JV perimeter; BHP annual counterparty delivery-curve proxy; BHP full-year production-denominator boundary; BHP threshold-timing sensitivity; Q2/H1 incremental production proxy; BHP Q4 production/sales proxy; actual H1 Wheaton debt draw/repayment/interest/debt-issue cash-flow boundaries; company-level financing-margin sensitivity; corporate burden context; financing terms; first-delivery; named-route; statutory cash-like rows; two page-level same-CUSIP statutory bridges; corrected same-CUSIP row bridges; same-CUSIP lot-chronology boundary; named-route liability-cost sensitivity; period-matched FY2025 segment spread screen; Athene buyer-side ARI portfolio-expansion boundary; ARI transaction cash-consideration boundary; Apollo ANI-to-common-owner residual frontier; FY2025 Apollo–Athene dividend-attribution narrowing boundary; retail affordability demand-to-cash bridge; dated legal-dividend path; statutory parent-affiliate boundary; Apollo Q2 preferred/RSU adjusted-share denominator; Apollo FY2025 parent-only dividend-receipt boundary; Apollo FY2025 Athene/ADIP related-party-flow boundary; Apollo Q2 ACRA/ADIP related-party-flow boundary; Apollo Athene decomposed investment-earnings and cost-of-funds attribution; Apollo named-route concentration; Athene full-range Schedule D population; Athene Schedule D section-total reconciliation; Athene blank-column parser boundary; small-parenthetical gain/loss boundary; entity-dividend boundary; parent-liquidity source route; segment cash-pool boundary; legal-dividend path; Q2 dividend schedule; consolidated unrestricted-cash boundary; parent-only source boundary; Athene Q2 parent-flow observation; Apollo Q2 HoldCo liquidity/intercompany boundary; Apollo Q2 XBRL parent-receipt boundary; Athene-to-AGM intercompany-note route; legal-entity statutory asset/liability and investment-income cash bridge; statutory gross-yield screen; spread-dollar/compression screen; completed ARI sale/seller-cash-use; zero-seller-loan; named-repayment; CECL-loss; sale-discount; and collateral-control boundaries; buyer-side ARI credit boundary; combined-stream cumulative cash-back proxy; current-period AMAPS 1 wrapper-exposure boundary; Concord deal-level timely-interest servicing boundary; TJX maintenance-expense accounting boundary; retail margin/working-capital normalization; latest forward-spending context; official affordability macro anchor; retail owner-cash promotion rule; annual capex-reference proxy; Target annual capex category reference; Target 2026 capital-plan boundary; Apollo parent-use coverage frontier; exact Walmart H1 FY2027 capex categories; Walmart known-growth capex boundary; H1 retail capex-direction gates; Target attached-service payer/accounting and Q2 aggregate-burden boundaries; Walmart attached-service segment denominator and ecosystem boundary; retail attached-service mix screen; retail common-period cash and cohort operating; credit-quality; parent cash-use; upstream-receipt; supplier-finance; attached-services boundaries; retail attached-service cash-conversion frontier; H1 TJX cash-quality screen; retail cash-quality support-dependency screen; Apollo–Athene parent-receipt attribution frontier; Q2 financial-supplement source boundary; Q2 parent-receipt attribution frontier; Wheaton–Antamina local-packet settlement boundary; metal-credit accounting settlement proof-object boundary; Wheaton company-level funding-envelope boundary; Walmart FCF denominator limitation boundary; after-tax financed allocation frontier; reserve-constrained delivery ceiling; longitudinal retail cash/regime bridge; retail common-period normalization surface; Inc. 5000 retail attached-services bridge; Wheaton Investor Day forward-profile boundary; dual Antamina PMPA threshold reconciliation; Apollo–Athene WHCO guarantee boundary; Apollo Broadcom fee-timing boundary; and BHP upfront amount/date settlement bridge,analysis/company-first-principles/combined-investment-research-meaty-end-to-end-goal.md,Full receipt waterfall and common-owner cash remain open,Run combined pilot verifier and review proof statuses
CA-11,Price-implied expectation explicit,proven,"Retail and Apollo price-implied cash/earnings reversals plus Antamina transaction-level burden screen against a dated 2026-09-16 market snapshot",analysis/company-first-principles/combined-investment-research-price-implied-expectation-2026-09-15.md,Fully normalized denominators and intrinsic-value conclusion remain unresolved,Verify reverse-valuation arithmetic market snapshot fields and Wheaton identifiability boundary; do not treat required cash as observed cash
CA-12,Filing-based thesis breaker measurable,proven,Nine-row cross-pilot thesis-breaker register,analysis/company-first-principles/combined-investment-research-thesis-breaker-register.md,Triggers await subsequent filings or source tests,Verify register rows and next-document fields
CA-13,Every important claim has reproducible source path,proven,Ledger source-path checks required artifact list checked next-evidence queue and zero-broken-link repository navigation check,analysis/company-first-principles/combined-investment-research-current-synthesis.md,External source refresh and archival completeness remain ongoing,Run check-internal-links plus repository and pilot verifiers and inspect queue source routes
