chase_id,borrower_case,proof_gate,source_document,source_route,period,current_evidence,value_or_metric,current_status,what_it_proves,what_it_does_not_prove,next_required_source,upgrade_test
CFAFBU-001,Ares/Frontline,operating borrower,Frontline Road Safety company site; local Ares borrower proof stack,public company site and local derived evidence,current,Frontline Road Safety is an operating roadway safety and pavement-marking services borrower,national pavement marking and roadway/airport safety services,operating-borrower-visible,Named real-economy borrower exists,Financing source use proceeds cash generation and repayment remain unproven,Company financials and facility borrower/guarantor schedules,Upgrade if borrower legal entities and operating cash flow can be tied to the facility documents
CFAFBU-002,Ares/Frontline,sponsor transaction,Bain Capital Frontline transaction release; Sterling sale completion release,public sponsor and seller transaction releases,January-March 2025,Bain Capital acquired Frontline from The Sterling Group with management remaining investors,financial terms not disclosed,sponsor-transaction-visible,Sponsor transaction context is visible,Debt funding amount proceeds movement and lender allocation remain unproven,Purchase agreement debt commitment letter and closing funds-flow statement,Upgrade if transaction documents identify financing sources uses payoff and equity rollover
CFAFBU-003,Ares/Frontline,Ares arranger role,Ares Q2 2026 direct-lending origination release,public Ares origination release,July 31 2026,Ares served as lead arranger and bookrunner for a senior secured credit facility supporting Bain's continued growth plans for Frontline Road Safety Holdings,lead arranger and bookrunner for senior secured credit facility,arranger-role-visible,Ares role and facility type are visible,Total facility size funded allocation full lender group and proceeds schedule remain unproven,Credit agreement amendment lender schedule and administrative-agent records,Upgrade if facility documents disclose borrower facility amount lenders allocations and proceeds
CFAFBU-004,Ares/Frontline,holder-dollar funded exposure,Frontline SEC holder crosswalk; Ares borrower facility proof stack,local SEC-derived holder schedules,Q2 2026,Visible funded fair value across FSK K-FITS and GSBD,198.675M USD latest visible Q2 2026 fair value,holder-dollar-proxy-visible,Public holder schedules show funded exposure to Frontline-related instruments,Holder fair value does not equal total facility size Ares allocation drawn cash or borrower receipt,Full lender schedule and Ares-managed vehicle allocation schedule,Upgrade if funded holder rows reconcile to total facility and lender allocation
CFAFBU-005,Ares/Frontline,Ares-managed holder context,ASIF source-of-capital and Frontline holder context,local SEC-derived holder schedules,Q1 2026,Ares-managed ASIF holder context is visible for Frontline,76.6927M USD Q1 2026 fair value,ares-managed-period-boundary-visible,Ares-managed exposure context exists in another period,Period boundary prevents adding it to Q2 funded total or treating it as current allocation,Same-period ASIF filing or reconciled roll-forward,Upgrade if same-period Ares-managed vehicle exposure can be reconciled without double counting
CFAFBU-006,Ares/Frontline,unfunded commitment context,GSPCC Q1 2026 and GSBD Q2 2026 commitment disclosures,local SEC-derived holder schedules,2026,Visible unfunded commitment context exists across public holders,54.300M USD visible unfunded commitments,commitment-context-visible,Additional facility availability or commitment exposure is visible,Unfunded commitments are not drawn borrower cash or realized use of proceeds,Credit agreement availability schedule and draw history,Upgrade if commitment availability draw mechanics and borrower draw cash are disclosed
CFAFBU-007,Ares/Frontline,instrument markers,Frontline holder rows and Ares borrower facility proof stack,local SEC-derived instrument terms,Q2 2026,First-lien senior secured loan markers with SOFR spread and March 2032 maturity cluster,SOFR plus 4.75%-5.00%; March 2032 maturity,instrument-marker-visible,Instrument type pricing band and maturity cluster are visible,Full credit terms collateral covenants amortization lender shares and borrower cash flows remain unproven,Credit agreement collateral agreement covenant package and amortization schedule,Upgrade if legal documents expose full terms collateral waterfall and lender economics
CFAFBU-008,Ares/Frontline,use of proceeds clue,Ares Q2 2026 direct-lending origination release,public Ares origination release,Q2 2026,Ares says the senior secured credit facility supports Bain's continued growth plans for Frontline,broad continued-growth purpose,use-of-proceeds-clue-only,Broad stated financing purpose is visible,Specific cash uses such as refinancing acquisition add-on M&A capex working capital dividends fees or repayments remain unproven,Use-of-proceeds schedule funds-flow memo debt commitment letter and sponsor model,Upgrade if proceeds are allocated to named uses and cash recipients
CFAFBU-009,Ares/Frontline,borrower cash and repayment,Local and targeted public search,no public/local borrower cash source found,current,No current local or public source found for Frontline borrower financials debt-service coverage interest receipts principal repayments or payoff,not found,borrower-cash-repayment-hold,The proof gap is narrowed to borrower cash generation and repayment evidence,Does not prove EBITDA free cash flow debt service interest receipts principal receipts repayment or payoff,Borrower financials rating report lender reporting package and repayment ledger,Upgrade if borrower cash flow and debt-service records tie facility debt to cash receipts or repayment
CFAFBU-010,Ares/Frontline,full facility proof,Local and targeted public search,no public/local credit agreement source found,current,No current local or public source found for total facility size full lender group Ares allocation collateral package covenant package or use-of-proceeds funds-flow,not found,facility-proof-hold,The decisive missing document package is identified,Does not prove total facility size lender allocation Ares-funded share collateral covenants proceeds flow borrower receipt or bank role,Credit agreement lender allocation schedule funds-flow statement collateral agreement UCC filings and payoff letter,Upgrade if the facility legal package ties lenders funding sources uses collateral and repayment route end to end
