chase_id,platform,primary_lane,money_source,wrapper,named_proof_chase,why_this_chase,current_proof,decisive_missing_documents,promotion_test,safe_claim,next_action
CFPPM-001,BlackRock / HPS,private credit and private markets,"ETF and index clients; institutions; wealth; retirement; private-market allocators","HPS private credit vehicles; infrastructure/private-market products; platform workflow",named HPS borrower or infrastructure-linked financing case,"BlackRock is already mapped as the broad routing platform; HPS is the route most likely to produce named borrower cash proof",platform-map-visible-no-named-cash-case-yet,"HPS vehicle allocation; lender schedule; borrower credit agreement; funds-flow memo; use of proceeds; interest/principal cash; repayment or valuation support","promote only if a named vehicle can be tied to named borrower/project cash and payback/return evidence",BlackRock/HPS has a route-to-proof chase but not named cash proof yet,select one named HPS borrower or infrastructure case from available filings
CFPPM-002,Blackstone Credit & Insurance,"private credit; ABF; insurance-client capital; data-center/infrastructure credit","institutions; insurers; wealth clients; perpetual capital","Credit & Insurance vehicles; insurance SMAs; BCRED/BXSL-style vehicles",Blackstone borrower or data-center/infrastructure financing case,"Blackstone is the strongest private-market product router; current evidence is still channel and deployment evidence",platform-and-credit-channel-visible,"vehicle-to-borrower allocation; lender schedule; borrower use; debt-service cash; collateral; customer receipts; project or borrower return support","promote only if vehicle allocation plus borrower/project receipt and repayment evidence are obtained",Blackstone is mapped as a major credit/insurance router but borrower cash is still unproven,rank public Blackstone credit borrower candidates by document availability
CFPPM-003,Apollo / Athene,insurance and retirement yield,"annuity policyholders; retirement savers; reinsurance vehicles; institutions","Athene legal entities; Apollo managed accounts; direct origination; ABF",Athene statutory asset-income and spread case,"Apollo/Athene is the cleanest liability-to-credit engine; statutory schedules are the decisive proof route",liability-channel-and-spread-proxy-visible,"Schedule D/BA holdings; investment income by asset type; credit quality; liability cost; realized gains/losses; borrower allocation; legal-entity cash","promote only if statutory legal-entity assets can be tied to income and liability-cost spread",Apollo/Athene supports liability-channel claims but not asset-level cash proof yet,pull Athene statutory schedules and isolate one asset-income case
CFPPM-004,KKR / Global Atlantic,"insurance credit; ABF; infrastructure; private credit","insurance liabilities; institutions; wealth; strategic capital","Global Atlantic; Ivy/reinsurance vehicles; KKR private credit and infrastructure vehicles",Global Atlantic statutory schedule or named private-placement/loan case,"KKR needs insurance legal-entity proof plus borrower allocation where private placements or loans are visible",insurance-credit-platform-proxy-visible,"legal-entity holdings; private-placement/loan schedules; investment income; liability-cost spread; borrower use; repayment; credit migration","promote only if legal-entity holdings and income can be tied to a named borrower or asset",KKR/Global Atlantic is mapped as an insurance-credit router but named cash proof is still missing,pull Global Atlantic statutory schedule leads and rank named assets
CFPPM-005,Brookfield,"infrastructure; real assets; power; renewables; real estate","pensions; sovereigns; insurers; institutions; wealth; operating-asset capital","infrastructure funds; renewables funds; real-estate vehicles; insurance wealth solutions; Oaktree credit",named power/infrastructure asset cash case,"Brookfield's important question is whether real-asset capital becomes project cash and customer receipts",real-asset-channel-visible,"project source/use; construction draw schedule; customer contracts; invoices or receipts; debt waterfall; legal entity; EBITDA/DCF; IRR/NPV","promote only if project cash source/use and customer cash can be tied to a return model",Brookfield is mapped as a real-asset router but project cash return is not proven,select one Brookfield power or infrastructure asset with public project documents
CFPPM-006,Ares,private credit and direct lending,"BDC investors; institutions; private-credit funds; private wealth; insurers","direct-lending funds; BDCs; private funds; infrastructure credit",Frontline borrower facility cash case,"Ares is the most borrower-visible platform in local evidence because named borrower-holder rows already exist",named-borrower-holder-and-arranger-visible,"credit agreement; total facility size; lender allocation; use of proceeds; borrower cash receipt; collateral; repayment/debt service; bank role","promote only if holder evidence is joined to facility size use of proceeds borrower receipt and debt-service/payoff evidence",Ares has named borrower-holder markers but not full borrower cash proof,execute Frontline credit agreement and funds-flow source chase
CFPPM-007,Carlyle / AlpInvest,"secondaries; private equity; global credit; co-investments","institutions; wealth; credit clients; secondaries allocators","AlpInvest secondaries; private-equity funds; global-credit vehicles; continuation/co-investment structures",named secondaries liquidity or borrower-facility cash case,"Carlyle needs one named transaction strong enough to turn platform relevance into cash-flow evidence",platform-map-visible-hold,"named transaction statement; fund source/use; purchase discount; seller cash receipt; fees; distributions; realization; return support","promote only if a named secondary or credit case shows source cash seller/borrower receipt and realized return",Carlyle is important but the named proof case is not selected yet,identify one AlpInvest or Carlyle credit transaction with source documents
CFPPM-008,FPL / NextEra comparison channel,regulated recovery and utility rate base,"utility customers; public debt; equity; regulated capital structure","SPPCRC clause; rate factors; utility legal entities",FPL Distribution Inspection billing and receipt case,"FPL is the strongest public route for proving customer cash recovery against a named utility spending category",regulated-recovery-proxy-visible,"billing determinants; category allocation workpapers; billed cash; collected cash; legal-entity booking; source-of-funds allocation; earned return","promote only if billed and collected customer cash can be allocated to Distribution Inspection costs/additions and earned return",FPL has regulated recovery proxy evidence but not category receipt proof,pursue 2027 SPPCRC actual/estimated filing and billing determinant workpapers
CFPPM-009,PBF comparison channel,refinancing and debt reshaping,"public note buyers; operating cash; banks; treasury liquidity","senior notes; redemption trustee; paying agent; treasury cash",PBF trustee settlement and value model case,"PBF is the cleanest public debt source/use proxy but needs settlement and value proof",transaction-source-use-proxy-visible,"trustee settlement statement; paying-agent transfer; accrued interest; fees; taxes; exact available-cash source; NPV/coupon-relief model","promote only if note proceeds and treasury cash can be tied to the redemption settlement and economic effect",PBF has source/use proxy evidence but not trustee settlement or return proof,chase trustee notice settlement support and build after-tax NPV model
CFPPM-010,URI comparison channel,fleet and collateral systems,"ABL lenders; public debt buyers; equity holders; operating cash","ABL facility; borrowing-base certificate; fleet collateral; rental equipment",URI borrowing-base certificate and fleet-class return case,"URI tests whether asset-backed availability is backed by named collateral and whether fleet investment converts to cash return",collateral-and-cash-proxy-visible,"populated borrowing-base certificate; eligible AR; eligible fleet/NOLV; reserves; utilization; age mix; fleet-class revenue; lifecycle ROIC","promote only if borrowing-base availability is tied to populated collateral and fleet-class cash return",URI has collateral and cash proxies but not certificate-level availability proof,pursue borrowing-base certificate support and fleet-class ROIC bridge
