inspection_id,page,source_parser_row_id,cusip,issuer_or_description,page_priority_status,parser_actual_cost,parser_fair_value,parser_book_adjusted_carrying_value,parser_interest_income,parser_interest_received_during_year,raw_line_excerpt,raw_numeric_tokens,blank_marker_count_before_first_number,diagnosis,current_status,next_action
CFAASDHP-001,5916,CFAASDFR-3614,31392D-L5-9,Fannie Mae REMIC Trust 2002-W5 FNW 2002-W5 IO,high-priority-column-correction,,"3,191",,"3,191","1,924","31392D-L5-9 ..... Fannie Mae REMIC Trust 2002-W5 FNW 2002-W5 IO ..... ................ .... 1.A .... .......................... ........................ ..................3,191 .......................... .................. .................. .................. .................. ......0.457 ......0.000 MON ..... ....................... .................1,924 ....01/31/2023 ... ....06/25/2032 ... .................. ............","3,191; 1,924",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-002,5916,CFAASDFR-3617,31396W-LT-1,Fannie Mae REMIC Trust 2007-W5 FNW 2007-W5 1A3,high-priority-column-correction,,297,,,,31396W-LT-1 ..... Fannie Mae REMIC Trust 2007-W5 FNW 2007-W5 1A3 .... ................ ....6. * ... .......................... ........................ ....................297 .......................... .................. .................. .................. .................. ......0.010 ......0.000 MON ..... ....................... .................... 37 ....01/31/2023 ... ....06/25/2037 ... .................. ............ 31396W-LU-8 ..... Fannie Mae REMIC Trust 2007-W5 FNW 2007-W5 2A3 .... ................ .... 1.A .... .......................... ........................ ..................... 36 .......................... .................. .................. .................. .......,,4,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-003,5916,CFAASDFR-3618,31396W-LU-8,Fannie Mae REMIC Trust 2007-W5 FNW 2007-W5 2A3,high-priority-column-correction,,36,,,,31396W-LU-8 ..... Fannie Mae REMIC Trust 2007-W5 FNW 2007-W5 2A3 .... ................ .... 1.A .... .......................... ........................ ..................... 36 .......................... .................. .................. .................. .................. ......0.010 ......0.000 MON ..... ....................... ......................5 ....01/31/2023 ... ....06/25/2037 ... .................. ............,,2,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-004,5916,CFAASDFR-3619,31396X-E6-7,Fannie Mae REMICS FNR 2007-106 A5,high-priority-column-correction,,"1,085",,,"1,085","31396X-E6-7 ..... Fannie Mae REMICS FNR 2007-106 A5 ..................... ................ ....6. * ... .......................... ........................ ..................1,085 .......................... .................. .................. .................. .................. ......0.000 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....10/25/2037 ... .................. ............","1,085",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-005,5916,CFAASDFR-3604,38380J-GJ-1,Government National Mortgage A GNR 2017-171 E,high-priority-column-correction,"3,803,329","2,742,454","3,870,975","7,003,241","346,318","38380J-GJ-1 ..... Government National Mortgage A GNR 2017-171 E ..... .......CF...... .... 1.A .... ...............3,803,329 ............ 4,000,000 .............2,742,454 ..............3,870,975 .................. ........... 7,144 .................. .................. ......2.500 ......2.780 MON ..... .................8,333 ..............100,000 ....03/19/2020 ... ....09/16/2059 ... ........... 1,053 ............ 1029999999. Subtotal - asset-backed securities - financial asset-backed securities - self-liquidating - agency commercial mortgage-backed","3,803,329; 4,000,000; 2,742,454; 3,870,975; 7,144; 8,333; 100,000; 1,053",0,parser has book value on a high-priority page; use as control row,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-006,5917,CFAASDFR-3642,00203Y-AJ-9,AQ Finance NIM Trust 2002-N4 AQNIM 2002-N4A NOTE .,high-priority-column-correction,,,,"1,386,092","18,873","00203Y-AJ-9 ..... AQ Finance NIM Trust 2002-N4 AQNIM 2002-N4A NOTE . ................ ...6. FM .. .......................... ............ 1,386,092 ........................ .......................... .................. .................. .................. .................. .... 10.330 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....09/25/2032 ... ..........18,873 ............","1,386,092; 18,873",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-007,5917,CFAASDFR-3651,00252F-AR-2,Aames Mortgage Investment Trus AMIT 2004-1 B2,high-priority-column-correction,,1,,"1,614,029","16,744","00252F-AR-2 ..... Aames Mortgage Investment Trus AMIT 2004-1 B2 ..... ................ ...6. FM .. .......................... ............ 1,614,029 .......................1 .......................... .................. .................. .................. .................. ......8.346 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....01/25/2035 ... ..........16,744 ............","1,614,029; 16,744",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-008,5917,CFAASDFR-3652,00252F-BF-7,Aames Mortgage Investment Trus AMIT 2005-1 M8,high-priority-column-correction,,1,,"2,000,000","20,310","00252F-BF-7 ..... Aames Mortgage Investment Trus AMIT 2005-1 M8 ..... ................ ...6. FM .. .......................... ............ 2,000,000 .......................1 .......................... .................. .................. .................. .................. ......6.246 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....06/25/2035 ... ..........20,310 ............","2,000,000; 20,310",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-009,5917,CFAASDFR-3653,00252F-BG-5,Aames Mortgage Investment Trus AMIT 2005-1 M9,high-priority-column-correction,,2,,"3,000,000","30,465","00252F-BG-5 ..... Aames Mortgage Investment Trus AMIT 2005-1 M9 ..... ................ ...6. FM .. .......................... ............ 3,000,000 .......................2 .......................... .................. .................. .................. .................. ......7.596 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....06/25/2035 ... ..........30,465 ............","3,000,000; 30,465",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-010,5917,CFAASDFR-3640,00192J-AE-6,APS Resecuritization Trust 201 APS 2016-1 4A,high-priority-column-correction,"1,025,786","941,409","888,040","3,024","99,100","00192J-AE-6 ..... APS Resecuritization Trust 201 APS 2016-1 4A ...... ................ .. 1.A FM .. .............. 1,025,786 ............ 2,117,806 ...............941,409 ................ 888,040 .................. .........(77,064) .................. .................. ......8.566 ......7.539 MON ..... .................3,024 ............... 99,100 ....09/25/2025 ... ....05/30/2050 ... ..............344 ............","1,025,786; 2,117,806; 941,409; 888,040; (77,064); 3,024; 99,100",0,parser has book value on a high-priority page; use as control row,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-011,5927,CFAASDFR-4061,12567A-AK-3,CitiMortgage Alternative Loan CMALT 2007-A3 1A10 .,high-priority-column-correction,,55,,,,12567A-AK-3 ..... CitiMortgage Alternative Loan CMALT 2007-A3 1A10 . ................ ....6. * ... .......................... ........................ ......................55 .......................... .................. .................. .................. .................. ......0.000 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....03/25/2037 ... .................. ............,,2,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-012,5927,CFAASDFR-4065,12587P-AA-8,Bear Stearns Structured Produc BSSP 2007-R1 A1,high-priority-column-correction,,,,"242,725","2,252","12587P-AA-8 ..... Bear Stearns Structured Produc BSSP 2007-R1 A1 .... ................ .. 1.A FM .. .......................... ...............242,725 ........................ .......................... .................. .................. .................. .................. ......6.342 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....02/27/2037 ... ............2,252 ............","242,725; 2,252",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-013,5927,CFAASDFR-4074,12633P-CL-6,Credit Suisse First Boston Mor CSFB 2004-FR1N A ..,high-priority-column-correction,,,,,"39,152","12633P-CL-6 ..... Credit Suisse First Boston Mor CSFB 2004-FR1N A .. ................ .. 1.A FM .. .......................... ................ 39,152 ........................ .......................... .................. .................. .................. .................. ......5.000 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....11/27/2034 ... ..............406 ............","39,152",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-014,5927,CFAASDFR-4075,12633P-DA-9,CSFB NIMs TRUST HEAT 2005-1 NI HEATN 2005-1 A,high-priority-column-correction,,25,,"2,529,330","22,526","12633P-DA-9 ..... CSFB NIMs TRUST HEAT 2005-1 NI HEATN 2005-1 A ..... ................ ...6. FM .. .......................... .............2,529,330 ......................25 .......................... .................. .................. .................. .................. ......4.750 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....06/27/2035 ... .......... 22,526 ............","2,529,330; 22,526",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-015,5927,CFAASDFR-4059,12566W-AM-2,CitiMortgage Alternative Loan CMALT 2007-A5 1A12 .,high-priority-column-correction,"156,308","178,838","162,899","162,899","6,651","12566W-AM-2 ..... CitiMortgage Alternative Loan CMALT 2007-A5 1A12 . ................ .. 1.A FM .. .................156,308 ...............282,739 ...............178,838 .................162,899 .................. ........... 6,651 .................. .................. ......0.000 ......7.066 N/A ..... ....................... ....................... ....07/14/2023 ... ....05/25/2037 ... .................. ............","156,308; 282,739; 178,838; 162,899; 6,651",0,parser has book value on a high-priority page; use as control row,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-016,5937,CFAASDFR-4474,222386-AA-2,Countrywide Alternative Loan T CWALN 2006-OC3 N,high-priority-column-correction,,,,"1,235,807","8,604","222386-AA-2 ..... Countrywide Alternative Loan T CWALN 2006-OC3 N ... ................ .. 1.A FM .. .......................... ............ 1,235,807 ........................ .......................... .................. .................. .................. .................. ......6.750 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....03/25/2047 ... ........... 8,604 ............","1,235,807; 8,604",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-017,5937,CFAASDFR-4476,22540V-4R-0,Credit Suisse First Boston Mor CSFB 2002-AR21 1A1,high-priority-column-correction,,43,,,,22540V-4R-0 ..... Credit Suisse First Boston Mor CSFB 2002-AR21 1A1 ................ ....6. * ... .......................... ......................55 ......................43 .......................... .................. .................. .................. .................. ......0.098 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....06/25/2032 ... .................1 ............ 22540V-BW-1 ..... Credit Suisse First Boston Mor CSFB 2001-HE20 AIO ................ .. 1.D FE .. .......................... ........................ ....................187 .......................... .................. .................. .................. ............,,4,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-018,5937,CFAASDFR-4477,22540V-BW-1,Credit Suisse First Boston Mor CSFB 2001-HE20 AIO,high-priority-column-correction,,187,,,,22540V-BW-1 ..... Credit Suisse First Boston Mor CSFB 2001-HE20 AIO ................ .. 1.D FE .. .......................... ........................ ....................187 .......................... .................. .................. .................. .................. .... 11.617 ......0.000 MON ..... ....................... ...................194 ....01/31/2023 ... ....04/25/2032 ... .................. ............,,2,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-019,5937,CFAASDFR-4479,22540V-CR-1,Credit Suisse First Boston Mor CSFB 2001-HE22 AIO,high-priority-column-correction,,"35,551",,"35,551","7,589","22540V-CR-1 ..... Credit Suisse First Boston Mor CSFB 2001-HE22 AIO ................ .. 1.D FE .. .......................... ........................ ................ 35,551 .......................... .................. .................. .................. .................. .... 11.617 ......0.000 MON ..... ....................... .................7,589 ....01/31/2023 ... ....02/25/2032 ... .................. ............","35,551; 7,589",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-020,5937,CFAASDFR-4472,20754L-AB-5,Connecticut Avenue Securities CAS 2022-R01 1M2,high-priority-column-correction,"4,700,000","5,069,580","4,859,336","315,646","14,735","20754L-AB-5 ..... Connecticut Avenue Securities CAS 2022-R01 1M2 .... ................ .... 1.A .... .............. 4,700,000 ............ 5,000,000 ............ 5,069,580 ..............4,859,336 .................. ..........51,890 .................. .................. ......5.774 ......6.715 MON ..... .................4,894 ..............315,646 ....12/08/2022 ... ....12/25/2041 ... ..........14,735 ............","4,700,000; 5,000,000; 5,069,580; 4,859,336; 51,890; 4,894; 315,646; 14,735",0,parser has book value on a high-priority page; use as control row,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-021,5939,CFAASDFR-4572,25151R-AH-7,Deutsche Alt-A Securities Mort DBALT 2007-AR1 A6 .,high-priority-column-correction,,,,"78,972","2,408","25151R-AH-7 ..... Deutsche Alt-A Securities Mort DBALT 2007-AR1 A6 . ................ ....6. * ... .......................... ................ 78,972 ........................ .......................... .................. .................. .................. .................. ......4.346 ......0.000 MON ..... ....................... .................2,408 ....01/31/2023 ... ....01/25/2047 ... ..............568 ............","78,972; 2,408",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
