audit_id,claim_id,theme,publication_status,approved_sentence_cash_level,cash_realization_level,cash_realization_status,evidence_route_checked,cash_boundary_required,required_sentence_adjustment,next_cash_proof,verdict,safe_publication_use
CFPCRA-001,PCRC-001,Cross-lane governance,publication-ready-bounded,method-framing,not-a-cash-claim,method-safe,"capital-flow-big-picture-remaining-work-map-pass-1.md; capital-flow-current-answer-brief-pass-1.md; capital-flow-answer-resolution-queue-pass-1.md","State that the full source-use-output-cash chain is proven only in pieces.","No change required; sentence is method framing.","Lane-specific cash-realization extraction queue execution.",pass-with-boundary,"Use as framework language only."
CFPCRA-002,PCRC-002,Private-credit platforms,publication-ready-bounded,platform-scale-visible,level-1-platform-and-destination-context,cash-not-claimed,"capital-flow-current-answer-brief-pass-1.md; capital-flow-promoted-claims-and-overclaims-pass-1.md; capital-flow-ares-borrower-holder-expansion-pass-1.md","Platform AUM/deployment does not allocate dollars to borrowers or prove cash use.","No change required if kept to scale/routing and borrower examples.","Borrower facility, use-of-proceeds, funds-flow, repayment, and bank-role documents.",pass-with-boundary,"Use for platform routing scale, not cash-realization proof."
CFPCRA-003,PCRC-003,Borrower destination,publication-ready-bounded,borrower-holder-visible,level-1-to-2-destination-visible,cash-use-not-proven,"capital-flow-ares-borrower-holder-expansion-pass-1.md; capital-flow-ares-borrower-same-period-exposure-summary-pass-1.csv; capital-flow-master-borrower-exposure-rollup.md","BDC fair value and commitments are partial holder rows, not total debt, cash use, or repayment evidence.","No change required if the sentence keeps holder/source-taxonomized and same-period controls attached.","Borrower credit agreements, rating reports, funds-flow records, and facility-size documents.",pass-with-boundary,"Use as named-borrower destination proof."
CFPCRA-004,PCRC-004,Bank replacement,publication-ready-bounded,selected-case-takeout-visible,level-3-legal-event-selected-cases,pattern-cash-not-proven,"capital-flow-bank-role-after-private-credit-pass-1.md; capital-flow-auctane-post-close-bank-role-pass-1.md; capital-flow-medallia-lender-allocation-repayment-pass-1.md; capital-flow-answer-resolution-queue-pass-1.md","Selected payoff/termination evidence does not prove broad bank exit or residual ancillary role.","Tighten future writing to selected borrower-level facility takeout and avoid market-wide replacement language.","Post-close lender maps, retained revolver/treasury/hedging roles, UCC releases, and rating reports.",pass-with-boundary,"Use for selected borrower-level bank-facility takeout."
CFPCRA-005,PCRC-005,Insurance and retirement capital,internal-not-publication-ready,platform-channel-visible,level-1-channel-visible,not-publication-ready,"capital-flow-current-answer-brief-pass-1.md; capital-flow-promoted-claims-and-overclaims-pass-1.md; capital-flow-insurance-statutory-asset-quality-bridge-pass-1.md","Insurance assets need statutory income, NAIC quality, liability funding, and affiliated exposure checks before public risk claims.","Keep broad insurance/retirement capital risk claims internal; use only narrow proxy language if needed.","Statutory Schedule D/BA, investment income, realized gains/losses, liability funding, and credit migration.",hold-internal,"Do not use externally as a broad empirical claim yet."
CFPCRA-006,PCRC-006,Power and grid,publication-ready-bounded,official-process-visible,level-2-to-3-output-and-legal-process,cash-realization-varies,"capital-flow-power-grid-first-extraction-pass.md; capital-flow-power-grid-source-upgrade.md; capital-flow-power-grid-claim-dashboard.md; capital-flow-aep-duke-approved-recovery-bridge-pass-1.md","Tariffs, ESAs, dockets, and plans show process, not always approved recovery, in-service status, or customer cash.","Future writing should say evidence has moved into official processes, not that all projects are cash-recovered.","Docket orders, approved tariffs, customer obligations, in-service schedules, billing determinants, and true-up collections.",pass-with-boundary,"Use for official-process evidence only."
CFPCRA-007,PCRC-007,Regulated utilities,publication-ready-bounded,regulatory-mechanism-visible,level-3-legal-entitlement-general,cash-collection-not-universal,"capital-flow-power-grid-claim-dashboard.md; utility docket and denominator maps in evidence ledger; capital-flow-fpl-distribution-inspection-receipts-financing-boundary-pass-1.md","Authorized recovery is not the same as category customer receipts, realized ROE, or project IRR.","Tighten with jurisdiction/order dependency and do not imply every capex dollar is recovered.","Approved order, billing determinants, category receipt schedules, prudence/disallowance review, and true-up collections.",pass-with-boundary,"Use as general regulatory mechanism language."
CFPCRA-008,PCRC-008,Energy infrastructure,publication-ready-bounded,company-entity-output-visible,level-2-to-4-entity-output-and-aggregate-cash,cash-project-gap-open,"capital-flow-energy-project-source-use-return-pass-1.md; capital-flow-capital-intensive-energy-source-table-extraction-pass-1.md; capital-flow-capital-intensive-energy-project-denominator-pass-1.md; capital-flow-cheniere-train-source-use-return-bridge-pass-1.md","Company/entity debt and cargo output are not train-level project cash, customer economics, or waterfall proof.","No change required if sentence keeps full project-level source-of-funds and return proof open.","Project source/use schedules, SPA economics, restricted-account waterfalls, debt service, and project EBITDA.",pass-with-boundary,"Use for company/entity/output bridge only."
CFPCRA-009,PCRC-009,United Rentals,publication-ready-bounded,repeated-proxy-visible,level-4-aggregate-cash-proxy,cash-allocation-open,"capital-flow-operating-conversion-scorecard-pass-1.md; capital-flow-uri-fleet-return-bridge-pass-1.md; URI ABL/AR/Yak artifacts in evidence ledger","Rental revenue and OCF are strong proxies but not asset-class ROIC, utilization, legal availability, or purchase-level source allocation.","No change required if described as proxy-grade and not asset-level return proof.","Fleet utilization, segment OEC, rental margin, capex growth/replacement split, sale proceeds by fleet type, and borrowing-base certificate.",pass-with-boundary,"Use as strongest repeated-period fleet cash-conversion proxy."
CFPCRA-010,PCRC-010,Sterling,publication-ready-bounded,conversion-supported-with-boundary,level-4-company-cash-conversion-proxy,project-cash-open,"capital-flow-sterling-backlog-credit-platform-conversion-pass-1.md; capital-flow-sterling-eight-quarter-contract-capital-conversion-pass-1.md; capital-flow-sterling-lc-surety-usage-boundary-pass-1.md","Company OCF/RPO/credit capacity do not prove owner-funded backlog, project margin, actual L/C usage, or collectability.","No change required if kept as company-level backlog/cash/funding-wrapper mechanism.","Project-owner funding, retainage collection, L/C outstanding, bonded backlog, surety use, project margin, and cancellation data.",pass-with-boundary,"Use as conversion-supported platform evidence."
