bridge_id,proof_gate,source_document,source_route,period,current_evidence,value_or_metric,current_status,what_it_proves,what_it_does_not_prove,next_required_source,upgrade_test
CFCEDWB-001,company_cash_baseline,Cheniere Q2 2026 results,public earnings release and local project source trail,Q2 2026,Revenue adjusted EBITDA and DCF are visible.,5.73B USD revenue; 1.80B USD adjusted EBITDA; 1.17B USD DCF,company-cash-proxy-visible,Cheniere has strong same-period cash-generation proxy evidence.,It is not train terminal or project cash contribution.,Entity cash-flow waterfall and debt-service schedule.,Pass only if cash metrics are assigned to entity/train and debt-service uses.
CFCEDWB-002,physical_output,Cheniere Q2 2026 results and DOE LNG export route,public release plus local DOE cargo reconciliation,Q2 2026,Cheniere exported 184 LNG cargoes and 672 TBtu; local DOE evidence matched 184 cargoes and 640991.63 MMCF.,184 cargoes; 672 TBtu; 640991.63 MMCF,physical-output-visible,LNG output is externally checkable.,Output is not mapped to customer invoice cash or train economics.,Cargo-to-contract and cargo-to-terminal/train map.,Pass only if cargoes are mapped to contracts customers revenue and train/entity output.
CFCEDWB-003,contracted_demand,Cheniere annual/local source target trail,local Cheniere source-use-return bridge,FY 2025,About 90% of anticipated SPL/CCL production is contracted under SPAs and IPM agreements with about 15 years weighted-average remaining life.,about 90 percent contracted; about 15 years,contracted-demand-visible,Long-duration customer demand supports cash-quality evidence.,SPA price margin credit support and cargo assignment remain missing.,SPA schedule by entity customer tenor volume pricing and credit support.,Pass only if contract terms and volumes can be tied to entity revenue and cash.
CFCEDWB-004,named_customer,Cheniere CPC Taiwan SPA route,local/public SPA evidence route,2026-2050,CPC Taiwan SPA volume is up to 1.2 mtpa.,1.2 mtpa,named-customer-demand-visible,A named long-term customer route exists.,It does not show realized revenue invoice cash or entity allocation.,SPA price formula invoice receipt support and entity assignment.,Pass only if named customer volume is tied to billings receipts and entity cash.
CFCEDWB-005,named_train_milestone,Cheniere Q2 2026 results and Corpus Christi Stage 3 route,public release and local construction trail,June 2026,CCL Stage 3 Train 6 reached substantial completion; Train 7 was expected imminently.,Train 6 complete; Train 7 expected imminently,named-train-output-milestone-visible,Capital is becoming physical LNG train capacity.,Train-specific cost debt draw output and cash remain unproven.,Train completion certificate cost schedule cargo attribution and revenue start evidence.,Pass only if train milestone is joined to cost funding output and cash.
CFCEDWB-006,funding_split,Cheniere local project cash-waterfall target trail,local extracted Cheniere funding evidence,FY 2025 / Q2 2026,FY 2025 growth capital was 2.6B USD with 2.3B USD equity-funded; Q2 2026 growth capital was about 1.1B USD with 219M USD equity-funded.,2.6B USD FY2025 growth capital; 2.3B USD equity-funded; 1.1B USD Q2 growth capital; 219M USD equity-funded,funding-split-proxy-visible,The capital program has visible funding-mix clues.,Funding is not allocated to specific trains or entities.,Project capex by train and entity-level source/use schedule.,Pass only if funding sources are allocated to train/entity uses.
CFCEDWB-007,entity_debt_denominator,Cheniere train source-use-return bridge,local debt extraction trail,Q2 2026,Entity debt buckets are visible for SPL CQP CCH and parent notes.,5.027B USD SPL debt; 9.550B USD CQP senior notes; 4.930B USD CCH debt; 4.750B USD parent notes,entity-debt-denominator-visible,Entity debt buckets are visible.,Debt service is not mapped to project cash by train.,Indentures facility agreements maturity schedule and entity debt-service table.,Pass only if debt service and cash flow are reconciled by entity.
CFCEDWB-008,restricted_account_mechanics,Cheniere annual report route,public SEC annual-report route,current/source route,SPL and CCH cash received is deposited into reserve accounts controlled by collateral trustees for project liabilities and restricted payments.,collateral-trustee controlled reserve accounts,collateral-trustee-account-mechanics-visible,A legal account-control path exists between cash receipts and allowed uses.,It does not disclose account balances or transaction-level cash movements.,Trustee reports and restricted-account schedules.,Pass only if account deposits withdrawals balances and allowed uses are disclosed.
CFCEDWB-009,dscr_distribution_gate,Cheniere Q2 2026 10-Q route,public SEC 10-Q route,Q2 2026,SPL and CCH distributions generally require debt-service reserves and historical/projected DSCR of at least 1.25:1.00.,1.25:1.00 DSCR distribution gate,dscr-distribution-gate-visible,A legal debt-service and distribution condition is visible.,It does not provide actual DSCR calculations or reserve funding amounts.,Actual historical/projected DSCR certificates and reserve funding schedules.,Pass only if DSCR calculations reserve deposits and distribution tests are extracted.
CFCEDWB-010,full_train_entity_waterfall,Current local and public Cheniere source route,local artifact inventory plus public search,current,No current public/local source joins train cost debt draw SPA economics cargo attribution revenue EBITDA reserve deposits DSCR distributions debt service and return.,train/entity waterfall not found,train-entity-cash-waterfall-hold,The decisive missing waterfall source package is named.,Full named project cash proof remains unavailable.,Trustee reports restricted-account schedules DSCR certificates cargo-to-contract revenue train EBITDA debt-service and return model.,Pass only if train/entity cash receipts debt service distributions and return are reconciled end to end.
