field,observed_value,source_or_join,status,investment_use
borrower_entity,"United Rentals (North America), Inc.","July 10 2025 ABL agreement",observed,"legal-entity perimeter"
holdings_entity,"United Rentals, Inc.","July 10 2025 ABL agreement",observed,"parent-versus-borrower separation"
administrative_agent,"Bank of America, N.A.","July 10 2025 ABL agreement",observed,"lender-control route"
eligible_rental_equipment,"held for sale/rent, ordinary-course lessor rental, or titled goods subject to exclusions","ABL agreement definition",observed,"collateral eligibility control"
eligibility_filters,"location, lien, representations, and regulatory standards; ceased eligibility removed","ABL agreement definition",observed,"QoE collateral haircut control"
combined_availability_formula,"lesser of Maximum Revolver Amount and Combined Borrowing Base less Aggregate Revolver Outstandings","ABL agreement definition",observed,"legal availability formula"
certificate_cadence,"quarter-end by 25th day of following month; monthly below stated trigger subject to exception","ABL agreement section 7.4",observed,"next acquisition target"
closing_certificate,"May 31 2025 certificate delivered; closing Combined Availability minimum $1.000B","ABL agreement closing conditions",observed,"historical control existence"
q2_2026_abl_capacity_net_lc,"$2.802B","URI Q2 2026 Form 10-Q",observed,"liquidity snapshot only"
q2_2026_abl_debt,"$1.666B","URI Q2 2026 Form 10-Q",observed,"facility-balance snapshot only"
q2_2026_total_available_liquidity,"$2.999B","URI Q2 2026 Form 10-Q",observed,"aggregate liquidity context only"
q2_2026_max_month_end_abl_debt,"$1.677B","URI Q2 2026 Form 10-Q",observed,"seasonality indicator"
q2_2026_avg_month_end_abl_debt,"$1.391B","URI Q2 2026 Form 10-Q",observed,"seasonality indicator"
q2_2026_fixed_charge_covenant,"inapplicable because specified availability exceeded threshold","URI Q2 2026 Form 10-Q",observed,"stress-control observation"
populated_eligible_fleet_nbv,"not publicly disclosed","required borrowing-base certificate or collateral report",missing,"cannot calculate collateral base"
nolv_appraisal,"not publicly disclosed","required appraisal or lender collateral report",missing,"cannot calculate liquidation value"
reserve_and_lc_schedule,"not publicly disclosed","borrowing-base certificate",missing,"cannot calculate legal availability"
combined_borrowing_base,"not publicly disclosed","quarter-end borrowing-base certificate",missing,"cannot reconcile capacity"
source_to_purchase_draw_allocation,"not publicly disclosed","facility draw notices and fleet purchase records",missing,"cannot attribute debt to capex"
lifecycle_return,"not calculable","requires utilization, maintenance capex, proceeds, debt service, and legal availability",missing,"do not promote to return"
