bridge_row_id,bridge_layer,metric,value,units,proof_use,boundary,next_action
CFKKRGACOBIB-001,owned-bond-baseline,coordinate_owned_bond_book_value,7318321094,USD,near-reconciled owned Schedule D bond baseline,"book value is not income, proceeds, borrower receipt, or return","join to income, proceeds, and liability context"
CFKKRGACOBIB-002,owned-bond-baseline,statutory_bond_net_admitted_assets,7318322163,USD,statutory target for owned Schedule D bond base,summary statutory line is not CUSIP-level income proof,keep as reconciliation denominator
CFKKRGACOBIB-003,owned-bond-baseline,owned_bond_book_variance_vs_statutory_target,-1069,USD,near-reconciliation residual,small variance does not prove cash return,retain tolerance check before downstream joins
CFKKRGACOBIB-004,income-cash-back,owned_bond_interest_received_during_year,229507957,USD,row-level owned-bond interest received cash-back proxy,interest received is not borrower receipt/use or net return after liability cost,rank named rows and join to issuer/wrapper evidence
CFKKRGACOBIB-005,income-cash-back,owned_bond_interest_due_accrued,156198987,USD,row-level owned-bond income/accrual context,due/accrued is not cash received,separate cash received from accrual field
CFKKRGACOBIB-006,income-cash-back,owned_bond_payment_due_at_maturity,7422895765,USD,contractual maturity endpoint context,payment due at maturity is not current cash received,use for maturity/payback route only with disposal or maturity evidence
CFKKRGACOBIB-007,legal-entity-income,total_gross_investment_income_collected,605073293,USD,legal-entity gross investment income denominator,not allocated to each owned bond row,reconcile owned-bond interest to gross income categories
CFKKRGACOBIB-008,legal-entity-income,summary_net_investment_income,549713557,USD,legal-entity net investment income bridge,not asset-level net spread,"join expenses, liability cost, and asset classes"
CFKKRGACOBIB-009,legal-entity-income,cash_flow_net_investment_income,546289441,USD,cash-flow support for net investment income,not allocated to holdings,compare with statutory income exhibit
CFKKRGACOBIB-010,income-coverage,owned_bond_interest_received_to_gross_income_pct,37.930604,percent,shows owned-bond received-interest share of gross investment income,"ratio is category bridge, not issuer-level return","identify remaining income from mortgage loans, affiliates, other invested assets, and other buckets"
CFKKRGACOBIB-011,income-coverage,owned_bond_interest_received_to_net_investment_income_pct,41.750463,percent,shows received-interest scale against net investment income,ratio does not allocate expenses or liability cost,build liability spread bridge
CFKKRGACOBIB-012,income-coverage,owned_bond_interest_received_to_cash_flow_net_investment_income_pct,42.012153,percent,compares row-level interest received with cash-flow net investment income,cash-flow line remains entity-level,separate collected cash from statutory net income
CFKKRGACOBIB-013,yield-proxy,owned_bond_interest_received_on_book_pct,3.136074,percent,simple owned-bond cash-yield proxy,"not IRR, NPV, net spread, or total return",subtract liability cost and include credit marks before any return claim
CFKKRGACOBIB-014,yield-proxy,owned_bond_interest_due_accrued_on_book_pct,2.134355,percent,simple accrual-yield context,not cash yield,compare against received-interest yield and liability cost
CFKKRGACOBIB-015,schedule-split,issuer_credit_interest_received,209926815,USD,issuer-credit owned-bond cash-back proxy,not issuer-level return,rank named issuer-credit rows
CFKKRGACOBIB-016,schedule-split,abs_interest_received,19581142,USD,ABS owned-bond cash-back proxy,not collateral remittance or waterfall proof,rank ABS rows for trustee/remittance proof
CFKKRGACOBIB-017,marker-split,statutory_private_marker_interest_received,37427454,USD,private-marker row cash-back proxy,private marker does not identify public borrower receipt/use by itself,map private-marker CUSIPs to issuer/wrapper documents
CFKKRGACOBIB-018,marker-split,standard_cusip_like_interest_received,192080503,USD,standard CUSIP row cash-back proxy,CUSIP visibility does not prove borrower use or waterfall,map largest standard-CUSIP rows to public issuer evidence
CFKKRGACOBIB-019,liability-context,life_reserve_liability,5933274992,USD,insurance liability source-pool context,not liability-cost spread,find credited-rate or liability-cost schedule
CFKKRGACOBIB-020,liability-context,funds_held_under_coinsurance,4183653692,USD,funds-held/coinsurance liability route context,not treaty waterfall or cash availability,find funds-held economics and reinsurance treaty support
