extraction_id,company,ticker,period,field,value,unit,source_anchor,what_it_proves,boundary,claim_status
ARZSDC-001,"Zscaler, Inc.",ZS,FY2025,revenue,2.6731,USD billions,analysis/company-first-principles/technology/internet-software-services/zscaler-inc/company-analysis.md; extracted/technology/security-software-services/zscaler-inc/company-packet.md,Zscaler had multi-billion-dollar annual scale.,Revenue scale does not prove permanent access control or pricing power.,source-visible-with-boundary
ARZSDC-002,"Zscaler, Inc.",ZS,FY2025,operating cash flow and approximate capex-only free cash flow,972.5 / 808.2,USD millions,analysis/company-first-principles/technology/internet-software-services/zscaler-inc/company-analysis.md,The access-policy layer was cash-generative at company level.,Cash generation does not prove GAAP profitability or final module-level returns.,source-visible-with-boundary
ARZSDC-003,"Zscaler, Inc.",ZS,FY2026 Q1,revenue and ARR,788.1 / 3.204,USD millions / USD billions,extracted/technology/security-software-services/zscaler-inc/company-packet.md; extracted/technology/security-software-services/zscaler-inc/company-profile.md,Recurring revenue scale was visible at the start of fiscal 2026.,"ARR does not prove gross retention, net retention, or pricing power.",source-visible-with-boundary
ARZSDC-004,"Zscaler, Inc.",ZS,FY2026 Q1,deferred revenue,2.351,USD billions,extracted/technology/security-software-services/zscaler-inc/company-packet.md; extracted/technology/security-software-services/zscaler-inc/company-profile.md,Customer prepayment or contracted billing visibility was present.,Deferred revenue does not prove renewal durability or future margin.,source-visible-with-boundary
ARZSDC-005,"Zscaler, Inc.",ZS,FY2026 Q1,operating cash flow and free cash flow,448.3 / 413.3,USD millions,extracted/technology/security-software-services/zscaler-inc/company-packet.md,Cash conversion was strong in the first quarter.,Quarterly cash flow can be affected by billing timing and working capital.,source-visible-with-boundary
ARZSDC-006,"Zscaler, Inc.",ZS,FY2026 Q2,revenue and ARR,815.8 / 3.359,USD millions / USD billions,extracted/technology/security-software-services/zscaler-inc/company-packet.md; extracted/technology/security-software-services/zscaler-inc/company-profile.md,Revenue and recurring run-rate continued expanding.,Growth does not prove product coherence or immunity from bundling.,source-visible-with-boundary
ARZSDC-007,"Zscaler, Inc.",ZS,FY2026 Q2,operating cash flow and free cash flow,204.1 / 169.1,USD millions,extracted/technology/security-software-services/zscaler-inc/company-packet.md,Cash generation continued while the company broadened the platform.,Cash flow does not prove acquisition integration success.,source-visible-with-boundary
ARZSDC-008,"Zscaler, Inc.",ZS,FY2026 Q2,deferred revenue and cash plus short-term investments,2.355 / 3.513,USD billions,extracted/technology/security-software-services/zscaler-inc/company-packet.md; extracted/technology/security-software-services/zscaler-inc/company-profile.md,Deferred revenue and liquidity supported the model.,Liquidity does not prove platform discipline or high-return acquisitions.,source-visible-with-boundary
ARZSDC-009,"Zscaler, Inc.",ZS,FY2026 Q3,"revenue, ARR, and net new ARR",850.5 / 3.525 / 166.0,USD millions / USD billions / USD millions,analysis/company-first-principles/technology/internet-software-services/zscaler-inc/company-analysis.md; extracted/technology/security-software-services/zscaler-inc/company-packet.md; extracted/technology/security-software-services/zscaler-inc/company-profile.md,Latest local quarter showed continued growth and new recurring demand.,Net new ARR does not prove long-term retention or pricing power.,source-visible-with-boundary
ARZSDC-010,"Zscaler, Inc.",ZS,FY2026 Q3,RPO and deferred revenue,6.459 / 2.477,USD billions,analysis/company-first-principles/technology/internet-software-services/zscaler-inc/company-analysis.md; extracted/technology/security-software-services/zscaler-inc/company-packet.md; extracted/technology/security-software-services/zscaler-inc/company-profile.md,Future revenue visibility and billed/unearned revenue were visible.,"RPO does not prove churn, collection timing, or future profitability.",source-visible-with-boundary
ARZSDC-011,"Zscaler, Inc.",ZS,FY2026 Q3,"operating cash flow, free cash flow, non-GAAP operating margin, and free-cash-flow margin",198.0 / 136.0 / 23 / 16,USD millions / USD millions / percent / percent,extracted/technology/security-software-services/zscaler-inc/company-packet.md; extracted/technology/security-software-services/zscaler-inc/company-profile.md,The policy-control model produced cash while maintaining non-GAAP profitability.,Non-GAAP margin and free cash flow do not prove GAAP profitability or clean economics after stock compensation.,source-visible-with-boundary
ARZSDC-012,"Zscaler, Inc.",ZS,FY2026 Q3 / calendar 2025,large-customer counts and AI traffic signal,"748 / 4,003 / about 1T",1M+ ARR customers / 100K+ ARR customers / AI transactions,analysis/company-first-principles/technology/internet-software-services/zscaler-inc/company-analysis.md; extracted/technology/security-software-services/zscaler-inc/company-profile.md,Enterprise penetration and AI-era traffic-governance workload were visible.,Large-customer counts and AI traffic do not prove module-level profitability or AI monetization.,source-visible-with-boundary
