claim_id,company,manager,vehicle,period,evidence_type,lane,metric_name,metric_value,units,source_file,source_basis,claim_effect,confidence,status,next_test
"CF-004, CF-005",Blackstone Secured Lending Fund,Blackstone,BXSL,Q2 2026 / June 30 2026,industry exposure,Software,top ten industry exposure by fair market value,19,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,"SEC 8-K exhibit 99.1, portfolio construction page; explicitly states top ten industries and percentages","supports lane concentration in software, healthcare, services, insurance, logistics, and defense borrower categories",high,metric-found-local-primary-source,"Match named portfolio companies to sponsor, borrower purpose, and prior financing source."
"CF-004, CF-005",Blackstone Secured Lending Fund,Blackstone,BXSL,Q2 2026 / June 30 2026,industry exposure,Health Care Providers & Services,top ten industry exposure by fair market value,10,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,"SEC 8-K exhibit 99.1, portfolio construction page; explicitly states top ten industries and percentages","supports lane concentration in software, healthcare, services, insurance, logistics, and defense borrower categories",high,metric-found-local-primary-source,"Match named portfolio companies to sponsor, borrower purpose, and prior financing source."
"CF-004, CF-005",Blackstone Secured Lending Fund,Blackstone,BXSL,Q2 2026 / June 30 2026,industry exposure,Professional Services,top ten industry exposure by fair market value,10,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,"SEC 8-K exhibit 99.1, portfolio construction page; explicitly states top ten industries and percentages","supports lane concentration in software, healthcare, services, insurance, logistics, and defense borrower categories",high,metric-found-local-primary-source,"Match named portfolio companies to sponsor, borrower purpose, and prior financing source."
"CF-004, CF-005",Blackstone Secured Lending Fund,Blackstone,BXSL,Q2 2026 / June 30 2026,industry exposure,Insurance,top ten industry exposure by fair market value,10,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,"SEC 8-K exhibit 99.1, portfolio construction page; explicitly states top ten industries and percentages","supports lane concentration in software, healthcare, services, insurance, logistics, and defense borrower categories",high,metric-found-local-primary-source,"Match named portfolio companies to sponsor, borrower purpose, and prior financing source."
"CF-004, CF-005",Blackstone Secured Lending Fund,Blackstone,BXSL,Q2 2026 / June 30 2026,industry exposure,Commercial Services & Supplies,top ten industry exposure by fair market value,8,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,"SEC 8-K exhibit 99.1, portfolio construction page; explicitly states top ten industries and percentages","supports lane concentration in software, healthcare, services, insurance, logistics, and defense borrower categories",high,metric-found-local-primary-source,"Match named portfolio companies to sponsor, borrower purpose, and prior financing source."
"CF-004, CF-005",Blackstone Secured Lending Fund,Blackstone,BXSL,Q2 2026 / June 30 2026,industry exposure,IT Services,top ten industry exposure by fair market value,5,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,"SEC 8-K exhibit 99.1, portfolio construction page; explicitly states top ten industries and percentages","supports lane concentration in software, healthcare, services, insurance, logistics, and defense borrower categories",high,metric-found-local-primary-source,"Match named portfolio companies to sponsor, borrower purpose, and prior financing source."
"CF-004, CF-005",Blackstone Secured Lending Fund,Blackstone,BXSL,Q2 2026 / June 30 2026,industry exposure,Health Care Technology,top ten industry exposure by fair market value,5,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,"SEC 8-K exhibit 99.1, portfolio construction page; explicitly states top ten industries and percentages","supports lane concentration in software, healthcare, services, insurance, logistics, and defense borrower categories",high,metric-found-local-primary-source,"Match named portfolio companies to sponsor, borrower purpose, and prior financing source."
"CF-004, CF-005",Blackstone Secured Lending Fund,Blackstone,BXSL,Q2 2026 / June 30 2026,industry exposure,Diversified Consumer Services,top ten industry exposure by fair market value,4,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,"SEC 8-K exhibit 99.1, portfolio construction page; explicitly states top ten industries and percentages","supports lane concentration in software, healthcare, services, insurance, logistics, and defense borrower categories",high,metric-found-local-primary-source,"Match named portfolio companies to sponsor, borrower purpose, and prior financing source."
"CF-004, CF-005",Blackstone Secured Lending Fund,Blackstone,BXSL,Q2 2026 / June 30 2026,industry exposure,Air Freight & Logistics,top ten industry exposure by fair market value,3,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,"SEC 8-K exhibit 99.1, portfolio construction page; explicitly states top ten industries and percentages","supports lane concentration in software, healthcare, services, insurance, logistics, and defense borrower categories",high,metric-found-local-primary-source,"Match named portfolio companies to sponsor, borrower purpose, and prior financing source."
"CF-004, CF-005",Blackstone Secured Lending Fund,Blackstone,BXSL,Q2 2026 / June 30 2026,industry exposure,Aerospace & Defense,top ten industry exposure by fair market value,3,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,"SEC 8-K exhibit 99.1, portfolio construction page; explicitly states top ten industries and percentages","supports lane concentration in software, healthcare, services, insurance, logistics, and defense borrower categories",high,metric-found-local-primary-source,"Match named portfolio companies to sponsor, borrower purpose, and prior financing source."
