claim_id,research_question,manager,vehicle,company,borrower_or_lane,mapped_lane,period,known_exposure,units,source_file,current_proof,missing_evidence_to_prove_displacement,evidence_to_claim_read,claim_to_evidence_test,status,confidence
"CF-004, CF-005",Is private credit replacing bank lending or building a parallel borrower-financing lane?,Blackstone,BXSL,Blackstone Secured Lending Fund,Snoopy Bidco,not classified in this pass,Q2 2026 / June 30 2026,3,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,Named as a top-ten BXSL portfolio company with fair-value exposure percentage in SEC earnings exhibit.,"Borrower-level transaction documents or announcements identifying use of proceeds, sponsor, prior facility, and whether private credit refinanced bank or syndicated debt.",Private credit has identifiable borrower exposure here; displacement is not proven without prior-financing and loan-purpose evidence.,"Find acquisition/refinancing announcement, credit agreement, lender list, prior debt stack, sponsor owner, and bank revolver role.",borrower-or-lane-identified-needs-source-of-funds-match,high
"CF-004, CF-005",Is private credit replacing bank lending or building a parallel borrower-financing lane?,Blackstone,BXSL,Blackstone Secured Lending Fund,JSS,not classified in this pass,Q2 2026 / June 30 2026,3,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,Named as a top-ten BXSL portfolio company with fair-value exposure percentage in SEC earnings exhibit.,"Borrower-level transaction documents or announcements identifying use of proceeds, sponsor, prior facility, and whether private credit refinanced bank or syndicated debt.",Private credit has identifiable borrower exposure here; displacement is not proven without prior-financing and loan-purpose evidence.,"Find acquisition/refinancing announcement, credit agreement, lender list, prior debt stack, sponsor owner, and bank revolver role.",borrower-or-lane-identified-needs-source-of-funds-match,high
"CF-004, CF-005",Is private credit replacing bank lending or building a parallel borrower-financing lane?,Blackstone,BXSL,Blackstone Secured Lending Fund,Guidehouse,professional services / government services,Q2 2026 / June 30 2026,2,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,Named as a top-ten BXSL portfolio company with fair-value exposure percentage in SEC earnings exhibit.,"Borrower-level transaction documents or announcements identifying use of proceeds, sponsor, prior facility, and whether private credit refinanced bank or syndicated debt.",Private credit has identifiable borrower exposure here; displacement is not proven without prior-financing and loan-purpose evidence.,"Find acquisition/refinancing announcement, credit agreement, lender list, prior debt stack, sponsor owner, and bank revolver role.",borrower-or-lane-identified-needs-source-of-funds-match,high
"CF-004, CF-005",Is private credit replacing bank lending or building a parallel borrower-financing lane?,Blackstone,BXSL,Blackstone Secured Lending Fund,Auctane / Stamps.com,software / logistics software,Q2 2026 / June 30 2026,2,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,Named as a top-ten BXSL portfolio company with fair-value exposure percentage in SEC earnings exhibit.,"Borrower-level transaction documents or announcements identifying use of proceeds, sponsor, prior facility, and whether private credit refinanced bank or syndicated debt.",Private credit has identifiable borrower exposure here; displacement is not proven without prior-financing and loan-purpose evidence.,"Find acquisition/refinancing announcement, credit agreement, lender list, prior debt stack, sponsor owner, and bank revolver role.",borrower-or-lane-identified-needs-source-of-funds-match,high
"CF-004, CF-005",Is private credit replacing bank lending or building a parallel borrower-financing lane?,Blackstone,BXSL,Blackstone Secured Lending Fund,Cambium,not classified in this pass,Q2 2026 / June 30 2026,2,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,Named as a top-ten BXSL portfolio company with fair-value exposure percentage in SEC earnings exhibit.,"Borrower-level transaction documents or announcements identifying use of proceeds, sponsor, prior facility, and whether private credit refinanced bank or syndicated debt.",Private credit has identifiable borrower exposure here; displacement is not proven without prior-financing and loan-purpose evidence.,"Find acquisition/refinancing announcement, credit agreement, lender list, prior debt stack, sponsor owner, and bank revolver role.",borrower-or-lane-identified-needs-source-of-funds-match,high
"CF-004, CF-005",Is private credit replacing bank lending or building a parallel borrower-financing lane?,Blackstone,BXSL,Blackstone Secured Lending Fund,Corfin,not classified in this pass,Q2 2026 / June 30 2026,2,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,Named as a top-ten BXSL portfolio company with fair-value exposure percentage in SEC earnings exhibit.,"Borrower-level transaction documents or announcements identifying use of proceeds, sponsor, prior facility, and whether private credit refinanced bank or syndicated debt.",Private credit has identifiable borrower exposure here; displacement is not proven without prior-financing and loan-purpose evidence.,"Find acquisition/refinancing announcement, credit agreement, lender list, prior debt stack, sponsor owner, and bank revolver role.",borrower-or-lane-identified-needs-source-of-funds-match,high
"CF-004, CF-005",Is private credit replacing bank lending or building a parallel borrower-financing lane?,Blackstone,BXSL,Blackstone Secured Lending Fund,Bazaarvoice,software / marketing technology,Q2 2026 / June 30 2026,2,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,Named as a top-ten BXSL portfolio company with fair-value exposure percentage in SEC earnings exhibit.,"Borrower-level transaction documents or announcements identifying use of proceeds, sponsor, prior facility, and whether private credit refinanced bank or syndicated debt.",Private credit has identifiable borrower exposure here; displacement is not proven without prior-financing and loan-purpose evidence.,"Find acquisition/refinancing announcement, credit agreement, lender list, prior debt stack, sponsor owner, and bank revolver role.",borrower-or-lane-identified-needs-source-of-funds-match,high
"CF-004, CF-005",Is private credit replacing bank lending or building a parallel borrower-financing lane?,Blackstone,BXSL,Blackstone Secured Lending Fund,Navigator,not classified in this pass,Q2 2026 / June 30 2026,2,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,Named as a top-ten BXSL portfolio company with fair-value exposure percentage in SEC earnings exhibit.,"Borrower-level transaction documents or announcements identifying use of proceeds, sponsor, prior facility, and whether private credit refinanced bank or syndicated debt.",Private credit has identifiable borrower exposure here; displacement is not proven without prior-financing and loan-purpose evidence.,"Find acquisition/refinancing announcement, credit agreement, lender list, prior debt stack, sponsor owner, and bank revolver role.",borrower-or-lane-identified-needs-source-of-funds-match,high
"CF-004, CF-005",Is private credit replacing bank lending or building a parallel borrower-financing lane?,Blackstone,BXSL,Blackstone Secured Lending Fund,IRI Group / NPD / Circana,data / analytics / consumer insights,Q2 2026 / June 30 2026,1,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,Named as a top-ten BXSL portfolio company with fair-value exposure percentage in SEC earnings exhibit.,"Borrower-level transaction documents or announcements identifying use of proceeds, sponsor, prior facility, and whether private credit refinanced bank or syndicated debt.",Private credit has identifiable borrower exposure here; displacement is not proven without prior-financing and loan-purpose evidence.,"Find acquisition/refinancing announcement, credit agreement, lender list, prior debt stack, sponsor owner, and bank revolver role.",borrower-or-lane-identified-needs-source-of-funds-match,high
"CF-004, CF-005",Is private credit replacing bank lending or building a parallel borrower-financing lane?,Blackstone,BXSL,Blackstone Secured Lending Fund,Medallia,software / customer experience,Q2 2026 / June 30 2026,1,percent of portfolio fair market value,raw/primary-sources/capital-flow/blackstone-secured-lending-fund/q2-2026/bxsl-q2-2026-8k-exhibit-99-1.html,Named as a top-ten BXSL portfolio company with fair-value exposure percentage in SEC earnings exhibit.,"Borrower-level transaction documents or announcements identifying use of proceeds, sponsor, prior facility, and whether private credit refinanced bank or syndicated debt.",Private credit has identifiable borrower exposure here; displacement is not proven without prior-financing and loan-purpose evidence.,"Find acquisition/refinancing announcement, credit agreement, lender list, prior debt stack, sponsor owner, and bank revolver role.",borrower-or-lane-identified-needs-source-of-funds-match,high
