priority,workstream,current_upgrade,next_source_object,stop_rule,current_status
1,Q-03 Wheaton-Antamina,metal-credit mechanism and combined Q2 delivery boundary,"BHP-specific credit issuance sale/receivable bank receipt tax and facility-allocation ledger",no repeated broad search without a new settlement delivery reserve or lender document,qualified-receipt-open
2,CA-06 Q-04-Q-06 retail,"same-period denominator supplier-finance capex legal-owner and attached-service burden controls; official SEC recheck consolidated in the CA-06 allocation boundary","matched payment/settlement maintenance-capital lease/tax or service collection/cost schedule",do not double subtract annual/period-end balances or add service revenue one-for-one,partial-allocation-open
3,PBF refinancing,"completed source/use bridge for 2034 notes and June 25 2026 redemption of 2028 notes","trustee settlement accrued-interest cash-on-hand split fee/tax treatment post-redemption liquidity and refinery-level cash",do not treat coupon relief or company OCF as refinancing NPV or refinery owner cash,completed-source-use-settlement-open
4,Q-13 URI physical capacity,"fleet cash resale recovery facility capacity valuation stress and thesis breakers","populated borrowing-base certificate NOLV/reserve schedule source-to-purchase draw and lifecycle return package",do not treat capacity NBV OEC or resale proceeds as legal availability or owner cash,qualified-certificate-open
5,Private credit,"Bear Concord and Frontline share lender-allocation and cash-waterfall gates","credit agreement lender allocation custody/trustee remittance closing funds flow debt service and repayment",do not rank statutory interest wrappers fair value or arranger role,qualified-promotion-open
6,Industrial physical-capacity cohort,"URI Equinix and Digital Realty comparison reaches valuation liquidity and falsifiability","project yield/commencement replacement capital JV/private capital dilution and per-share residual evidence",keep company-specific denominators; no pooled multiple,qualified-no-ranking
7,Healthcare distribution,"McKesson longitudinal cash Cencora OneOncology return and Cardinal Solaris/legal bridges","matched McKesson quarters OneOncology post-close cash or Solaris return/legal schedule",do not rank unlike periods or treat adjusted FCF/OCF screens as owner cash,qualified-cohort-open
8,Medical devices,"Stryker Inari Intuitive installed-base and Henry Schein funding bridges","Inari cohort return lease collection restructuring cash or diluted per-share schedule",do not promote utilization acquisition timing or secured liquidity without same-entity cash joins,qualified-cohort-open
9,Semiconductor digital infrastructure,"KLA five-year cycle panel and installed-base filing boundary; Equinix/Digital Realty funding-return workbenches","KLA numeric installed-base/service schedule or named data-center project commencement/yield/funding schedule",do not use FCF AFFO FFO backlog service revenue or bookings as normalized owner cash,qualified-no-ranking
10,Power grid insurance,strong route-visible diagnostics,"FPL category receipts AEP/Duke customer obligations/project recovery or insurance named-asset remittance","stop on searched-negative route; require a new primary filing or schedule",qualified-route-open
11,Atwell infrastructure services,"separate Advent equity and BofA-led facility route is visible; Ares conflation is excluded","Atwell credit agreement draw notices lender allocation borrower financials and repayment",do not use Atwell to fill Ares/Frontline lender allocation or treat stated growth objectives as cash,source-route-open
