parser_row_id,schedule,population,page,cusip_or_identifier,name_and_raw_terms,naic_designation_detected,asset_type_guess,first_numeric_values,current_status,proof_use,boundary
CFAASBAFR-00001,Schedule BA Part 1,year-end-owned-assets,5813,00264#-AA-5,"AP Aristotle Holdings LLC Aristotle Junior 0% Perpetual 0.000% 09/30/24 ...................... .......... WIlmington .......................... ......... DE......... Tax Free Exchange ........................... ......... .......... ....02/28/2025 ... ....... ....... ...... 16,122,455 ...... 10,783,834 ...... 10,783,834 ...... (5,338,621) ................. ................. ................. ................. ................. ................. ......0.000",,fund-partnership-or-private-asset,"16,122,455; 10,783,834; 10,783,834; (5,338,621)",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00002,Schedule BA Part 1,year-end-owned-assets,5813,G2973#-AB-4,"AP Chia Issuer LLC AP Chia PERP NC10 JR Notes 0.000% 04/14/25 ..................................... .......... ...................................... .........CYM........ ................................................. ......... .......... ....05/29/2025 ... ....... ....... ..........118,042 ..........112,655 ..........111,779 ........... (6,262) ..........9,118 ................. ................. ................. .............(24)................. ......0.000",,fund-partnership-or-private-asset,"118,042; 112,655; 111,779; (6,262); 9,118",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00003,Schedule BA Part 1,year-end-owned-assets,5813,G2971@-AA-0,"AP Pistachio LP Pistachio Jr Secured Perp Nts 0.000% 04/01/88 ..................................... .......... ...................................... .........CYM........ Transfer from Schedule D .................. ......... .......... ....01/01/2025 ... ....... ....... ........3,944,526 ........4,425,152 ........4,291,472 ................... ................. ................. ................. ........346,946 ................. ................. ......0.000",,fund-partnership-or-private-asset,"3,944,526; 4,425,152; 4,291,472; 346,946",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00004,Schedule BA Part 1,year-end-owned-assets,5813,90117P-AQ-8,"1211 Avenue of the Americas Tr AOTA 2015-1211 E 4.142% 08/10/35 ................................ .......... New York ............................ ......... NY......... Transfer from Schedule D .................. ....... 3.C ........ ....01/01/2025 ... ....... ....... ......85,081,101 ...... 77,949,983 ...... 77,949,983 ......(6,856,740) ........129,259 ................. ................. ................. .....3,463,856 ................. ......0.000",3.C,transferred-or-debt-style-asset,"85,081,101; 77,949,983; 77,949,983; (6,856,740); 129,259; 3,463,856",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00005,Schedule BA Part 1,year-end-owned-assets,5813,04410R-AQ-9,"Ashford Hospitality Trust 2018 AHT1 2018-ASHF F 8.022% 04/15/35 ................................ .......... Dallas ............................... ......... TX......... Transfer from Schedule D .................. ....... 3.B ........ ....01/01/2025 ... ....... ....... ...... 46,997,050 ...... 46,962,386 ...... 46,962,386 ..........(34,664) ........407,905 ................. ................. ................. ..... 4,052,450 ................. ......0.000",3.B,structured-credit-or-real-estate,"46,997,050; 46,962,386; 46,962,386; (34,664); 407,905; 4,052,450",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00006,Schedule BA Part 1,year-end-owned-assets,5813,61764B-AU-7,"Morgan Stanley Capital I Trust MSC 2014-150E G 4.295% 09/09/32 ..................................... .......... New York ............................ ......... NY......... Transfer from Schedule D .................. ........6. ........ ....01/01/2025 ... ....... ....... ...... 34,234,162 ...... 22,425,000 ...... 22,425,000 ................... .........20,409 ....11,809,162 ................. ................. ........595,159 ................. ......0.000",6.,structured-credit-or-real-estate,"34,234,162; 22,425,000; 22,425,000; 20,409; 11,809,162; 595,159",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00007,Schedule BA Part 1,year-end-owned-assets,5813,L0009*-AB-4,"AP Dolphin (Luxembourg) S.a.r. AP Dolphin 4.750% 12/31/32 ..................................... .......... ...................................... .........LUX........ Transfer from Schedule D .................. ....... 2.B ........ ....01/01/2025 ... ....... ....... ...... 33,967,353 ...... 37,110,374 ...... 37,110,374 .........(723,954).....4,438,791 ................. ................. .....3,939,010 ..... 1,393,124 ................. ......0.000",2.B,fund-partnership-or-private-asset,"33,967,353; 37,110,374; 37,110,374; (723,954); 4,438,791; 3,939,010; 1,393,124",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00008,Schedule BA Part 1,year-end-owned-assets,5813,G2964#-AB-5,"AP Grange Holdings LLC AP Grange Tranche B 5.000% 03/20/45 ..................................... .......... ...................................... .........CYM........ Transfer from Schedule D .................. ....... 2.B ........ ....01/01/2025 ... ....... ....... .....429,756,073 .....411,998,739 .....411,998,739 .....(17,743,830) ....42,889,185 ................. ................. ................. ....31,661,927 ................. ......0.000",2.B,fund-partnership-or-private-asset,"429,756,073; 411,998,739; 411,998,739; (17,743,830); 42,889,185; 31,661,927",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00009,Schedule BA Part 1,year-end-owned-assets,5817,16649@-AA-9,"Chesterfield Reinsurance Co Subordinated 7.125% 03/23/43 ..................................... .......... Chesterfield ....................... ......... VA......... Direct ......................................... ....... 1.F ........ ....03/23/2023 ... ....... ....... .....127,500,000 .....130,050,000 .....127,500,000 ................... ................. ................. ................. ................. ..... 2,238,833 ................. ......0.000",1.F,other-invested-asset,"127,500,000; 130,050,000; 127,500,000; 2,238,833",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00010,Schedule BA Part 1,year-end-owned-assets,5817,256141-AB-8,"Doctors Co An Interinsurance E Subordinated 4.500% 01/18/32 ..................................... .......... Napa ................................. ......... CA......... ................................................. ....... 2.B ........ ....01/12/2022 ... ....... ....... ...... 61,904,641 ......57,815,176 ...... 62,222,199 ................... ........223,308 ................. ................. ................. ........776,250 ................. ......0.000",2.B,other-invested-asset,"61,904,641; 57,815,176; 62,222,199; 223,308; 776,250",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
