claim_id,claim_text,company,cluster,capital_source,routing_platform,funding_instrument,real_economy_destination,operating_beneficiary,bottleneck,proof_metric_needed,disproof_metric_needed,source_target,source_file,period,metric_name,metric_value,units,interpretation,confidence,status
CF-001,"The next investment cycle is a capital-routing cycle, not just AI, private credit, or infrastructure in isolation.",BlackRock,capital platforms,"ETF buyers; institutions; wealth platforms; outsourced portfolio clients; private-market allocators",BlackRock,"ETFs; model portfolios; technology workflow; private markets","public-market exposure; whole-portfolio implementation; private-credit access","capital owners; portfolio infrastructure clients","fee pressure; market decline; political scrutiny","AUM; net inflows; technology revenue","flow slowdown; technology adoption stalls","BlackRock 10-K; quarterly supplement; investor presentation","analysis/company-first-principles/financial/asset-management/blackrock-inc/company-analysis.md",FY2025,AUM,14.0,T USD,"BlackRock scale supports the claim that capital owners consolidate implementation with trusted platforms.",medium,analysis-derived-needs-primary-source
CF-001,"The next investment cycle is a capital-routing cycle, not just AI, private credit, or infrastructure in isolation.",BlackRock,capital platforms,"ETF buyers; institutions; wealth platforms; outsourced portfolio clients; private-market allocators",BlackRock,"ETFs; model portfolios; technology workflow; private markets","public-market exposure; whole-portfolio implementation; private-credit access","capital owners; portfolio infrastructure clients","fee pressure; market decline; political scrutiny","AUM; net inflows; technology revenue","flow slowdown; technology adoption stalls","BlackRock 10-K; quarterly supplement; investor presentation","analysis/company-first-principles/financial/asset-management/blackrock-inc/company-analysis.md",FY2025,net inflows,698,B USD,"Record net inflows indicate the platform is still gathering large capital flows.",medium,analysis-derived-needs-primary-source
CF-001,"The next investment cycle is a capital-routing cycle, not just AI, private credit, or infrastructure in isolation.",BlackRock,capital platforms,"ETF buyers; institutions; wealth platforms; outsourced portfolio clients; private-market allocators",BlackRock,"technology services; subscription workflow","portfolio analytics; data; Aladdin-style workflow","capital owners; portfolio operating teams","technology adoption stalls; integration risk","technology services and subscription revenue","workflow revenue stagnation","BlackRock 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/blackrock-inc/company-analysis.md",FY2025,technology services and subscription revenue,1.981,B USD,"Technology revenue supports the claim that BlackRock is portfolio infrastructure, not only fund management.",medium,analysis-derived-needs-primary-source
CF-001,"The next investment cycle is a capital-routing cycle, not just AI, private credit, or infrastructure in isolation.",BlackRock,capital platforms,"ETF buyers; institutions; wealth platforms; outsourced portfolio clients; private-market allocators",BlackRock,"ETFs; models; private markets; portfolio outsourcing","public and private-market implementation","capital owners; portfolio infrastructure clients","fee pressure; market decline; political scrutiny","AUM; net inflows","flow slowdown","BlackRock Q2 2026 supplement; earnings release","analysis/company-first-principles/financial/asset-management/blackrock-inc/company-analysis.md",Q2 2026,AUM,15.3,T USD,"Q2 2026 AUM shows continued scale after FY2025.",medium,analysis-derived-needs-primary-source
CF-001,"The next investment cycle is a capital-routing cycle, not just AI, private credit, or infrastructure in isolation.",BlackRock,capital platforms,"ETF buyers; institutions; wealth platforms; outsourced portfolio clients; private-market allocators",BlackRock,"ETFs; models; private markets; portfolio outsourcing","public and private-market implementation","capital owners; portfolio infrastructure clients","fee pressure; market decline; political scrutiny","first-half net inflows","flow slowdown","BlackRock Q2 2026 supplement; earnings release","analysis/company-first-principles/financial/asset-management/blackrock-inc/company-analysis.md",H1 2026,net inflows,321,B USD,"Record first-half net inflows support continued flow control.",medium,analysis-derived-needs-primary-source
CF-002,"Giant platforms are converting retirement, insurance, institutional, sovereign, ETF, and wealth money into private credit, infrastructure, power, data centers, real assets, private-company financing, secondaries, and wealth alternatives.",Blackstone,capital platforms,"pensions; sovereigns; insurers; endowments; wealth clients; perpetual funds",Blackstone,"private equity; private credit; real estate; infrastructure; wealth alternatives","real estate; data centers; power infrastructure; private companies; private credit","private-market asset owners; infrastructure operators","real estate stress; weak exits; redemption pressure; credit losses","AUM; fee-earning AUM; perpetual capital AUM","fundraising slowdown; perpetual capital pressure","Blackstone 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/blackstone-inc/company-analysis.md",FY2025,AUM,1.27,T USD,"Massive AUM supports Blackstone's role as private-markets capital formation infrastructure.",medium,analysis-derived-needs-primary-source
CF-002,"Giant platforms are converting retirement, insurance, institutional, sovereign, ETF, and wealth money into private credit, infrastructure, power, data centers, real assets, private-company financing, secondaries, and wealth alternatives.",Blackstone,capital platforms,"pensions; sovereigns; insurers; endowments; wealth clients; perpetual funds",Blackstone,"private equity; private credit; real estate; infrastructure; wealth alternatives","real estate; data centers; power infrastructure; private companies; private credit","private-market asset owners; infrastructure operators","real estate stress; weak exits; redemption pressure; credit losses","fee-earning AUM; perpetual capital AUM","fundraising slowdown; perpetual capital pressure","Blackstone 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/blackstone-inc/company-analysis.md",FY2025,fee-earning AUM,921.7,B USD,"Fee-earning AUM supports recurring private-market platform economics.",medium,analysis-derived-needs-primary-source
CF-002,"Giant platforms are converting retirement, insurance, institutional, sovereign, ETF, and wealth money into private credit, infrastructure, power, data centers, real assets, private-company financing, secondaries, and wealth alternatives.",Blackstone,capital platforms,"pensions; sovereigns; insurers; endowments; wealth clients; perpetual funds",Blackstone,"perpetual capital; private-market vehicles","long-duration private assets","private-market asset owners; infrastructure operators","redemption pressure; valuation pressure","perpetual capital AUM","perpetual product pressure; redemptions","Blackstone 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/blackstone-inc/company-analysis.md",FY2025,perpetual capital AUM,523.6,B USD,"Perpetual capital supports the claim that private-market funding is becoming longer duration.",medium,analysis-derived-needs-primary-source
CF-002,"Giant platforms are converting retirement, insurance, institutional, sovereign, ETF, and wealth money into private credit, infrastructure, power, data centers, real assets, private-company financing, secondaries, and wealth alternatives.",Blackstone,capital platforms,"pensions; sovereigns; insurers; endowments; wealth clients; perpetual funds",Blackstone,"private equity; private credit; real estate; infrastructure","private assets; credit; real assets","private companies; infrastructure operators","weak exits; deployment discipline","inflows; deployment; realizations","falling inflows; weak realizations","Blackstone 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/blackstone-inc/company-analysis.md",FY2025,inflows,239.4,B USD,"Large inflows show continued capital formation.",medium,analysis-derived-needs-primary-source
CF-002,"Giant platforms are converting retirement, insurance, institutional, sovereign, ETF, and wealth money into private credit, infrastructure, power, data centers, real assets, private-company financing, secondaries, and wealth alternatives.",Blackstone,capital platforms,"pensions; sovereigns; insurers; endowments; wealth clients; perpetual funds",Blackstone,"private equity; private credit; real estate; infrastructure","private assets; credit; real assets","private companies; infrastructure operators","weak exits; deployment discipline","deployment; realizations","weak deployment; impaired exits","Blackstone 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/blackstone-inc/company-analysis.md",FY2025,deployment,138.2,B USD,"Deployment shows raised capital moving into assets rather than only sitting as AUM.",medium,analysis-derived-needs-primary-source
