company,period,attached_service_pool_musd,conversion_rate_pct,mechanical_cash_frontier_musd,denominator_cash_musd,status,source_artifact,interpretation
Target,H1 2026,1141,0,0,4519,sensitivity-only,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-frontier-2026-09-15.md,No attached-service cash is assumed
Target,H1 2026,1141,25,285.25,4519,sensitivity-only,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-frontier-2026-09-15.md,Illustrative quarter-conversion case; not observed cash
Target,H1 2026,1141,50,570.5,4519,sensitivity-only,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-frontier-2026-09-15.md,Illustrative half-conversion case; not observed cash
Target,H1 2026,1141,75,855.75,4519,sensitivity-only,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-frontier-2026-09-15.md,Illustrative three-quarter-conversion case; not observed cash
Target,H1 2026,1141,100,1141,4519,sensitivity-only,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-frontier-2026-09-15.md,Upper-bound arithmetic only; not observed cash
Walmart,H1 FY2027,3855,0,0,19710,sensitivity-only,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-frontier-2026-09-15.md,No attached-service cash is assumed
Walmart,H1 FY2027,3855,25,963.75,19710,sensitivity-only,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-frontier-2026-09-15.md,Illustrative quarter-conversion case; not observed cash
Walmart,H1 FY2027,3855,50,1927.5,19710,sensitivity-only,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-frontier-2026-09-15.md,Illustrative half-conversion case; not observed cash
Walmart,H1 FY2027,3855,75,2891.25,19710,sensitivity-only,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-frontier-2026-09-15.md,Illustrative three-quarter-conversion case; not observed cash
Walmart,H1 FY2027,3855,100,3855,19710,sensitivity-only,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-frontier-2026-09-15.md,Upper-bound arithmetic only; not observed cash
