theme_id,sector_or_cross_sector,theme_name,packet_base,deep_coverage_status,first_principles_question,what_it_tells_us,example_company_types,proof_boundary,writing_use
ARASTE-001,technology,Digital control and permission,111 packets / 7 deep analyses,covered but narrowed,"Who controls the digital action before value can happen?","Technology demand is about identity, security, workflow routing, data movement, AI infrastructure, and permissioned action, not only apps.","cybersecurity, cloud, communications, payments, software platforms, AI infrastructure","Does not prove all software demand is durable or AI-driven.","Use as the technology expansion theme."
ARASTE-002,services,Time pressure and cultural consumption,75 packets / 6 deep analyses,underdeveloped,"What does a person pay someone else to do because time, energy, skill, or emotional bandwidth is scarce?","Services reveal how households and businesses spend for convenience, status, relief, mobility, attention, and outsourced effort.","restaurants, lodging, travel, casinos, advertising, transportation, entertainment, staffing","Does not prove consumer health; service growth may reflect stress, substitution, debt, or price.","Add as the largest missing cultural theme."
ARASTE-003,industrial_goods,Uptime and field execution,63 packets / 10 deep analyses,strong,"Who gets paid because other companies cannot afford for work to stop?","Industrial companies sell continuity: equipment availability, parts, technical support, distribution, and project execution.","equipment rental, MRO, electrical distribution, HVAC, construction, fleet support","Backlog, revenue, or utilization does not by itself prove cash conversion or project return.","Keep as a main article pillar."
ARASTE-004,consumer_goods,Household identity and routine protection,58 packets / 3 deep analyses,underdeveloped,"What does a household keep buying because it protects a feeling or routine the household does not want to lose?","Consumer goods reveal spending that protects normalcy, cleanliness, safety, small control, entertainment, trust, and identity.","food, packaging, beauty, personal care, toys, household goods, apparel","Sales do not automatically prove brand strength, pricing power, or durable margins.","Add as a household psychology theme."
ARASTE-005,basic_materials,Input scarcity behind buildout,48 packets / 3 deep analyses,underdeveloped,"Which physical inputs become hard to get when many parts of the economy try to build at once?","Power, housing, infrastructure, food, electronics, defense, and industrial buildout depend on plain physical inputs.","steel, copper, lumber, fertilizer, chemicals, aggregates, packaging inputs","End-market demand does not guarantee pricing power for every materials company.","Add as the physical-input theme."
ARASTE-006,healthcare,Organized access under constraint,47 packets / 7 deep analyses,reasonably strong,"Who organizes care when human need, payment rules, labor limits, and medical capacity collide?","Healthcare demand is obvious; value is in arranging care that can be staffed, reimbursed, authorized, scheduled, and trusted.","payers, PBMs, dialysis, home care, hospice, labs, devices, drugstores","Volume growth does not prove better care, better outcomes, or better cash quality.","Keep and expand with cash and quality boundaries."
ARASTE-007,energy,Molecule logistics and affordability,42 packets / selective capital-flow depth,strong in capital flow,"Who controls the route between energy supply and energy use?","Energy value depends on moving molecules through gathering, processing, pipelines, storage, refining, LNG, exports, contracts, and tariffs.","midstream, LNG, refining, upstream, NGLs, terminals, storage","Volume growth does not prove high-quality cash or durable project return.","Use as the energy expansion theme."
ARASTE-008,financials,Promise transformation and capital routing,35 packets / 7 deep analyses,strong in platforms,"Whose promise is being transformed into someone else's funding?","Financial companies route savings, premiums, deposits, fees, receivables, and borrowed funds into assets, borrowers, policies, and collateral pools.","asset managers, insurers, banks, BDCs, card lenders, payment networks","AUM, premiums, deposits, and commitments are not named-cash proof.","Keep as the big-money-player spine."
ARASTE-009,real_estate,Scarce locations and access rights,19 packets / limited deep coverage,underdeveloped,"Who controls a location that someone else must use?","Real estate value can come from scarce sites, power access, towers, logistics locations, lodging demand, medical geography, and shelter need.","REITs, towers, lodging, logistics property, data-center sites, medical offices","Owning property does not prove pricing power or cash durability.","Add as a location-scarcity theme."
ARASTE-010,utilities,Permissioned capital and customer bills,16 packets / 7 deep analyses,strong,"Who gave permission to spend, and who is obligated to pay through bills?","Utilities turn public need into capital plans, regulatory approval, assets, recovery, customer bills, reliability, and affordability debates.","electric utilities, gas utilities, water utilities, grid operators","Approved capex does not automatically become collected cash or fair customer value.","Keep as a main power/grid pillar."
ARASTE-011,cross_sector_labor,Labor and service capacity,multiple sectors,underdeveloped as standalone,"Who can turn scarce labor into repeatable service?","Many sectors depend on recruiting, training, scheduling, dispatching, retaining, and supervising scarce skilled labor.","healthcare, restaurants, lodging, construction, field service, delivery, utilities","Automation does not remove every labor constraint.","Add as a cross-sector theme."
ARASTE-012,cross_sector_trust,Trust safety and control,multiple sectors,underdeveloped as standalone,"Who gets paid because someone else needs a reliable gatekeeper?","Trust is paid for through security, authorization, custody, brand reliability, food safety, payment reliability, insurance promises, and infrastructure dependability.","cybersecurity, payments, healthcare, consumer brands, insurance, utilities, custody","Trust is not only a soft brand claim; it needs repeat behavior, lower risk, or payment proof.","Add as a cross-sector unifying theme."
