diagnostic_id,metric,value,units,proof_use,boundary,next_action
CFAASCPD-001,disposal_rows,7655.000000,count,controls the full-universe safe cash-like proceeds summary,"diagnostic total is parser-derived and remains below final accounting, borrower-cash, liability-spread, or return proof",use diagnostics to select the next row-level proof packet and reconciliation target
CFAASCPD-002,summary_rows,60.000000,count,controls the full-universe safe cash-like proceeds summary,"diagnostic total is parser-derived and remains below final accounting, borrower-cash, liability-spread, or return proof",use diagnostics to select the next row-level proof packet and reconciliation target
CFAASCPD-003,total_consideration,72807523483.000000,USD,controls the full-universe safe cash-like proceeds summary,"diagnostic total is parser-derived and remains below final accounting, borrower-cash, liability-spread, or return proof",use diagnostics to select the next row-level proof packet and reconciliation target
CFAASCPD-004,cash_like_candidate_rows,7396.000000,count,controls the full-universe safe cash-like proceeds summary,"diagnostic total is parser-derived and remains below final accounting, borrower-cash, liability-spread, or return proof",use diagnostics to select the next row-level proof packet and reconciliation target
CFAASCPD-005,cash_like_candidate_consideration,57909402803.000000,USD,controls the full-universe safe cash-like proceeds summary,"diagnostic total is parser-derived and remains below final accounting, borrower-cash, liability-spread, or return proof",use diagnostics to select the next row-level proof packet and reconciliation target
CFAASCPD-006,cash_like_candidate_consideration_share,0.795377,ratio,controls the full-universe safe cash-like proceeds summary,"diagnostic total is parser-derived and remains below final accounting, borrower-cash, liability-spread, or return proof",use diagnostics to select the next row-level proof packet and reconciliation target
CFAASCPD-007,noncash_or_transfer_hold_rows,259.000000,count,controls the full-universe safe cash-like proceeds summary,"diagnostic total is parser-derived and remains below final accounting, borrower-cash, liability-spread, or return proof",use diagnostics to select the next row-level proof packet and reconciliation target
CFAASCPD-008,noncash_or_transfer_hold_consideration,14898120680.000000,USD,controls the full-universe safe cash-like proceeds summary,"diagnostic total is parser-derived and remains below final accounting, borrower-cash, liability-spread, or return proof",use diagnostics to select the next row-level proof packet and reconciliation target
CFAASCPD-009,noncash_or_transfer_hold_consideration_share,0.204623,ratio,controls the full-universe safe cash-like proceeds summary,"diagnostic total is parser-derived and remains below final accounting, borrower-cash, liability-spread, or return proof",use diagnostics to select the next row-level proof packet and reconciliation target
CFAASCPD-010,top_cashlike_cusip_rows,50.000000,count,controls the full-universe safe cash-like proceeds summary,"diagnostic total is parser-derived and remains below final accounting, borrower-cash, liability-spread, or return proof",use diagnostics to select the next row-level proof packet and reconciliation target
CFAASCPD-011,top_cashlike_cusip_consideration,10876822674.000000,USD,controls the full-universe safe cash-like proceeds summary,"diagnostic total is parser-derived and remains below final accounting, borrower-cash, liability-spread, or return proof",use diagnostics to select the next row-level proof packet and reconciliation target
CFAASCPD-012,top_cashlike_cusip_consideration_share,0.149391,ratio,controls the full-universe safe cash-like proceeds summary,"diagnostic total is parser-derived and remains below final accounting, borrower-cash, liability-spread, or return proof",use diagnostics to select the next row-level proof packet and reconciliation target
CFAASCPD-013,same_cusip_cashlike_consideration_ex_placeholder,19636559453.000000,USD,controls the full-universe safe cash-like proceeds summary,"diagnostic total is parser-derived and remains below final accounting, borrower-cash, liability-spread, or return proof",use diagnostics to select the next row-level proof packet and reconciliation target
CFAASCPD-014,safe_realized_gain_loss_sum,-168096.000000,USD,controls the full-universe safe cash-like proceeds summary,"diagnostic total is parser-derived and remains below final accounting, borrower-cash, liability-spread, or return proof",use diagnostics to select the next row-level proof packet and reconciliation target
