company,fiscal_period,fiscal_timing,dominant_macro_regime,approx_cpi_change_pct,federal_funds_target_range,real_hourly_earnings_yoy_pct,operating_cash_flow_musd,property_or_capex_musd,cash_after_property_musd,denominator_status,macro_reading,boundary,macro_source_artifact,company_source_artifact
Target,FY2020,"Mostly 2020; fiscal year ended January 2021",2020,1.2,0%-0.25%,3.7,10525,2649,7876,reported-cash-screen,"Cash screen remained high during the pandemic liquidity regime; labor composition and stimulus effects confound affordability interpretation","Fiscal year overlaps 2020-2021; pandemic support, inventory, vendor terms, leases, taxes, maintenance capital, SBC, and services are not normalized",analysis/company-first-principles/data/combined-investment-research-macro-historical-regime-validation-2026-09-15.csv,analysis/company-first-principles/combined-investment-research-macro-longitudinal-retail-source-note-2026-09-16.md
Target,FY2021,"Mostly 2021; fiscal year ended January 2022",2021,4.7,0%-0.25%,-2.4,8625,3544,5081,reported-cash-screen,"Cash screen compressed as reopening inflation and real-wage pressure emerged; this is directionally consistent but confounded","Fiscal year overlaps 2021-2022; supply constraints, inventory, vendor terms, leases, taxes, maintenance capital, SBC, and services are not normalized",analysis/company-first-principles/data/combined-investment-research-macro-historical-regime-validation-2026-09-15.csv,analysis/company-first-principles/combined-investment-research-macro-longitudinal-retail-source-note-2026-09-16.md
Target,FY2022,"Mostly 2022; fiscal year ended January 2023",2022,8.0,4.25%-4.50%,-1.7,4018,5528,-1510,qualified-cash-screen,"Cash-after-property turned negative during the inflation and rate shock; capex timing, inventory, vendor terms, and pandemic normalization prevent causal attribution","Fiscal year overlaps 2022-2023; the negative screen is not normalized owner cash and excludes leases, taxes, services, dilution, and support recurrence",analysis/company-first-principles/data/combined-investment-research-macro-historical-regime-validation-2026-09-15.csv,analysis/company-first-principles/combined-investment-research-macro-longitudinal-retail-source-note-2026-09-16.md
Walmart,FY2021,"Mostly 2021; fiscal year ended January 2022",2021,4.7,0%-0.25%,-2.4,36074,10264,25810,reported-cash-screen,"Scale cash remained positive during reopening and supply pressure; size, mix, and working capital confound macro interpretation","Fiscal year overlaps 2021-2022; supplier finance, inventory, leases, taxes, maintenance/growth capex, services, SBC, and acquisitions remain unresolved",analysis/company-first-principles/data/combined-investment-research-macro-historical-regime-validation-2026-09-15.csv,analysis/company-first-principles/combined-investment-research-macro-longitudinal-retail-source-note-2026-09-16.md
Walmart,FY2022,"Mostly 2022; fiscal year ended January 2023",2022,8.0,4.25%-4.50%,-1.7,24181,13106,11075,reported-cash-screen,"Cash-after-property compressed during the inflation and rate shock but stayed positive; scale and capex timing prevent causal attribution","Fiscal year overlaps 2022-2023; supplier finance, inventory, leases, taxes, maintenance/growth capex, services, SBC, and acquisitions remain unresolved",analysis/company-first-principles/data/combined-investment-research-macro-historical-regime-validation-2026-09-15.csv,analysis/company-first-principles/combined-investment-research-macro-longitudinal-retail-source-note-2026-09-16.md
Walmart,FY2023,"Mostly 2023; fiscal year ended January 2024",2023,4.1,5.25%-5.50%,0.8,28841,16857,11984,reported-cash-screen,"Cash-after-property improved from FY2022 while rates remained restrictive; operating scale, capex, and working capital remain confounders","Fiscal year overlaps 2023-2024; supplier finance, inventory, leases, taxes, maintenance/growth capex, services, SBC, and acquisitions remain unresolved",analysis/company-first-principles/data/combined-investment-research-macro-historical-regime-validation-2026-09-15.csv,analysis/company-first-principles/combined-investment-research-macro-longitudinal-retail-source-note-2026-09-16.md
TJX,FY2021,"Mostly 2021; fiscal year ended January 2022",2021,4.7,0%-0.25%,-2.4,4562,568,3994,reported-cash-screen,"Off-price cash remained resilient through reopening and supply pressure; stimulus, store timing, and company execution confound macro interpretation","Fiscal year overlaps 2021-2022; pandemic normalization, renovations, leases, inventory, taxes, SBC, and services are not normalized",analysis/company-first-principles/data/combined-investment-research-macro-historical-regime-validation-2026-09-15.csv,analysis/company-first-principles/combined-investment-research-macro-longitudinal-retail-source-note-2026-09-16.md
TJX,FY2022,"Mostly 2022; fiscal year ended January 2023",2022,8.0,4.25%-4.50%,-1.7,3057,1045,2012,reported-cash-screen,"Off-price cash screen compressed during inflation and rate pressure but remained positive; inventory and margin effects require separation","Fiscal year overlaps 2022-2023; renovations, leases, inventory, taxes, SBC, services, and support recurrence remain unresolved",analysis/company-first-principles/data/combined-investment-research-macro-historical-regime-validation-2026-09-15.csv,analysis/company-first-principles/combined-investment-research-macro-longitudinal-retail-source-note-2026-09-16.md
TJX,FY2023,"Mostly 2023; fiscal year ended February 2024",2023,4.1,5.25%-5.50%,0.8,4084,1457,2627,reported-cash-screen,"Off-price cash screen recovered as inflation eased while rates remained restrictive; company execution and capex mix remain confounders","Fiscal year overlaps 2023-2024; renovations, leases, inventory, taxes, SBC, services, and support recurrence remain unresolved",analysis/company-first-principles/data/combined-investment-research-macro-historical-regime-validation-2026-09-15.csv,analysis/company-first-principles/combined-investment-research-macro-longitudinal-retail-source-note-2026-09-16.md
Target,FY2023,"Mostly 2022; overlaps 2023",2022,8.0,4.25%-4.50%,-1.7,8621,4806,3815,reported-cash-screen,"Cash screen remained visible during inflation and real-wage pressure; consistent with value demand but not causal proof","Fiscal year overlaps 2022-2023; inventory, vendor terms, tariffs, leases, taxes, maintenance capital, SBC, and services are not normalized",analysis/company-first-principles/data/combined-investment-research-macro-historical-regime-validation-2026-09-15.csv,analysis/company-first-principles/combined-investment-research-pilot-02-retail-owner-cash-bridge.md
