waterfall_id,queue_id,evidence_gate,evidence_source,current_status,period,evidence_now,value_or_metric,proof_result,money_movement_answer,missing_proof,next_required_source,safe_claim
CFLNGPCWST-001,CFE2EGUQ-007,queue-decision,capital-flow-end-to-end-graph-upgrade-queue-pass-1.csv,executed-local-boundary-pass-1,current synthesis,Cheniere LNG was the seventh end-to-end graph upgrade target,priority 7,boundary-pass,"Question is whether Cheniere's LNG source/use/output evidence can be tied to train-level customer cash and waterfall proof.","The row was only partial-local before this pass.",SPL CQP CCH credit agreements indentures offering memoranda FERC dockets DOE cargo records SPA summaries and project-cost schedules,Cheniere is ready for project cash-waterfall testing but not full train return proof.
CFLNGPCWST-002,CFE2EGUQ-007,company-cash-baseline,capital-flow-cheniere-train-source-use-return-bridge-pass-1.csv,company-source-table,FY 2025,Revenue,19.98B USD,company-cash-baseline-visible,"Cheniere has a large LNG revenue base beneath the project buildout.","Revenue is not terminal or train-level cash return.",Revenue by terminal entity and contract type,Cheniere has company revenue evidence.
CFLNGPCWST-003,CFE2EGUQ-007,company-cash-baseline,capital-flow-cheniere-train-source-use-return-bridge-pass-1.csv,company-source-table,FY 2025,Distributable cash flow,5.29B USD,company-cash-proxy-visible,"The LNG platform generated substantial cash available for capital allocation.","DCF is not project EBITDA debt-service coverage or train-level cash return.",Entity cash-flow waterfall and debt-service schedule,Cheniere has company DCF evidence.
CFLNGPCWST-004,CFE2EGUQ-007,quarterly-cash-baseline,capital-flow-capital-intensive-energy-source-table-extraction-pass-1.csv,source-table-extracted,Q2 2026,Revenue consolidated adjusted EBITDA and DCF,5.73B USD revenue; 1.80B USD adjusted EBITDA; 1.17B USD DCF,company-cash-proxy-visible,"Q2 2026 has same-period revenue EBITDA and DCF beside train milestones and growth capital.","The cash metrics are consolidated and not attributable to Train 6 Train 7 SPL CQP or CCH.",Entity EBITDA DCF and debt-service bridge,Cheniere has same-period company cash proxy evidence.
CFLNGPCWST-005,CFE2EGUQ-007,physical-output,capital-flow-cheniere-train-source-use-return-bridge-pass-1.csv,company-source-table,FY 2025,Company-reported LNG cargoes,670 cargoes,output-visible,"Annual physical LNG output is visible from company reporting.","Cargo count is not train-level attribution or pricing proof.",Terminal/train cargo attribution and destination map,Cheniere has physical output evidence.
CFLNGPCWST-006,CFE2EGUQ-007,external-output-denominator,capital-flow-cheniere-train-source-use-return-bridge-pass-1.csv,external-government-denominator,FY 2025,DOE Sabine Pass plus Corpus Christi vessel rows,674 cargoes,external-output-denominator-visible,"DOE vessel rows closely reconcile to Cheniere's annual cargo count.","DOE vessel rows do not prove revenue recognition or train-level economics.",Cargo-level reconciliation by vessel date terminal destination and docket,Cheniere has external cargo denominator support.
CFLNGPCWST-007,CFE2EGUQ-007,external-output-denominator,capital-flow-capital-intensive-energy-project-denominator-pass-1.csv,external-government-denominator,Q2 2026,DOE vessel LNG export rows matching Cheniere reported cargoes,184 cargoes,external-output-denominator-visible,"This is the cleanest physical-output reconciliation: DOE rows equal Cheniere's Q2 2026 cargo disclosure.","It confirms cargo count only not margin SPA economics debt service or project return.",Cargo-level tanker/date reconciliation and train mapping,Cheniere has strong Q2 physical-output support.
CFLNGPCWST-008,CFE2EGUQ-007,physical-volume-denominator,capital-flow-capital-intensive-energy-project-denominator-pass-1.csv,external-government-denominator,Q2 2026,DOE Sabine Pass plus Corpus Christi vessel export volume,640991.63 MMCF,physical-volume-visible,"The cargo bridge has a physical volume denominator, not only vessel count.","MMCF is not a revenue or cash-flow measure without heat-content pricing and contract mapping.",TBtu-to-MMCF bridge and destination/customer schedule,Cheniere has physical volume support but not cash proof.
CFLNGPCWST-009,CFE2EGUQ-007,contracted-demand,capital-flow-cheniere-train-source-use-return-bridge-pass-1.csv,company-filing-extraction,FY 2025,Anticipated SPL/CCL production contracted under SPAs and IPM agreements,about 90%,customer-demand-visible,"Most anticipated SPL/CCL production is covered by long-term contract structures.","Contracted production share does not disclose full pricing credit support cancellation terms or train allocation.",SPA summaries customer concentration and take-or-pay/capacity-fee language,Cheniere has strong customer-demand evidence.
CFLNGPCWST-010,CFE2EGUQ-007,contracted-demand,capital-flow-cheniere-train-source-use-return-bridge-pass-1.csv,company-filing-extraction,FY 2025,Weighted-average remaining SPA/IPM life,about 15 years,duration-visible,"The demand signal is long-duration rather than spot-only.","Duration does not prove price level margin or debt-service coverage.",Customer contract schedule by entity and tenor,Cheniere has long-duration contract evidence.
CFLNGPCWST-011,CFE2EGUQ-007,named-customer-contract,capital-flow-cheniere-train-source-use-return-bridge-pass-1.csv,company-source-table,2026-2050,CPC Corporation Taiwan SPA,up to 1.2 mtpa,named-customer-visible,"A named long-term customer offtake row is visible.","The public evidence does not disclose full SPA economics or debt-coverage contribution.",SPA announcement contract summary customer credit support and entity assignment,Cheniere has named customer demand but not project cash proof.
CFLNGPCWST-012,CFE2EGUQ-007,construction-use,capital-flow-cheniere-train-source-use-return-bridge-pass-1.csv,company-source-table,FY 2025,CCL Stage 3 completion,94.1%,construction-progress-visible,"Corpus Christi Stage 3 was close to completion at year-end 2025.","Completion percentage does not prove remaining cost funding source or train-level return.",CCL Stage 3 cost-to-complete and in-service filings,Cheniere has construction progress evidence.
CFLNGPCWST-013,CFE2EGUQ-007,named-train-milestone,capital-flow-capital-intensive-energy-source-table-extraction-pass-1.csv,source-table-extracted,June 2026,Corpus Christi Stage 3 Midscale Train 6 substantial completion,complete,in-service-milestone-visible,"Train 6 crossed a named operating milestone during the Q2 2026 evidence period.","Substantial completion does not isolate Train 6 cargoes EBITDA cash receipts or debt service.",Train 6 completion certificate FERC status cargo attribution and commissioning revenue,Cheniere has named train milestone evidence.
