section_id,section,old_html_inputs,first_principles_point,money_path,company_examples,proof_needed,safe_use
ARDIGX-001,opening_frame,AI Cultural Disintermediation; AI Infrastructure Toll; Trust Market; Membership or Nothing,"Digital control is the business of deciding what online activity is allowed to happen. The internet made action cheap, so trust, identity, permission, routing, security, workflow, and governance became expensive.","digital activity -> control point -> subscription, usage, bookings, billings, service revenue, or transaction revenue -> renewal and collection -> cost-to-serve -> operating cash and free cash flow",Cloudflare; Akamai; Zscaler; Fortinet; Roblox; Okta; CrowdStrike; PayPal; Shopify; Microsoft; ServiceNow,retention; current RPO; deferred revenue; product margin; infrastructure cost; capex; stock compensation; renewal; safety cost; FCF,"Use as the core no-background framing for digital control, not as proof that every digital metric converts to cash."
ARDIGX-002,start_from_zero,Trust Market,"Start with a login. Before work, payment, play, upload, code, or AI action can happen, the system must decide whether the actor is real, safe, permitted, and properly routed.",user/device/bot/API/agent request -> identity and permission check -> allow/block/route/log decision -> value event -> billed service or transaction -> cash,Zscaler; Cloudflare; Fortinet; Akamai; Roblox; Okta; Microsoft,identity checks; policy enforcement; transaction approval; uptime; fraud/security outcomes; cash conversion,Use to explain why ordinary online actions depend on hidden control systems.
ARDIGX-003,security_permission_infrastructure,Trust Market,"Security is permission infrastructure. It decides who, what, and which machine action can access data, applications, networks, payments, and workflows.",distributed users/devices/data/apps/AI -> security policy/enforcement -> subscription/service/billings -> renewal and expansion -> cash if retention and cost hold,Zscaler; Fortinet; Cloudflare; Akamai; CrowdStrike; Palo Alto Networks; Okta; CyberArk; Cisco; Microsoft,gross retention; net retention; renewal rates; product attachment; security outcomes; margin; FCF,"Use to frame security as operating infrastructure, not only breach response."
ARDIGX-004,routing_product,AI Infrastructure Toll; Trust Market,"Routing is a product because digital experience fails if traffic is slow, unsafe, unavailable, expensive, or misdirected.",website/app/API/media/game/AI traffic -> edge network and routing/security layer -> contract or usage revenue -> bandwidth/compute/capex test -> FCF,Cloudflare; Akamai; Fastly; F5; Cisco; Arista; DigitalOcean; data-center and connectivity names,traffic quality; bandwidth cost; utilization; capex split; customer concentration; gross margin; FCF,Use to show that digital traffic needs route control before it becomes durable economics.
ARDIGX-005,identity_accountability,Trust Market; Membership or Nothing,"Identity turns online activity into accountable activity. Without identity, billing, fraud control, permissions, compliance, and platform governance break.",unknown actor -> identity check -> permission/payment/content/workflow decision -> account-level economics -> collection and retention,Okta; Microsoft; Zscaler; Cloudflare; PayPal; Visa; Mastercard; American Express; Shopify; Roblox,fraud losses; account quality; credential durability; customer churn; policy outcomes; payment conversion,"Use to connect identity to trust, not to claim every identity platform has durable pricing power."
ARDIGX-006,ai_control_multiplier,AI Cultural Disintermediation; AI Infrastructure Toll,"AI multiplies the control problem. Machine agents can act, route, buy, write, decide, and call APIs, so they need authorization, audit, security, and cost control.","AI agent/workflow -> policy, identity, data, runtime, route, and security control -> usage/subscription revenue -> infrastructure and support cost -> cash",Cloudflare; Zscaler; Akamai; Fortinet; Microsoft; ServiceNow; Salesforce; Shopify; American Express; NVIDIA; Oracle,AI product attachment; AI traffic monetization; usage margin; model/runtime cost; audit and safety evidence,"Use to say AI raises control demand, not that AI mentions prove monetization."
ARDIGX-007,infrastructure_cost_test,AI Infrastructure Toll,"Digital growth is only high quality if serving the growth is economical. Traffic, AI, security, gaming, and cloud demand all carry infrastructure, support, bandwidth, capex, and safety costs.",usage growth -> compute/bandwidth/support/safety/capex burden -> gross margin and OCF -> FCF if cost-to-serve is controlled,Cloudflare; Akamai; Zscaler; Fortinet; Roblox; DigitalOcean; Fastly; hyperscalers; data-center operators,cost-to-serve; infrastructure spend; capex; gross margin; support cost; stock compensation; FCF bridge,Use as the main boundary against treating digital growth as automatically asset-light.
ARDIGX-008,cloudflare_case,AI Infrastructure Toll; Trust Market,"Cloudflare shows the protected internet edge: traffic performance, application security, developer runtime, Zero Trust, and machine-traffic governance in one route.","enterprise/developer/application/security/AI traffic need -> Cloudflare edge/security/runtime contract -> revenue and RPO -> OCF -> FCF if infrastructure, capex, retention, and product attachment hold",Cloudflare,dollar-based net retention; current RPO dollars; deferred revenue; Workers/AI Gateway attachment; infrastructure cost; stock compensation; capex; FCF bridge,Use as a source-visible protected-edge case with cash-quality boundaries.
ARDIGX-009,akamai_case,AI Infrastructure Toll; Trust Market,Akamai shows the legacy edge transition: a mature delivery network trying to shift more value into security and distributed cloud infrastructure.,"legacy delivery customer base -> security, compute, and CIS contracts -> revenue and operating cash -> FCF if delivery decline, capex, utilization, and deployment economics hold",Akamai,delivery decline; security growth; CIS backlog; contract ramp; capex split; segment margin; customer concentration; FCF bridge,"Use as a transition case, not as proof that legacy delivery drag is solved."
ARDIGX-010,zscaler_case,Trust Market; AI Cultural Disintermediation,"Zscaler shows access policy as digital control: users, devices, workloads, apps, data, and AI agents need permission before work can happen.","distributed users/devices/workloads/apps/data/agents -> Zero Trust policy subscription -> ARR/RPO/deferred revenue -> OCF -> FCF if retention, hosting cost, integration, and competition hold",Zscaler,gross retention; net retention; billings; current RPO; deferred revenue aging; product ARR; GAAP loss bridge; stock compensation; hosting cost; FCF,Use as source-visible access-policy evidence with retention and cash boundaries.
