credit_pass_id,linked_rows,company,ticker,theme,subtheme,source_file,source_type,period,credit_metric,value,unit,calculation_or_source,credit_status,what_it_proves,what_it_does_not_prove,next_source
CICPF-001,"CIPFM-003; CIPFM-004",Energy Transfer LP,ET,Capital-intensive buildout,Revolver capacity and commercial paper bridge,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-10q.html,SEC 10-Q,Q2 2026,Five-Year Credit Facility maximum unsecured borrowing capacity,5.00,B USD,"10-Q debt footnote: unsecured borrowings up to 5.00B USD until April 11 2027 and up to 4.84B USD until April 11 2029",facility-terms-visible,"ET's main partnership revolver is a large unsecured funding backstop around the growth-capex program.","The facility terms do not prove that any named project was funded by revolver draws.","Full credit agreement, borrowing history, commercial paper table, covenant calculation."
CICPF-002,"CIPFM-003; CICPF-001",Energy Transfer LP,ET,Capital-intensive buildout,Revolver capacity and commercial paper bridge,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-10q.html,SEC 10-Q,Q2 2026,Five-Year Credit Facility accordion capacity,7.00,B USD,"10-Q debt footnote: total aggregate commitment may be increased up to 7.00B USD under certain conditions",accordion-capacity,"ET has potential facility expansion capacity beyond the stated borrowing limit.","Accordion language is conditional and is not committed project funding.","Credit agreement amendment history and lender commitment notices."
CICPF-003,"CIPFM-003; CIPFM-004",Energy Transfer LP,ET,Capital-intensive buildout,Revolver capacity and commercial paper bridge,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-10q.html,SEC 10-Q,Q2 2026,Outstanding Five-Year Credit Facility borrowings,1.21,B USD,"10-Q debt footnote: 1.21B USD outstanding borrowings at June 30 2026, including 1.12B USD commercial paper",draws-visible,"ET was actively using the facility/commercial-paper stack, not merely carrying an unused backup line.","Draws are not tagged to Nederland, Lone Star, y-grade, or other project costs.","Borrowing-use footnotes, cash-flow statement, and debt issuance proceeds schedule."
CICPF-004,"CIPFM-004",Energy Transfer LP,ET,Capital-intensive buildout,Debt refinancing and use of proceeds,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-10q.html,SEC 10-Q,January 2026,Senior notes issued in January 2026,3.00,B USD,"1.00B USD 4.55% due 2031 + 1.00B USD 5.35% due 2036 + 1.00B USD 6.30% due 2056",refinancing-use-visible,"ET issued long-dated notes and disclosed the proceeds were used to refinance existing indebtedness, including commercial paper and Five-Year Credit Facility borrowings.","This is refinancing proof, not growth-project source-of-funds proof.","Indentures, offering prospectus, debt maturity schedule, and use-of-proceeds detail."
CICPF-005,"CIPFM-004",Energy Transfer LP,ET,Capital-intensive buildout,Debt refinancing and use of proceeds,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-10q.html,SEC 10-Q,January 2026,Senior notes redeemed in January 2026,1.00,B USD,"10-Q debt footnote: redeemed 4.75% senior notes due January 2026 using cash on hand and commercial paper borrowings",maturity-management,"ET managed a near-term maturity with cash and commercial paper, reinforcing that liquidity management is central to the buildout story.","Redemption funding does not identify project returns or project-level leverage.","Commercial paper disclosures and cash-flow financing section."
CICPF-006,"CIPFM-009; CIPFM-010",Cheniere Energy Inc.,LNG,Capital-intensive buildout,Entity-level LNG debt stack,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-10q.html,SEC 10-Q,Q2 2026,SPL total debt,5.027,B USD,"10-Q debt table: total debt - SPL at June 30 2026",entity-debt-visible,"Cheniere's debt stack can be separated at least partly by entity, starting with SPL.","Entity debt still needs waterfall, collateral, restrictions, and train-level capex mapping.","SPL revolving credit facility agreement and secured-note indentures."
CICPF-007,"CIPFM-009; CIPFM-010",Cheniere Energy Inc.,LNG,Capital-intensive buildout,Entity-level LNG debt stack,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-10q.html,SEC 10-Q,Q2 2026,CQP total debt,9.550,B USD,"10-Q debt table: CQP senior notes total 9.550B USD at June 30 2026",entity-debt-visible,"CQP is the largest visible entity debt bucket in the extracted Cheniere stack.","CQP debt does not by itself assign funding to a particular train, terminal, or cargo stream.","CQP revolving credit facility, note indentures, and restricted-payment covenants."
CICPF-008,"CIPFM-009; CIPFM-010",Cheniere Energy Inc.,LNG,Capital-intensive buildout,Entity-level LNG debt stack,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-10q.html,SEC 10-Q,Q2 2026,CQP 2036 and 2056 notes issued by Q2 2026,1.750,B USD,"1.000B USD 5.350% CQP senior notes due 2036 + 0.750B USD 6.050% CQP senior notes due 2056",long-dated-capital,"Cheniere/CQP added long-dated debt capacity in the same buildout window as Stage 3 execution.","The row does not yet prove proceeds were used for a specific project tranche or equity/debt split.","CQP note offering documents and use-of-proceeds disclosure."
CICPF-009,"CIPFM-009",Cheniere Energy Inc.,LNG,Capital-intensive buildout,Parent/facility liquidity,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2025-10k.html,SEC 10-K,FY 2025,Available commitments under credit facilities,7.2,B USD,"FY2025 10-K extracted row CIEAB-031",facility-capacity,"Cheniere had substantial available commitments under credit facilities before the Q2 2026 growth-capex window.","Available commitments are not equivalent to draw use, project finance, or debt-service capacity.","Facility-by-facility commitments, maturity dates, and draw history."
CICPF-010,"CIPFM-006; CIPFM-007; CIPFM-009",Cheniere Energy Inc.,LNG,Capital-intensive buildout,Equity/debt funding split gap,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,H1 2026,Non-equity-funded share of H1 growth capital,75.2,percent,"1 - 520M USD equity-funded H1 growth capital / 2.1B USD H1 growth capital",funding-gap-quantified,"Cheniere gives enough detail to quantify the portion of growth capital not identified as equity-funded in the earnings release.","The non-equity-funded share may include debt, operating cash, project finance, timing differences, or definitions not resolved here.","Cash-flow statement, construction-in-progress schedule, and facility draw table."
CICPF-011,"CIPFM-011; CIPFM-012; CIPFM-013",United Rentals Inc.,URI,Capital-intensive buildout,Asset-backed fleet funding stack,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,SEC 10-Q,Q2 2026,Accounts receivable securitization facility balance,1.414,B USD,"10-Q debt table: accounts receivable securitization facility expiring 2027",asset-backed-funding,"URI's funding stack includes an explicit AR securitization facility, making asset-backed finance part of the fleet-access model.","The facility is receivables-backed and does not directly prove which fleet purchases it funded.","AR securitization agreement, collateral pool, advance rate, and collections data."
CICPF-012,"CIPFM-011; CIPFM-012; CIPFM-013",United Rentals Inc.,URI,Capital-intensive buildout,Asset-backed fleet funding stack,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,SEC 10-Q,Q2 2026,ABL facility balance,1.666,B USD,"10-Q debt table: 4.5B USD ABL facility expiring 2030 with 1.666B USD balance",abl-funding,"URI's fleet-capital model uses a secured ABL facility as a major funding layer.","The ABL balance is not mapped to asset classes, replacement fleet, growth fleet, or acquisition fleet.","ABL collateral schedule, borrowing base, availability, and draw history."
CICPF-013,"CIPFM-011; CIPFM-013",United Rentals Inc.,URI,Capital-intensive buildout,Term loan and note stack,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,SEC 10-Q,Q2 2026,Term loan facility balance,971,M USD,"10-Q debt table: term loan facility expiring 2031",secured-term-debt,"URI has term debt layered beneath operating cash flow, ABL, AR securitization, and senior notes.","The term loan does not identify funding of a specific rental fleet category.","Term loan agreement, amortization schedule, collateral package."
CICPF-014,"CIPFM-013",United Rentals Inc.,URI,Capital-intensive buildout,Term loan and note stack,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,SEC 10-Q,Q2 2026,Senior notes carrying amount,9.823,B USD,"10-Q fair-value/debt disclosure: senior notes carrying amount at June 30 2026",note-stack-context,"URI's funding structure is note-heavy as well as asset-backed, so fleet investment sits inside a broad corporate debt stack.","Carrying amount does not show covenant headroom, fleet collateral allocation, or use of proceeds.","Note indentures, maturity ladder, and restricted-payment baskets."
CICPF-015,"CIPFM-012; CIPFM-013",United Rentals Inc.,URI,Capital-intensive buildout,Liquidity versus secured facility size,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,Q2 2026,Total liquidity including ABL and AR securitization availability,2.999,B USD,"Earnings release: total liquidity includes cash plus availability under ABL facility and accounts receivable securitization facility",facility-capacity,"URI discloses liquidity using the same secured/asset-backed facilities that matter for fleet funding.","Total liquidity does not reveal borrowing base utilization or remaining collateral cushion.","ABL/AR facility availability schedules and collateral borrowing base."
CICPF-016,"CIPFM-015; CIPFM-017",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Term loan and revolver transition,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,SEC 10-Q,Q2 2026,Term Loan Facility balance at June 30 2026,285.000,M USD,"10-Q debt table: Term Loan Facility 285.000M USD at June 30 2026",debt-balance-visible,"Sterling still had a term-loan-led debt structure at quarter end before the July 2026 credit-agreement reset.","This does not show customer project funding or backlog quality.","Second amended credit agreement and payoff language."
CICPF-017,"CIPFM-015; CIPFM-017",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Term loan and revolver transition,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,SEC 10-Q,Q2 2026,Revolving Credit Facility borrowings at June 30 2026,0,M USD,"10-Q debt table: Revolving Credit Facility balance was zero at June 30 2026",unused-revolver-before-reset,"Sterling did not have revolver borrowings outstanding before the July facility expansion, so the pre-reset debt stack was mostly term loan.","Zero revolver borrowings do not prove customer-funded projects or lack of working-capital pressure.","Working-capital bridge, contract assets/liabilities, and July facility draw detail."
CICPF-018,"CIPFM-016; CIPFM-017",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Expanded revolving credit facility,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,SEC 10-Q,July 2026,Second amended revolving credit facility capacity,1.5,B USD,"10-Q subsequent-event debt note: Amended Credit Agreement initially provides revolving borrowings up to 1.5B USD",facility-reset,"Sterling replaced the smaller term-loan/revolver structure with a much larger revolving-credit platform maturing July 2031.","The facility reset is company liquidity, not proof that customer data-center or mission-critical projects are financed.","Filed credit agreement exhibit, pricing grid, covenants, guarantees, and use-of-proceeds."
CICPF-019,"CIPFM-016; CIPFM-017",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Expanded revolving credit facility,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,SEC 10-Q,July 2026,Revolver capacity increase versus FY2025 revolver,10.0,x,"1.5B USD July 2026 revolver / 150M USD FY2025 revolving credit facility aggregate principal capacity",facility-scale-change,"Sterling's available company funding platform expanded by an order of magnitude after scaling through CEC and Stone Ridge.","A larger revolver can support operations and acquisitions, but it does not validate the funding source for each backlog dollar.","Credit agreement exhibit and acquisition/source-of-funds disclosures."
CICPF-020,"CIPFM-019; CIPFM-020",Capital-intensive priority set,ET/LNG/URI/STRL,Capital-intensive buildout,Credit proof governance,compiled credit-stack extraction,SEC 10-Q 10-K and 8-K exhibits,2025-Q2 2026,Credit-stack proof status,first-pass,classification,"ET has refinancing/use-of-proceeds and revolver/commercial-paper evidence; Cheniere has entity-level debt and equity-funded growth-capex split; URI has ABL/AR securitization/term loan/senior-note stack; Sterling has term-loan-to-large-revolver transition.",credit-stack-visible,"The lane now has credit-stack evidence, not only cash-generation and capex evidence.","This still does not prove project-level source-of-funds, return, customer funding, covenant headroom, collateral adequacy, or train/fleet/backlog allocation.","Credit agreements, indentures, borrowing-base certificates, rating reports, project-finance waterfalls, FERC/project files, customer funding documents."
