claim_id,company,manager,vehicle,period,industry,borrower,business_description,investment_type,principal_or_shares,amortized_cost_usd_m,fair_value_usd_m,source_file,source_table_index,status
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,ACP Avenu Midco LLC (13),Provider of technology solutions and hardware to U.S. state and local governments and motor vehicle agencies,First lien senior secured revolving loan,0.9,0.9,0.9,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,ACP Avenu Midco LLC (13),Provider of technology solutions and hardware to U.S. state and local governments and motor vehicle agencies,First lien senior secured loan,3.6,3.5,3.6,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,ACP Avenu Midco LLC (13),Provider of technology solutions and hardware to U.S. state and local governments and motor vehicle agencies,First lien senior secured loan,13.1,13.0,13.1,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Actfy Buyer, Inc. (13)",Software provider of end to end fraud management workflow solutions,First lien senior secured loan,2.1,2.1,2.1,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP (13)","Provider of software services that support the management and security of computing devices, applications, data, and networks",First lien senior secured loan,6.8,6.8,6.8,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP (13)","Provider of software services that support the management and security of computing devices, applications, data, and networks",First lien senior secured loan,41.9,41.9,41.9,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP (13)","Provider of software services that support the management and security of computing devices, applications, data, and networks",Limited partnership interest,9249000.0,10.3,13.2,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,Adonis Bidco Inc. (13),Provider of intellectual property management lifecycle software,First lien senior secured loan,30.0,30.0,28.5,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,Adonis Bidco Inc. (13),Provider of intellectual property management lifecycle software,First lien senior secured loan,238.6,238.6,226.7,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"AI Titan Parent, Inc. (13)",Provider of plant maintenance / scheduling software,First lien senior secured loan,7.3,7.3,7.2,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Anaplan, Inc. (13)",Provider of cloud-based connected planning platforms for business analytics,First lien senior secured loan,5.8,5.8,5.7,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)",Aircraft performance software provider,Class A membership units,9.8,3.6,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Apple Bidco Holdings, Inc. (13)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured revolving loan,2.7,2.7,2.6,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Apple Bidco Holdings, Inc. (13)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured loan,53.2,53.2,51.6,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc. (13)","Software platform for identification, prevention and management of substance use disorder",First lien senior secured loan,2.8,2.8,2.8,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Aptean, Inc. and Aptean Acquiror Inc. (13)","Provider of CRM, ERP and supply chain software application",First lien senior secured revolving loan,0.1,0.1,0.1,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Aptean, Inc. and Aptean Acquiror Inc. (13)","Provider of CRM, ERP and supply chain software application",First lien senior secured loan,19.9,19.8,19.7,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,9,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Archduke Buyer, Inc. (13)",Developer and operator of Java runtime solutions for enterprises applications,First lien senior secured loan,61.0,61.0,60.4,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Arrow Borrower 2025, Inc. (13)",Provider of accounts payable automation software and payment solutions,First lien senior secured loan,28.3,28.3,28.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Artifact Bidco, Inc. (13)",Supply chain risk management SaaS platform for global enterprise clients,First lien senior secured loan,6.8,6.8,6.8,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,Aston Bidco (Holding) Limited,Provider of enterprise software solutions,First lien senior secured loan,108.5,108.2,108.5,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Auctane, Inc.",Provider of mailing and shipping solutions,First lien senior secured loan,245.3,245.3,241.6,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Banyan Software Holdings, LLC and Banyan Software Intermediate, Inc. (13)(14)",Vertical software businesses holding company,First lien senior secured revolving loan,1.5,1.5,1.5,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Banyan Software Holdings, LLC and Banyan Software Intermediate, Inc. (13)(14)",Vertical software businesses holding company,First lien senior secured loan,140.5,140.5,140.5,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
