front_door_id,section,plain_question,answer,primary_artifact,supporting_artifacts,current_state,next_action,boundary,status
ARFPFD-001,project_goal,What were we trying to do?,"Use the 519-company annual-report folder to map what the economy needs, who sits near those needs, how companies get paid, how money moves, and what proof exists.",annual-report-integrated-meaty-end-to-end-goal-pass-1.md,annual-report-broad-theme-end-to-end-goal-pass-1.md; capital-flow-big-picture-meaty-end-to-end-goal-pass-1.md,Goal integrated,Use as project front door,Not primary evidence.,ready
ARFPFD-002,main_article,What is the main output?,A no-background reader-facing article explaining annual reports as maps of economic pressure.,annual-report-integrated-final-publication-draft-pass-1.md,annual-report-integrated-final-reader-edit-pass-1.md; annual-report-integrated-final-public-formatting-pass-1.md,Release-candidate draft exists,Use as main writing base,Not external publication until venue citation style is chosen.,ready
ARFPFD-003,theme_map,What themes did we find?,"Fifteen themes across power, capital, industry, healthcare, buildings, digital control, value retail, services, consumer goods, materials, real estate, broad technology, energy, ordinary finance, and labor.",annual-report-final-integrated-theme-map-pass-1.md,annual-report-all-sector-theme-expansion-pass-1.md; annual-report-undercovered-industry-theme-synthesis-pass-1.md,Theme breadth complete,Stop broadening unless scope changes,Theme coverage is not company-by-company proof.,ready
ARFPFD-012,big_findings_takeaways,What did we actually learn in simple words?,"The economy pays companies that can turn pressure into working systems; the page lays out 12 findings with plain meanings, money paths, company examples, and proof boundaries.",annual-report-big-findings-takeaways-pass-1.md,annual-report-what-else-theme-map-pass-1.md; annual-report-reader-facing-essay-pass-1.md; annual-report-final-theme-synthesis-package-pass-1.md,Plain-English takeaway layer complete,Use this before the detailed article when a reader wants the conclusion first,Synthesis only; exact money-movement proof remains separate.,ready
ARFPFD-004,source_state,Do the article claims have source support?,All 15 themes plus the proof rule have representative source anchors and the release link check opened 58 of 58 unique URLs.,annual-report-integrated-release-link-check-pass-1.md,annual-report-integrated-priority1-citation-attachment-pass-1.md; annual-report-integrated-priority2-citation-attachment-pass-1.md; annual-report-integrated-priority3-citation-attachment-pass-1.md,Section-anchor cited and link-clean,Recheck links before external publication,Source anchors are not full sentence-level footnotes.,ready
ARFPFD-005,money_movement,What did we learn about money movement?,"Money moves from savers, policyholders, deposits, institutions, wealth clients, debt buyers, banks, BDC investors, customers, and operating cash through legal wrappers into borrowers, projects, assets, collateral pools, utility programs, infrastructure, and companies.",capital-flow-big-picture-meaty-end-to-end-goal-pass-1.md,capital-flow-big-money-named-cash-end-to-end-goal-pass-1.md; capital-flow-big-money-player-map-pass-1.md,Map and several bridge cases exist,Keep proof levels explicit,Money-route evidence is not automatically cash-return proof.,ready
ARFPFD-006,cash_proof,Do we have full named cash proof?,"Not yet across the major cases; the work has strong proxies and holds but still needs receipts, billing, settlement ledgers, debt waterfalls, legal-entity schedules, collateral certificates, borrower cash records, and return models.",capital-flow-named-cash-proof-execution-status-matrix-pass-1.md,capital-flow-cash-realization-proof-ladder-pass-1.md; capital-flow-big-money-platform-source-acquisition-queue-pass-1.md,Named-cash proof remains open,Choose one proof case if exact money movement is required,Do not let this block the broad article unless exact cash-return claims are added.,open
ARFPFD-007,ready_to_write,Can we start writing detailed themes and subthemes?,"Yes. The broad synthesis has enough structure, theme breadth, source anchors, and overclaim controls to support detailed theme/subtheme writing.",annual-report-integrated-final-publication-draft-pass-1.md,annual-report-final-project-front-door-pass-1.md; annual-report-integrated-article-final-handoff-checklist-pass-1.md,Ready for theme writing,Write from the integrated draft and theme map,Do not add unsupported exact cash claims.,ready
ARFPFD-008,remaining_work,What remains?,"Venue-specific citation formatting, final pre-release link recheck, optional sentence-level footnotes, and optional named-cash proof appendix.",annual-report-integrated-article-final-handoff-checklist-pass-1.md,annual-report-integrated-final-citation-readiness-audit-pass-1.md; annual-report-integrated-sentence-metric-audit-pass-1.md,Narrow remaining work,Pick publication path or proof path,No broad restart needed.,current
ARFPFD-009,next_fork,What should happen next?,Either write detailed themes from the integrated article or pick one named cash proof case and chase decisive documents.,annual-report-final-project-front-door-pass-1.md,annual-report-integrated-meaty-end-to-end-goal-pass-1.md,Fork defined,Choose writing path by default,Exact proof path is narrower and slower.,ready
ARFPFD-010,decision,What is the stop point?,The broad annual-report synthesis is wrapped enough to use; named cash proof should be treated as a targeted follow-on lane.,annual-report-final-project-front-door-pass-1.md,annual-report-integrated-release-link-check-pass-1.md; annual-report-integrated-article-final-handoff-checklist-pass-1.md,Project front door ready,Use this page as the summary entry point,Does not claim external publication is complete.,ready
ARFPFD-011,prior_html_integration,What about the older HTML annual-report trend site?,It is now treated as prior thematic evidence and mapped into the newer 15-theme framework through a 20-row crosswalk. The old site is sharper on cultural and societal dynamics; the newer framework is stronger on proof boundaries and money movement.,annual-report-html-trend-crosswalk-pass-1.md,site/trends/index.html; annual-report-linked-reading-hub-pass-1.md; annual-report-what-else-theme-map-pass-1.md,Prior HTML site integrated into navigation and synthesis,Use the crosswalk when expanding underdeveloped theme pages or writing final subthemes,The crosswalk is synthesis. It does not turn every old HTML trend into named cash proof.,ready
ARFPFD-013,next_evidence_work,How do we turn the prior HTML insights into deeper theme pages?,"Use the HTML integration workbench. It lists 12 target themes, the older HTML dynamics each should absorb, the company examples to pull next, the proof fields needed, and the exact money movement each theme still needs to explain.",annual-report-html-integration-workbench-pass-1.md,annual-report-html-trend-crosswalk-pass-1.md; annual-report-theme-evidence-depth-scorecard-pass-1.md; site/trends/index.html,Expansion workbench ready,Use the workbench to create deeper standalone theme expansions for the weaker themes first.,"The workbench is an execution plan and synthesis bridge, not completed extraction or named-cash proof.",ready
