"status_id","proof_id","pilot_id","company","proof_task","priority","metric_rows_supporting","best_current_evidence","current_status","promotion_level","why_not_full_pass","next_required_evidence","safe_claim"
"CFPGS-001","CFPGU-001","CF519P2-010","ONEOK, Inc.","growth versus maintenance capex by project","1","CFPGM-001; CFPGM-002; CFPGM-003; CFPGM-004; CFPGM2-001; CFPGM2-002; CFPGM2-003","aggregate capex, maintenance capital, segment capex, financial-table PDF route","partial","segment-capex-visible","No named project capex, remaining spend, in-service date, or return by asset.","Project-level capex and contribution for Denver expansion or other named projects.","ONEOK capex is source-table and segment visible, not project-return visible."
"CFPGS-002","CFPGU-002","CF519P2-010","ONEOK, Inc.","throughput by segment and project","1","CFPGM-005; CFPGM-006; CFPGM-007; CFPGM-008; CFPGM2-004; CFPGM2-005; CFPGM2-006; CFPGM2-007","absolute refined-products volume, segment EBITDA, Denver expansion cue, data-center demand cue","partial","output-denominator-visible","Absolute denominator exists for refined products, but not full project throughput/utilization or tariff economics.","NGL/gas/refined-products volume tables by segment plus project utilization and tariff/customer support.","ONEOK has output-denominator evidence, not project-utilization proof."
"CFPGS-003","CFPGU-003","CF519P2-010","ONEOK, Inc.","incremental EBITDA or synergy by acquisition/project","2","","No direct extraction yet beyond segment EBITDA and project contribution cue.","not attempted","not promoted","No specific project or acquisition contribution row is extracted.","Project/acquisition EBITDA contribution, synergy capture, or optimization bridge.","ONEOK cash generation remains segment/company proxy evidence."
"CFPGS-004","CFPGU-004","CF519P2-010","ONEOK, Inc.","contract/tariff/customer support for major assets","2","","No direct extraction yet beyond demand-pipeline cue.","not attempted","not promoted","No tariff, contract, minimum-volume, customer, or renewal-risk table has been extracted.","10-K commercial sections, FERC/tariff records, and customer/contract disclosures.","ONEOK network scale is visible, contract quality is not."
"CFPGS-005","CFPGU-005","CF519P2-011","MasTec, Inc.","backlog by segment and funded status","1","CFPGM-009; CFPGM-010; CFPGM-011; CFPGM2-012","total backlog plus CE&I and Power Delivery backlog, confirmed segment taxonomy","partial","backlog-segment-visible","Segment backlog is visible, but funded status, cancellation terms, customer concentration, and project margin remain missing.","10-Q backlog definition, customer concentration, and contract-status detail by segment.","MasTec has backlog segmentation, not funded-backlog proof."
"CFPGS-006","CFPGU-006","CF519P2-011","MasTec, Inc.","segment margin and conversion quality","1","CFPGM-012; CFPGM-013; CFPGM2-008; CFPGM2-009; CFPGM2-010; CFPGM2-011; CFPGM2-012","revenue, adjusted EBITDA, DSO, operating cash flow, capex, contract liabilities, debt, segment taxonomy","partial","cash-conversion-and-capital-stack-visible","Cash and balance-sheet metrics exist, but segment margin and backlog-to-cash conversion are not yet normalized.","Segment revenue/EBITDA table, contract asset/liability roll-forward, and backlog conversion by segment.","MasTec has cash/capital-stack support, not segment return proof."
"CFPGS-007","CFPGU-007","CF519P2-011","MasTec, Inc.","working-capital drag and retainage collection","2","CFPGM2-008; CFPGM2-009; CFPGM2-010","operating cash flow, capex, contract liabilities","partial","customer-funding-proxy-visible","Contract liabilities are visible, but contract assets, retainage, DSO roll-forward, and segment matching are missing.","Contract assets/liabilities note, retainage data, DSO definition, and cash conversion bridge.","MasTec has customer-funding proxy evidence, not retained-cash proof."
"CFPGS-008","CFPGU-008","CF519P2-011","MasTec, Inc.","project execution risk and fixed-price exposure","2","","No direct risk-factor or contract-type extraction yet.","not attempted","not promoted","No fixed-price exposure, claims, change-order, delay, or customer-concentration table is extracted.","10-Q and 10-K risk factors, contract type disclosure, and commitments/contingencies.","MasTec execution risk remains a known boundary."
"CFPGS-009","CFPGU-009","CF519P2-012","Plains All American Pipeline, L.P.","Cactus III capex and project economics","1","CFPGM-014; CFPGM-015; CFPGM-016","growth capex, Cactus III capacity expansion, Cactus III synergy target","partial","project-output-visible","Cactus III capacity and synergy are visible, but capex, funding source, and return by project are not.","Cactus III capex, contribution, in-service, funding, and actual synergy realization.","Plains has Cactus III output evidence, not project-return evidence."
"CFPGS-010","CFPGU-010","CF519P2-012","Plains All American Pipeline, L.P.","shipper contracts and tariff support","1","CFPGM-017; CFPGPM-001; CFPGPM-002; CFPGPM-003; CFPGPM-004; CFPGPM-005; CFPGPM-006; CFPGPM-008","exact Texas RRC tariff record and broader SEC long-haul commitment context now visible; shipper identity and committed volume still missing","partial","state-tariff-rate-visible","The RRC tariff proves one Cactus III-linked route/rate and term-agreement mechanic, but not shipper commitment, contract duration, committed volume, or realized revenue.","Executed transportation agreements, open-season result, committed/uncommitted tariff distinction, and realized volume/rate evidence.","Plains has Cactus III-linked tariff-rate evidence, not committed-shipper or project-return proof."
"CFPGS-011","CFPGU-011","CF519P2-012","Plains All American Pipeline, L.P.","sale proceeds and debt maturity after divestiture","2","","No direct debt-maturity extraction yet beyond earlier debt-reduction summary.","not attempted","not promoted","Debt reduction is visible in prior extraction, but maturity/interest/proceeds reconciliation is not extracted.","Q2 2026 debt footnote, sale-proceeds allocation, maturity retired, and interest savings.","Plains capital-stack repair remains proxy evidence."
