"extraction_id","company","ticker","period","field","value","unit","source_anchor","what_it_proves","boundary","claim_status"
"ARCIGHA-001","The Cigna Group","CI","FY2025","total revenue growth","11","percent","healthcare/managed-health-care/the-cigna-group/company-analysis.md; extracted/healthcare/managed-health-care/the-cigna-group/company-packet.md","The benefits and pharmacy-services platform grew at large scale.","Revenue growth does not prove patient affordability, access quality, or clean cash conversion.","revenue-growth-visible"
"ARCIGHA-002","The Cigna Group","CI","FY2025","total revenues","274.9","B USD","healthcare/managed-health-care/the-cigna-group/company-analysis.md; extracted/healthcare/managed-health-care/the-cigna-group/company-packet.md","Cigna routes a very large volume of healthcare and pharmacy spending.","Large revenue does not prove transparent pharmacy economics or member trust.","healthcare-routing-scale-visible"
"ARCIGHA-003","The Cigna Group","CI","FY2025","shareholders' net income","6.0","B USD","extracted/healthcare/managed-health-care/the-cigna-group/company-packet.md","GAAP profitability was visible.","Net income does not prove patient outcomes or segment-level cash quality.","gaap-profit-visible-with-boundary"
"ARCIGHA-004","The Cigna Group","CI","FY2025","adjusted income from operations","8.0","B USD","healthcare/managed-health-care/the-cigna-group/company-analysis.md; extracted/healthcare/managed-health-care/the-cigna-group/company-packet.md","Operating earnings scale was visible after adjustments.","Adjusted operating income can exclude costs and does not prove access fairness.","adjusted-operating-income-visible"
"ARCIGHA-005","The Cigna Group","CI","FY2025","adjusted income per share","29.84","USD","healthcare/managed-health-care/the-cigna-group/company-analysis.md; extracted/healthcare/managed-health-care/the-cigna-group/company-packet.md","Per-share adjusted operating income was strong.","Per-share adjusted income does not prove medical-cost or pharmacy-pricing durability.","adjusted-per-share-income-visible-with-boundary"
"ARCIGHA-006","The Cigna Group","CI","Q4 2025","total revenues","72.472","B USD","extracted/healthcare/managed-health-care/the-cigna-group/company-packet.md","The year ended with a large quarterly revenue base.","Quarterly revenue does not show claims quality, retention, or cash collection by itself.","quarterly-revenue-visible"
"ARCIGHA-007","The Cigna Group","CI","Q4 2025","adjusted income from operations","2.148","B USD","extracted/healthcare/managed-health-care/the-cigna-group/company-packet.md","Adjusted operating income was above 2B USD in Q4.","Adjusted income does not prove patient affordability or pharmacy transparency.","quarterly-adjusted-income-visible-with-boundary"
"ARCIGHA-008","The Cigna Group","CI","Q1 2026","total revenues","68.494","B USD","extracted/healthcare/managed-health-care/the-cigna-group/company-packet.md","The platform maintained very large revenue early in 2026.","Revenue durability still depends on underwriting, client retention, drug-pricing rules, and medical costs.","q1-revenue-visible"
"ARCIGHA-009","The Cigna Group","CI","Q1 2026","adjusted income from operations","2.058","B USD","extracted/healthcare/managed-health-care/the-cigna-group/company-packet.md","Adjusted operating income remained above 2B USD.","One quarter of adjusted income does not prove durable payer or pharmacy economics.","q1-adjusted-income-visible-with-boundary"
"ARCIGHA-010","The Cigna Group","CI","Q1 2026","debt-to-capitalization ratio","42.3","percent","extracted/healthcare/managed-health-care/the-cigna-group/company-packet.md","Balance-sheet leverage context was visible.","Debt-to-capitalization does not prove cash conversion or claim-payment quality.","leverage-context-visible"
"ARCIGHA-011","The Cigna Group","CI","Q2 2026","total revenues","71.668","B USD","healthcare/managed-health-care/the-cigna-group/company-analysis.md; extracted/healthcare/managed-health-care/the-cigna-group/company-packet.md","Current-quarter revenue remained large.","Current-quarter revenue does not prove member experience, outcomes, or pharmacy affordability.","q2-revenue-visible"
"ARCIGHA-012","The Cigna Group","CI","Q2 2026 / 2026 outlook","adjusted income from operations and outlook","2.054B / at least 30.45 per share","B USD / USD","healthcare/managed-health-care/the-cigna-group/company-analysis.md; extracted/healthcare/managed-health-care/the-cigna-group/company-packet.md","Quarterly earnings and raised full-year outlook were visible.","Guidance is not proof that PBM scrutiny, medical cost, client retention, or drug pricing pressure cannot weaken the model.","q2-income-and-guidance-visible-with-boundary"
