match_row_id,cusip,identifier_quality,match_status,year_end_holding_rows,disposal_rows,holding_schedule_sections,disposal_schedule_parts,issuer_or_description_sample,year_end_book_value_usd,year_end_fair_value_usd,year_end_interest_income_usd,year_end_interest_received_usd,disposal_consideration_usd,disposal_book_value_at_disposal_usd,disposal_realized_gain_loss_usd,disposal_interest_or_dividends_received_usd,first_disposal_date,last_disposal_date,top_purchaser_or_disposition_type,cash_back_signal,proof_use,boundary,next_action
CFAASCBCM-00001,000000-00-0,placeholder-identifier-hold,holding-and-disposal-same-cusip-visible,481,309,Schedule D Part 1 Section 1; Schedule D Part 1 Section 2,Schedule D Part 4; Schedule D Part 5,Deutsche Bank AG Senior Non Preferred,9872622874.000000,9888389316.000000,406123354.000000,5193997352.000000,4555868262.000000,4642912139.000000,-1873.000000,683940700.000000,01/01/2025,12/31/2025,Paydown,disposal-consideration; interest-or-dividend-cash; same-cusip-year-end-and-disposal-bridge,same-CUSIP cash-back candidate for row-level reconciliation and return testing,"same CUSIP appears in both year-end holdings and disposal/proceeds output, but lot-level continuity, subtotal treatment, income allocation, liability cost, borrower receipt, and return are not proven","inspect lot-level dates and numeric columns, then reconcile consideration, book value, gain/loss, and interest fields"
CFAASCBCM-00002,00002N-AC-1,standard-cusip-like,holding-and-disposal-same-cusip-visible,1,1,Schedule D Part 1 Section 2,Schedule D Part 4,A&D Mortgage Trust 2024-NQM2 ADMT 2024-NQM2 A3,2715720.000000,2745057.000000,137769.000000,1526759.000000,704597.000000,-5284.000000,0.000000,18323.000000,12/01/2025,12/01/2025,"Paydown 704,597 704,597 709,881 (",disposal-consideration; interest-or-dividend-cash; same-cusip-year-end-and-disposal-bridge,same-CUSIP cash-back candidate for row-level reconciliation and return testing,"same CUSIP appears in both year-end holdings and disposal/proceeds output, but lot-level continuity, subtotal treatment, income allocation, liability cost, borrower receipt, and return are not proven","inspect lot-level dates and numeric columns, then reconcile consideration, book value, gain/loss, and interest fields"
CFAASCBCM-00003,00003#-AD-5,statutory-private-or-marker-cusip,disposal-only-cusip-visible,0,1,,Schedule D Part 4,A&E Television Networks LLC SR NTS SER D 3.980% 08/22/27,0.000000,0.000000,0.000000,0.000000,4930600.000000,5000000.000000,0.000000,255383.000000,11/14/2025,11/14/2025,"Apollo Global Securities, LLC",disposal-consideration; interest-or-dividend-cash,named disposal/proceeds candidate; no year-end holding row expected or found in current parser,disposed asset may not remain in year-end Schedule D holdings; absence from year-end holdings is not a parser failure by itself,"classify disposition type and test whether the CUSIP was fully sold, matured, paid down, or appears under a corrected identifier"
CFAASCBCM-00004,000249-AA-0,standard-cusip-like,disposal-only-cusip-visible,0,1,,Schedule D Part 4,AA MMF 1 LTD AA 5.804% 10/08/51,0.000000,0.000000,0.000000,0.000000,222810000.000000,-5985.000000,0.000000,13358310.000000,09/30/2025,09/30/2025,Paydown,disposal-consideration; interest-or-dividend-cash,named disposal/proceeds candidate; no year-end holding row expected or found in current parser,disposed asset may not remain in year-end Schedule D holdings; absence from year-end holdings is not a parser failure by itself,"classify disposition type and test whether the CUSIP was fully sold, matured, paid down, or appears under a corrected identifier"
CFAASCBCM-00005,000249-AB-8,standard-cusip-like,disposal-only-cusip-visible,0,2,,Schedule D Part 4; Schedule D Part 5,AA MMF 1 LTD AA 8.104% 10/08/51,0.000000,0.000000,0.000000,0.000000,67115611.000000,33623950.000000,0.000000,2480721.000000,08/12/2025,08/12/2025,Various,disposal-consideration; interest-or-dividend-cash,named disposal/proceeds candidate; no year-end holding row expected or found in current parser,disposed asset may not remain in year-end Schedule D holdings; absence from year-end holdings is not a parser failure by itself,"classify disposition type and test whether the CUSIP was fully sold, matured, paid down, or appears under a corrected identifier"
CFAASCBCM-00006,000249-AC-6,standard-cusip-like,disposal-only-cusip-visible,0,2,,Schedule D Part 4; Schedule D Part 5,AA MMF 1 LTD AA 11.854% 10/08/51,0.000000,0.000000,0.000000,0.000000,35473830.000000,17598187.000000,0.000000,1870194.000000,08/12/2025,08/12/2025,Various,disposal-consideration; interest-or-dividend-cash,named disposal/proceeds candidate; no year-end holding row expected or found in current parser,disposed asset may not remain in year-end Schedule D holdings; absence from year-end holdings is not a parser failure by itself,"classify disposition type and test whether the CUSIP was fully sold, matured, paid down, or appears under a corrected identifier"
CFAASCBCM-00007,000249-AD-4,standard-cusip-like,disposal-only-cusip-visible,0,2,,Schedule D Part 4; Schedule D Part 5,AA MMF 1 LTD AA 13.104% 10/08/51,0.000000,0.000000,0.000000,0.000000,33117447.000000,16646208.000000,0.000000,1936312.000000,08/12/2025,08/12/2025,Various,disposal-consideration; interest-or-dividend-cash,named disposal/proceeds candidate; no year-end holding row expected or found in current parser,disposed asset may not remain in year-end Schedule D holdings; absence from year-end holdings is not a parser failure by itself,"classify disposition type and test whether the CUSIP was fully sold, matured, paid down, or appears under a corrected identifier"
CFAASCBCM-00008,00024D-AA-1,standard-cusip-like,year-end-holding-only-cusip-visible,1,0,Schedule D Part 1 Section 2,,AA Infrastructure Fund 2 LLC AAIF 2024-1A A1,463250000.000000,463713250.000000,38861031.000000,512562.000000,0.000000,0.000000,0.000000,0.000000,,,,interest-or-dividend-cash,"year-end holding candidate for future income, maturity, or later-period proceeds matching","year-end holding row has no current disposal/proceeds match; it may still have income, maturity, credit-quality, or later-period cash evidence","join to page 18 income categories, later disposal rows, credit-quality migration, and liability-cost spread support"
CFAASCBCM-00009,00024D-AC-7,standard-cusip-like,holding-and-disposal-same-cusip-visible,1,1,Schedule D Part 1 Section 2,Schedule D Part 4,AA Infrastructure Fund 2 LLC AAIF 2024-1A A2,62475000.000000,62537475.000000,5485064.000000,13131036.000000,26606532.000000,26775000.000000,0.000000,1617563.000000,05/15/2025,05/15/2025,AEL FWH AAM,disposal-consideration; interest-or-dividend-cash; same-cusip-year-end-and-disposal-bridge,same-CUSIP cash-back candidate for row-level reconciliation and return testing,"same CUSIP appears in both year-end holdings and disposal/proceeds output, but lot-level continuity, subtotal treatment, income allocation, liability cost, borrower receipt, and return are not proven","inspect lot-level dates and numeric columns, then reconcile consideration, book value, gain/loss, and interest fields"
CFAASCBCM-00010,00024D-AE-3,standard-cusip-like,year-end-holding-only-cusip-visible,1,0,Schedule D Part 1 Section 2,,AA Infrastructure Fund 2 LLC AAIF 2024-1A B,51000000.000000,51051000.000000,4942695.000000,4361658.000000,0.000000,0.000000,0.000000,0.000000,,,,interest-or-dividend-cash,"year-end holding candidate for future income, maturity, or later-period proceeds matching","year-end holding row has no current disposal/proceeds match; it may still have income, maturity, credit-quality, or later-period cash evidence","join to page 18 income categories, later disposal rows, credit-quality migration, and liability-cost spread support"
