diagnostic_id,diagnostic_type,schedule_scope,parser_metric,parser_value,statutory_reference_metric,statutory_reference_value,difference_value,coverage_ratio,current_status,proof_use,boundary,next_action
CFAASDRD-001,book-value-reconciliation,Schedule D Part 1 Section 1,parser_book_adjusted_carrying_value_sum_usd,85158422267.000000,issuer_credit_obligations_book_adjusted_carrying_value,85388493720.000000,-230071453.000000,0.997306,not-reconciled,quantifies parser gap against statutory Schedule D bucket,positional parser book-value fields do not yet reconcile to statutory verification totals,improve row boundary and numeric-column assignment then rerun reconciliation
CFAASDRD-002,book-value-reconciliation,Schedule D Part 1 Section 2,parser_book_adjusted_carrying_value_sum_usd,73460673438.000000,asset_backed_securities_book_adjusted_carrying_value,73463901477.000000,-3228039.000000,0.999956,not-reconciled,quantifies parser gap against statutory Schedule D bucket,positional parser book-value fields do not yet reconcile to statutory verification totals,improve row boundary and numeric-column assignment then rerun reconciliation
CFAASDRD-003,book-value-reconciliation,Schedule D Part 1 Section 1 plus Section 2,combined_parser_book_adjusted_carrying_value_sum_usd,158619095705.000000,total_bonds_book_adjusted_carrying_value,158852395201.000000,-233299496.000000,0.998531,not-reconciled,tests whether parsed issuer-credit plus ABS rows approach the total Schedule D bond base,Schedule D also contains other sections and parser positional fields remain unreconciled,add remaining Schedule D sections or reconcile Section 1 and Section 2 before total comparison use
CFAASDRD-004,row-count,Schedule D Part 1 Section 1,parser_row_count,3418,located_page_range,range-located,,,row-population-visible,confirms full located range generated row population,row count alone does not prove complete statutory population,compare page-level row counts against PDF table breaks and subtotal pages
CFAASDRD-005,row-count,Schedule D Part 1 Section 2,parser_row_count,5230,located_page_range,range-located,,,row-population-visible,confirms full located range generated row population,row count alone does not prove complete statutory population,compare page-level row counts against PDF table breaks and subtotal pages
CFAASDRD-006,field-coverage,Schedule D Part 1 Section 1 plus Section 2,rows_with_naic_designation,8495,parser_rows,8648,-153,0.982308,coverage-measured,shows which fields are populated enough for the next reconciliation pass,coverage does not prove field accuracy because dense PDF columns may be positionally shifted,sample inspect missing and high-gap rows before final accounting use
CFAASDRD-007,field-coverage,Schedule D Part 1 Section 1 plus Section 2,rows_with_actual_cost,8498,parser_rows,8648,-150,0.982655,coverage-measured,shows which fields are populated enough for the next reconciliation pass,coverage does not prove field accuracy because dense PDF columns may be positionally shifted,sample inspect missing and high-gap rows before final accounting use
CFAASDRD-008,field-coverage,Schedule D Part 1 Section 1 plus Section 2,rows_with_fair_value,8482,parser_rows,8648,-166,0.980805,coverage-measured,shows which fields are populated enough for the next reconciliation pass,coverage does not prove field accuracy because dense PDF columns may be positionally shifted,sample inspect missing and high-gap rows before final accounting use
CFAASDRD-009,field-coverage,Schedule D Part 1 Section 1 plus Section 2,rows_with_book_adjusted_carrying_value,8289,parser_rows,8648,-359,0.958488,coverage-measured,shows which fields are populated enough for the next reconciliation pass,coverage does not prove field accuracy because dense PDF columns may be positionally shifted,sample inspect missing and high-gap rows before final accounting use
CFAASDRD-010,field-coverage,Schedule D Part 1 Section 1 plus Section 2,rows_with_maturity_date,8648,parser_rows,8648,0,1.000000,coverage-measured,shows which fields are populated enough for the next reconciliation pass,coverage does not prove field accuracy because dense PDF columns may be positionally shifted,sample inspect missing and high-gap rows before final accounting use
CFAASDRD-011,page-coverage,Schedule D Part 1 Section 1 plus Section 2,parser_page_min_to_max,5836-6027,located_page_range,5836-6027,page 6027 produced no parsed rows,,page-coverage-measured,confirms parser executed the located range and shows where parsed rows actually appeared,empty terminal pages or subtotal pages may be valid but need manual confirmation,inspect page 6027 and subtotal boundaries
CFAASDRD-012,decision,Schedule D Part 1 Section 1 plus Section 2,reconciliation_status,full-range-parser-visible-not-reconciled,promotion_gate,reconciled-to-statutory-verification-totals,gate not passed,,reconciliation-hold,prevents overclaiming named holdings as final statutory accounting proof,bulk extraction is useful but below cash-return or spread-proof grade,build row-boundary and numeric-column correction pass
