diagnostic_id,metric,value,units,proof_use,boundary,next_action
CFKKRGACEDCOBD-001,coordinate_owned_bond_rows,1165,count,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-002,coordinate_issuer_credit_rows,1007,count,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-003,coordinate_abs_rows,158,count,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-004,standard_cusip_like_rows,1086,count,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-005,statutory_private_marker_cusip_rows,79,count,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-006,matched_raw_parser_rows,1086,count,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-007,not_in_raw_parser_private_marker_or_geometry_rows,79,count,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-008,coordinate_book_value_sum,7318321094,USD,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-009,coordinate_issuer_credit_book_value_sum,6484939301,USD,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-010,coordinate_abs_book_value_sum,833381793,USD,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-011,coordinate_private_marker_book_value_sum,908555462,USD,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-012,statutory_bond_net_admitted_assets_target,7318322163,USD,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-013,coordinate_book_value_variance_vs_target,-1069,USD,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-014,coordinate_book_value_coverage_of_target_pct,99.999985,percent,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-015,full_column_reconciliation_status,near-reconciled-coordinate-book-hold,status,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-016,full_named_cash_proof_upgrades,0,count,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
CFKKRGACEDCOBD-017,next_parser,accordia-coordinate-owned-bond-income-proceeds-join,parser,tests coordinate-column reconciliation against the Accordia statutory Schedule D bond base,"Coordinate columns nearly reconcile owned bonds, but this still does not prove cash receipts, borrower use, liability spread, waterfalls, collateral certificates, or return.","Promote coordinate columns into the owned-bond reconciliation, then join income/proceeds and liability context."
