row_id,company,ticker,period,source_file,source_section,evidence_type,metric_or_term,value,unit,calculation,what_it_says,what_it_does_not_say,pass_or_hold,next_required_source,safe_claim
CFLBDSE-001,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt note,Original debenture principal,3.125% Exchangeable Senior Debentures due 2053 original principal,1265.000,USD millions,reported,"Liberty Broadband originally issued 1.265B USD aggregate principal amount of 3.125% exchangeable senior debentures due 2053.","Original principal is not the amount outstanding immediately before the 2026 settlement.",visible,indenture and issuance documents,"The original debenture size is visible."
CFLBDSE-002,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt note,Initial purchaser option principal,Option-issued debenture principal,165.000,USD millions,reported,"The original 1.265B USD debenture amount included 165M USD issued after the initial purchasers exercised an option.","This does not explain later repayments, exchanges, or fair-value changes.",visible,offering memorandum and indenture,"The issuance structure is partially visible."
CFLBDSE-003,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt table,Prior carrying value,3.125% Debentures due 2053 carrying value at Dec. 31 2025,956.000,USD millions,reported,"The debt table shows 956M USD carrying value for the 2053 debentures at December 31 2025.","The table does not isolate principal, accrued interest, fair-value mark, or tax effect.",visible,debenture fair-value reconciliation,"The pre-settlement carrying value is visible."
CFLBDSE-004,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt table,Post-settlement carrying value,3.125% Debentures due 2053 carrying value at Jun. 30 2026,0.000,USD millions,reported,"The debt table shows the 2053 debentures were no longer outstanding at June 30 2026.","A zero balance does not prove favorable settlement economics.",visible,settlement notice and extinguishment accounting,"The debenture obligation was retired during the period."
CFLBDSE-005,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt note,Put right,Holder put date,2026-04-06,date,reported,"Holders had the right to require Liberty Broadband to purchase the 2053 debentures on April 6 2026.","The put right does not identify all holder-level election mechanics.",visible,put notice and holder election detail,"The settlement was triggered by a scheduled holder put right."
CFLBDSE-006,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt note,Settlement status,All outstanding 2053 debentures put back and retired,explicit,text,reported,"All outstanding 2053 debentures were put back to Liberty Broadband and retired on April 6 2026.","This does not prove cash realization to Liberty Broadband shareholders.",visible,settlement notice,"The debt retirement event is explicit."
CFLBDSE-007,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt note,Settlement cash paid,2053 debenture repurchase payment including accrued interest,966.000,USD millions,reported,"Liberty Broadband paid 966M USD, including accrued interest, to repurchase the 2053 debentures.","The filing does not isolate accrued interest or a pure premium component.",visible,settlement statement and accrued-interest detail,"The gross settlement payment is visible."
CFLBDSE-008,Liberty Broadband Corporation,LBRDK/LBRDA,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,MD&A liquidity,Approximate settlement cash use,Management discussion settlement amount,965.000,USD millions,reported,"MD&A says first-half financing cash use was primarily to settle the 2053 debentures for 965M USD.","This rounded MD&A amount differs by 1M USD from the debt-note payment disclosure.",visible,settlement statement,"The settlement cash use is visible in both debt note and MD&A."
CFLBDSE-009,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt note,Settlement source,Margin Loan Facility and restricted cash used for debenture settlement,explicit,text,reported,"The debt note says the 966M USD payment was made using proceeds from the Margin Loan Facility and restricted cash.","This does not provide a dollar split between margin-loan proceeds and restricted cash.",visible,funds-flow and restricted-cash rollforward,"The settlement funding sources are directionally visible."
CFLBDSE-010,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt table,Carrying-value-to-payment spread,Settlement payment less Dec. 31 2025 carrying value,10.000,USD millions,966.000 - 956.000,"The settlement payment is 10M USD above the December 31 2025 carrying value shown in the debt table.","Because the payment includes accrued interest and the debentures were carried at fair value, this is not a clean premium or loss measure.",calculated-visible,fair-value rollforward and accrued-interest detail,"A rough payment-versus-carrying-value spread is calculable but not dispositive."
