priority,reporting_entity,manager_or_platform,vehicle_group,target_document_type,target_period_or_status,why_needed,metrics_or_fields_to_extract,claim_upgrade_if_found,disproof_or_limit_if_not_found,source_search_terms,status,next_artifact
1,Ares Capital Corporation,Ares,public BDC,latest 10-K and latest 10-Q capital structure/funding notes,Q2 2026 first pass complete,"ARCC appears across Valcourt, Sunvair, AeriTek, and MAI; its funding base is central to the public-BDC channel.","debt outstanding; secured funding facilities; notes payable; SPVs; shareholder equity; adviser; related-party arrangements","Upgrades ARCC rows from borrower-holder evidence to BDC balance-sheet funding evidence.","Borrower rows remain holder evidence only; no ultimate investor mix claim.","Ares Capital Corporation 10-K capital structure notes funding facilities adviser agreement",extracted-first-pass,capital-flow-arcc-source-of-capital-pass.md
2,Senior Direct Lending Program LLC,Ares-linked SDLP,direct lending program / private credit vehicle,formation ownership and member-capital notes,Q2 2026 first pass complete,"SDLP is the largest visible funded holder channel in the current map.","members capital; ownership split; ARCC/Ares relationship; capital contributions; financing liabilities; investment adviser","Upgrades Valcourt and Precinmac SDLP rows into vehicle-backed source-of-capital evidence.","Cannot say whether SDLP capital is insurer, institutional, BDC, or joint-venture money.","Senior Direct Lending Program LLC members capital ownership Ares Capital exhibit",extracted-first-pass,capital-flow-sdlp-source-of-capital-pass.md
3,Ares Strategic Income Fund,Ares,non-traded BDC / private credit fund,prospectus registration statement annual report,Q1 2026 first pass complete,"ASIF appears in Frontline, Sunvair, AeriTek, and MAI and may reveal private/non-traded distribution channel.","vehicle type; adviser; investor eligibility; distribution channel; leverage; subscriptions; affiliated transactions","Upgrades ASIF rows from holder evidence to private/non-traded fund channel evidence.","No insurance-linked claim unless insurer accounts or affiliated insurance funding are explicitly disclosed.","Ares Strategic Income Fund prospectus annual report adviser subscriptions leverage",extracted-first-pass,capital-flow-asif-source-of-capital-pass.md
4,FS KKR Capital Corp.,KKR / FS,public BDC,latest 10-K and latest 10-Q capital structure/funding notes,Q2 2026 first pass complete,"FSK is a major Frontline holder and Atwell holder.","debt facilities; notes; CLO/SPV financing; net assets; adviser; co-investment arrangements","Upgrades FSK borrower rows into public-BDC funding-structure evidence.","Cannot infer KKR or insurance liability funding from borrower rows alone.","FS KKR Capital Corp 10-K debt facilities adviser notes payable",extracted-first-pass,capital-flow-fsk-source-of-capital-pass.md
5,KKR FS Income Trust Select,KKR / FS,non-traded BDC / private credit fund,prospectus registration statement annual report,Q2 2026 first pass complete,"K-FITS appears in Frontline and Atwell and needs precise vehicle classification.","vehicle registration type; adviser; investor channel; distribution channel; leverage; subscriptions","Upgrades K-FITS rows from medium-confidence taxonomy to high-confidence vehicle-channel evidence.","Keep medium-confidence private/non-traded label if documents are not captured.","KKR FS Income Trust Select prospectus annual report registration statement",extracted-first-pass,capital-flow-kfits-source-of-capital-pass.md
6,Goldman Sachs BDC Inc.,Goldman Sachs,public BDC,latest 10-K and latest 10-Q capital structure/funding notes,Q2 2026 first pass complete,"GSBD appears in Frontline and Relation with funded and unfunded exposure.","debt facilities; notes payable; net assets; adviser; co-investment and exemptive-order disclosures","Upgrades GSBD rows into public-BDC funding-structure evidence.","No Goldman balance-sheet or insurance-source claim without vehicle funding proof.","Goldman Sachs BDC 10-K credit facilities adviser capital structure",extracted-first-pass,capital-flow-gsbd-source-of-capital-pass.md
7,Goldman Sachs Private Credit Corp.,Goldman Sachs,non-traded BDC / private credit fund,prospectus registration statement annual report,Q2 2026 first pass complete,"GSPCC supplies most visible unfunded commitments for Frontline and Relation.","vehicle type; investor eligibility; subscriptions; distribution channel; leverage; adviser; affiliated transactions","Upgrades GSPCC commitments into private-credit vehicle channel evidence.","Commitment rows remain capacity evidence, not funded exposure or ultimate source proof.","Goldman Sachs Private Credit Corp prospectus annual report subscriptions adviser",extracted-first-pass,capital-flow-gspcc-source-of-capital-pass.md
8,Blue Owl Capital Corporation,Blue Owl,public BDC,latest 10-K and latest 10-Q capital structure/funding notes,Q2 2026 first pass complete,"OBDC supplies Precinmac funded exposure and commitments.","debt outstanding; funding facilities; net assets; adviser; co-investment and joint-venture notes","Upgrades Precinmac OBDC rows into public-BDC funding-structure evidence.","No full Precinmac facility or ultimate investor claim without borrower/facility docs.","Blue Owl Capital Corporation 10-K debt facilities adviser notes",extracted-first-pass,capital-flow-obdc-source-of-capital-pass.md
9,New Mountain Private Credit Fund,New Mountain,private credit fund,annual report registration statement adviser/funding disclosures,latest available,"New Mountain supplies MAI drawn and undrawn exposure.","vehicle type; adviser; subscriptions; leverage; related-party sponsor/adviser links; investor channel","Upgrades MAI rows into private-credit-fund channel evidence.","Cannot say sponsor-affiliated or institutional source without vehicle disclosures.","New Mountain Private Credit Fund annual report prospectus adviser subscriptions",queued,capital-flow-ultimate-source-proof-plan.md
10,CION Ares Diversified Credit Fund,CION / Ares,registered credit fund,annual report prospectus and adviser agreement,latest available,"CADCX supplies small Sunvair exposure and helps test registered-fund channel.","fund type; adviser/sub-adviser; distribution channel; leverage; shareholder base","Upgrades Sunvair CADCX rows into registered-fund source-channel evidence.","Small exposure remains route evidence only if vehicle docs are not pulled.","CION Ares Diversified Credit Fund annual report prospectus adviser",queued,capital-flow-ultimate-source-proof-plan.md
11,Kayne Anderson BDC Inc.,Kayne Anderson,public BDC,latest 10-K and latest 10-Q capital structure/funding notes,latest available,"Kayne supplies AeriTek exposure outside the Ares channel.","debt facilities; notes; net assets; adviser; co-investment disclosures","Upgrades AeriTek Kayne row into public-BDC funding-structure evidence.","AeriTek remains multi-holder borrower evidence, not total facility evidence.","Kayne Anderson BDC 10-K credit facilities adviser",queued,capital-flow-ultimate-source-proof-plan.md
12,Phillip Street Middle Market Lending Fund LLC,Goldman Sachs / Phillip Street,middle-market lending fund,latest annual report and adviser/funding disclosures,latest available,"Phillip Street is historical Relation holder evidence and may explain Goldman-linked middle-market channel.","vehicle purpose; adviser; investor base; leverage; latest portfolio schedule","Upgrades historical Relation route into vehicle-channel evidence and may refresh current exposure.","If no latest Relation row exists, keep as historical-only evidence.","Phillip Street Middle Market Lending Fund annual report adviser portfolio",queued,capital-flow-ultimate-source-proof-plan.md
13,Ares Management Corporation,Ares,arranger / asset manager,credit agreement or lender allocation schedules for selected transactions,Frontline Relation Jiffy 2026,"Ares arranger releases do not disclose facility size or allocation.","facility size; arranger; administrative agent; lenders; borrower legal names; maturity; use of proceeds","Upgrades arranger-only evidence into borrower facility evidence and may bridge to holder rows.","Arranger claims remain role-only if credit agreements or rating reports cannot be found.","Ares Frontline Relation Jiffy credit agreement lender allocation senior secured facility",queued,capital-flow-ultimate-source-proof-plan.md
14,Atwell / 2024 and 2026 facilities,bank lender group and private-credit lenders,bank displacement test documents,"payoff, amendment, UCC, or credit-agreement evidence",2024 to 2026,"Atwell is the cleanest bank-replacement hypothesis but lacks payoff or coexistence evidence.","termination; amendment; refinancing; payoff; UCC termination/continuation; new facility borrower names; lender group","Upgrades Atwell from moderate hypothesis to confirmed bank-displacement or coexistence case.","If documents show coexistence, the replacement claim should be rejected or narrowed.","Atwell Bank of America facility termination Ares Antares Advent credit agreement UCC",queued,capital-flow-ultimate-source-proof-plan.md
