requirement_id,proof_layer,question_answered,decisive_document_family,first_case_to_chase,current_best_evidence,why_current_evidence_is_not_enough,upgrade_rule,hold_rule,next_action
CFNCPRM-001,payer cash out,Who paid cash and through what legal/instrument channel?,cash-flow statement; closing statement; purchase/payment schedule; wire/funds-flow memo,Wheaton Antamina,Wheaton reports 4.300B USD upfront cash consideration paid for the BHP Antamina PMPA,Payer-side cash out is not enough unless recipient receipt and downstream use are joined,Upgrade only if payer cash out ties to a named counterparty receipt and legal instrument,Hold if evidence is only capex acquisition outflow AUM commitment backlog or broad investing cash flow,Keep Wheaton/BHP as the first two-sided receipt bridge
CFNCPRM-002,recipient cash receipt,Who received the cash and when?,counterparty annual report note; cash-flow statement line; receipt notice; closing funds-flow schedule,BHP Antamina,BHP says it received 4.300B USD from Wheaton on April 2 2026 and reports 4.300B USD proceeds from streaming arrangement liability,Receipt does not prove use-of-proceeds allocation or return,Upgrade only if receipt links to specific treasury destination debt repayment project funding dividend buyback or retained cash,Hold if receipt is only accounting classification or aggregate financing cash inflow,Chase BHP treasury source/use or capital allocation support
CFNCPRM-003,legal-entity booking,Which entity booked the asset liability income or obligation?,legal-entity statutory schedule; subsidiary financials; note schedule; liability rollforward,BHP Antamina and Apollo/Athene,BHP classifies the stream as an IFRS 9 other financial liability; insurance rows have statutory-source routes,Legal classification does not show legal-entity cash availability or asset-level income,Upgrade only if entity-level schedule joins asset liability income cash and capital availability,Hold if evidence is consolidated segment-level AUM assets liabilities or income,Prioritize statutory Schedule D/BA and BHP liability rollforward
CFNCPRM-004,source-to-use allocation,Which dollars funded which use?,treasury source/use ledger; board allocation memo; borrowing notice; restricted cash rollforward,BHP Antamina and PBF refinancing,BHP receipt is visible; PBF shows 2034 note proceeds and available cash used for 2028 note redemption,Public consolidated cash movement cannot allocate a named receipt to a named use,Upgrade only if the same transaction dollars reconcile from source to named use,Hold if evidence is company liquidity capex dividends debt balances or free cash flow without allocation,Chase BHP treasury bridge and PBF redemption settlement package
CFNCPRM-005,debt waterfall and lender allocation,Did asset cash or transaction proceeds repay capital providers?,debt-service waterfall; lender schedule; repayment notice; interest schedule; restricted account waterfall,Wheaton Antamina and Cheniere,Wheaton has bank debt context and Antamina stream cash proxy; Cheniere has entity debt and DSCR proxy,Debt balances and repayments are not enough without allocation to asset cash or proceeds,Upgrade only if debt draw repayment interest and lender allocation reconcile to the named case,Hold if evidence is only debt table borrowing base facility size or company repayment amount,Chase Wheaton borrowing notices lender schedule and PMPA debt-service waterfall
CFNCPRM-006,billing and customer receipts,Did customers or ratepayers actually pay cash tied to the named asset or program?,billing determinants; rate-class usage; customer receipt ledger; tariff billing records,FPL Distribution Inspection,FPL shows SPPCRC aggregate revenue factor route and Distribution Inspection cost/output evidence,Aggregate clause revenue and factor authority do not isolate category collected cash,Upgrade only if billed or collected cash ties to the named category project route or asset,Hold if evidence is only approved rates aggregate revenue true-up authority or backlog,FPL discovery/POD and workpaper package remains the top customer-receipt chase
CFNCPRM-007,collateral availability,Was the collateral legally available to support borrowing or repayment?,borrowing-base certificate; eligible collateral schedule; NOLV/reserve support; LTV certificate,United Rentals fleet and Liberty Broadband,URI has ABL certificate-delivery condition and fleet/collateral proxy; Liberty has pledged Charter collateral context,Collateral existence is not the same as certified eligible borrowing capacity,Upgrade only if populated certificate or equivalent schedule shows eligibility reserves availability and compliance,Hold if evidence is only pledged asset value gross fleet OEC or facility size,Chase populated URI borrowing-base certificate and Liberty LTV/collateral certificate
CFNCPRM-008,project or asset cash contribution,What cash did the funded asset actually generate?,project EBITDA/DCF schedule; segment contribution table; cargo/throughput billing attribution; asset cash ledger,Cheniere LNG and Energy Transfer,Cheniere has entity revenue EBITDA DCF cargo and SPA context; Energy Transfer has project output and company DCF,Company EBITDA DCF or output cannot be assigned to one project without attribution,Upgrade only if asset or project cash contribution reconciles to the named funded asset,Hold if evidence is only capacity additions volumes backlog or consolidated EBITDA,Chase Cheniere entity/train waterfall and ET shipper/project EBITDA bridge
CFNCPRM-009,settlement and delivery ledger,Did the contractual obligation settle in units and cash?,invoice ledger; delivery statement; metal-credit ledger; settlement statement; realized-price bridge,Wheaton/BHP Antamina,Wheaton reports combined Antamina units received/sold and cash flow generated; BHP reports 41M USD settlement line,Combined units and liability settlement do not isolate BHP PMPA invoices or cash settlement math,Upgrade only if delivered units realized prices cash costs and settlement entries reconcile,Hold if evidence is only production attributable ounces PBND or aggregate settlement line,Chase BHP PMPA-only delivery and metal-credit settlement ledger
CFNCPRM-010,return model,Was the investment economically paid back or value accretive?,IRR model; NPV model; payback schedule; ROIC bridge; earned-return workpaper,Wheaton Antamina and FPL Distribution Inspection,Wheaton has cash-flow/upfront proxy; FPL has regulated recovery and capital-structure proxy,Simple cash-yield proxy or authorized return is not full return proof,Upgrade only if source-backed assumptions reconcile investment amount cash receipts taxes financing duration and residual value,Hold if evidence is only EBITDA multiple OCF proxy ROE authorization or rough payback math,Chase Wheaton PMPA return model and FPL earned-return workpapers
CFNCPRM-011,working-capital collection,Did revenue/backlog convert to collected cash?,receivable aging; retainage schedule; contract asset/liability rollforward; cash collection schedule,MasTec Sterling and distributors,MasTec and Sterling show backlog revenue EBITDA OCF and contract liability fields,Backlog and revenue are not customer cash unless collections and retainage are visible,Upgrade only if collections aging retainage and contract assets/liabilities tie to named projects or customers,Hold if evidence is only backlog orders sales EBITDA or OCF at company level,Queue project-owner funding and collection schedules for backlog-heavy cases
CFNCPRM-012,full named cash proof,Can we trace cash all the way from provider to destination to cash back and return?,joined proof package containing receipts billing waterfalls legal-entity schedules collateral certificates settlement ledgers and return model,Wheaton/BHP Antamina first; FPL second; PBF third,The system has partial bridges and exact source routes but no case joins all gates,Any missing gate can change the economic interpretation,Promote only when one named row joins source instrument destination use receipt settlement/payback legal availability and return,Hold if any required layer is proxy-only missing or only consolidated,Run acquisition against one named case until it either promotes or gets a documented source-access hold
