queue_id,flow_id,priority,lane_or_case,current_proof_level,next_upgrade_target,action_type,target_source_or_document,source_route_or_local_base,expected_output,readiness,fields_to_extract,pass_test,hold_or_disproof_test,next_artifact,safe_claim
CFE2EGUQ-001,CFE2EG-010,1,Wheaton Antamina,named-source-use-cash-return-proxy-visible,asset-level-return-testable,parse-local-and-search,Antamina delivery cash receipt debt-service and tax/interest allocation support,"Wheaton quarterly/annual filings, 6-K exhibits, MD&A tables, PMPA notes, credit facility documents","analysis/company-first-principles/data/capital-flow-wheaton-antamina-cash-return-proof-stack-pass-1.csv",executed-local-boundary-pass-1,"delivered ounces; ounces sold; cash receipts; cash cost; depletion; tax; interest; debt service; lender allocation; reserves; mine life; IRR/NPV inputs","Pass result: proof stack is explicit and Antamina reaches named source/use/cash-return proxy status with stream revenue, cash cost, depletion, profit, OCF, asset denominator, and return proxies.","Hold result: full return remains unproven because delivered ounces, tax, interest, debt-service, lender allocation, reserve-life sufficiency, IRR, and NPV are still missing.",capital-flow-wheaton-antamina-cash-return-proof-stack-pass-1.md,Wheaton is the strongest current end-to-end cash-return proxy but not full PMPA return proof.
CFE2EGUQ-002,CFE2EG-005,2,FPL Distribution Inspection,source-use-output-cash-proxy-visible,category-customer-receipt-and-funding-allocation-visible,parse-local-and-wait,2027 SPPCRC actual/estimated true-up plus billing determinant and source-of-funds workpapers,"Florida PSC docket 20250010-EI, FPL SPPCRC filings, workpapers, discovery, SEC utility financing sources","analysis/company-first-principles/data/capital-flow-fpl-distribution-inspection-customer-receipt-source-acquisition-pass-1.csv",executed-local-time-gated-boundary-pass-1,"actual billed revenue; collected/refunded true-up; billing determinants; rate class; category allocation; debt/equity/cash source; construction funding language","Pass result: FPL Distribution Inspection reaches executed local boundary status with output, cost, plant, final recovery, components, aggregate revenue, factor authority, Form 8A capital structure, and FPL-wide cash context.","Hold result: full upgrade remains open because category customer receipts, billing determinant allocation, source-of-funds allocation, project IRR, and earned shareholder return are still missing.",capital-flow-fpl-distribution-inspection-customer-receipt-source-acquisition-pass-1.md,FPL is the best regulated recovery-to-cash bridge but not category customer-receipt or funding-allocation proof.
CFE2EGUQ-003,CFE2EG-003,3,Ares borrower exposure,source-use-destination-visible,borrower-facility-use-cash-and-bank-role-visible,parse-local-and-search,Borrower credit agreements rating reports payoff letters lender schedules and borrower cash evidence,"SEC/proxy filings, rating reports, UCC/payoff searches, sponsor releases, BDC footnotes, lender administrative-agent records","analysis/company-first-principles/data/capital-flow-ares-borrower-facility-use-cash-proof-stack-pass-1.csv",executed-local-boundary-pass-1,"borrower; facility size; tranche; lender; source vehicle; use of proceeds; old lender/payoff; EBITDA; cash flow; repayment source; covenant; maturity; bank residual role","Pass result: Frontline is the strongest local Ares borrower stack with operating borrower, sponsor transaction, Ares arranger role, holder-dollar evidence, commitment context, instrument markers, and same-period control.","Hold result: total facility size, use of proceeds, borrower cash generation, lender allocation, Ares funded allocation, debt service, and bank-role proof remain missing.",capital-flow-ares-borrower-facility-use-cash-proof-stack-pass-1.md,Ares reaches named borrower destination and holder-dollar proof through Frontline but not full facility/use/cash proof.
CFE2EGUQ-004,CFE2EG-007,4,Sterling backlog,source-use-output-cash-proxy-visible,project-owner-funding-margin-and-collection-visible,parse-local-and-search,Owner funding retainage L/C surety bonded backlog margin and cash collection support,"Sterling 10-Q/10-K, credit agreement, surety/bond disclosures, project awards, owner budget records, receivable/retainage notes","analysis/company-first-principles/data/capital-flow-sterling-project-cash-collection-source-target-pass-1.csv",executed-local-boundary-pass-1,"RPO; signed backlog; unsigned awards; backlog burn; billed receivables; retainage; contract assets; contract liabilities; L/C outstanding; surety; owner funding; project margin; collection timing","Pass result: Sterling reaches project-execution cash-proxy status with RPO growth, contract timing, OCF after capex, low debt/RPO, credit wrapper, L/C/surety mechanics, acquired-versus-organic split, and directional covenant cushion.","Hold result: named owner funding, project margin, retainage/cash collection, bonded backlog, actual post-reset L/C usage, and source-to-project allocation remain missing.",capital-flow-sterling-project-cash-collection-source-target-pass-1.md,Sterling has strong backlog-to-company-cash conversion evidence but not project cash collection proof.
CFE2EGUQ-005,CFE2EG-006,5,Energy Transfer projects,source-use-output-cash-proxy-visible,named-project-contract-cash-and-EBITDA-visible,parse-local-and-search,Project capital schedules shipper contracts tariff billing volume and EBITDA contribution evidence,"Energy Transfer 10-Q/10-K, project disclosures, pipeline tariff records, shipper agreements where public, FERC/state filings, credit agreement draw/use records","analysis/company-first-principles/data/capital-flow-energy-transfer-project-cash-realization-pass-1.csv",executed-local-boundary-pass-1,"project; capex; debt/cash source; shipper; committed volume; tariff/rate; billing volume; in-service date; EBITDA/DCF contribution; debt service","Pass result: Energy Transfer reaches company-level source/use/output/cash-proxy status with cash generation, DCF, growth capex, liquidity, refinancing, debt-stack context, named capacity additions, and contracted-capacity clues.","Hold result: named-project cash realization remains unproven because project cost, source allocation, customer cash, billing volume, utilization, EBITDA, DCF contribution, debt service, and return are not visible by project.",capital-flow-energy-transfer-project-cash-realization-pass-1.md,Energy Transfer has strong company-level source/use/output/cash-proxy evidence but not named-project cash-realization proof.
CFE2EGUQ-006,CFE2EG-015,6,United Rentals fleet,source-use-output-cash-proxy-visible,fleet-class-cash-yield-and-collateral-visible,parse-local-and-search,Fleet utilization OEC margin capex split recovery proceeds and collateral support,"URI 10-K/10-Q, earnings supplements, ABL/AR securitization documents, fleet category disclosures, used-equipment sales tables","analysis/company-first-principles/data/capital-flow-uri-fleet-cash-yield-source-target-pass-1.csv",executed-local-boundary-pass-1,"fleet class; OEC; utilization; rental revenue; gross margin; growth capex; replacement capex; sale proceeds; recovery ratio; eligible collateral; borrowing base; reserves","Pass result: United Rentals reaches strong fleet cash-yield proxy status with OEC, rental-equipment purchase cash, gross rental capex, equipment-sale proceeds, owned-rental output, revenue/OEC productivity, segment margin, segment asset-productivity proxy, company cash coverage, and collateral support.","Hold result: full fleet-class cash yield remains unproven because growth/replacement capex, fleet-class OEC, fleet-class utilization, segment operating profit, legal borrowing-base availability, reserves, advance rates, source-to-purchase allocation, and ROIC remain missing.",capital-flow-uri-fleet-cash-yield-source-target-pass-1.md,URI has strong fleet cash-yield proxy evidence but not full fleet-class cash-yield or ROIC proof.
CFE2EGUQ-007,CFE2EG-016,7,Cheniere LNG,source-use-output-visible,train-level-customer-cash-and-waterfall-visible,parse-local-and-search,Train-level project waterfall SPA economics debt/capex revenue and debt-service support,"Cheniere SEC filings, SPL/CQP indentures, offering memoranda, FERC dockets, DOE cargo records, customer filings, SPA summaries","analysis/company-first-principles/data/capital-flow-cheniere-project-cash-waterfall-source-target-pass-1.csv",executed-local-boundary-pass-1,"train; entity; capex; debt draw; restricted cash; SPA volume; price formula; customer; cargo; revenue; EBITDA; distribution; debt service; waterfall","Pass result: Cheniere reaches strong LNG source/use/output/customer-demand evidence status with company cash generation, equity-funded growth-capex split, entity debt buckets, train milestones, contracted production, named customer demand, DOE cargo reconciliation, physical volume denominators, debt-service denominator, and executed-SPA revenue denominator.","Hold result: train-level project cash-waterfall proof remains unproven because train cost, debt draw, restricted cash, SPA economics, cargo attribution, revenue, EBITDA, distribution, debt-service coverage, and project return are not joined in one train or entity waterfall.",capital-flow-cheniere-project-cash-waterfall-source-target-pass-1.md,Cheniere has strong LNG source/use/output/customer-demand evidence but not train-level cash-waterfall proof.
CFE2EGUQ-008,CFE2EG-011,8,PBF refinancing,named-source-use-company-cash-context-visible,pro-forma-debt-service-and-refinery-cash-visible,parse-local-and-search,ABL availability pro forma debt-service schedule refinery-level margin/cash and outage normalization,"PBF 10-Q/10-K, note indenture, ABL agreement, debt footnotes, refinery operating tables, insurance recovery notes, management reconciliations","analysis/company-first-principles/data/capital-flow-pbf-pro-forma-debt-service-refinery-cash-pass-1.csv",executed-local-boundary-pass-1,"coupon; maturity; fees; extinguishment loss; pro forma interest; ABL capacity; borrowing base; refinery throughput; margin; capex; turnaround; insurance proceeds; normalized OCF; cash interest","Pass result: PBF reaches pro forma debt-service and refinery-cash proxy status with named refinancing source/use, gross and net proceeds, available-cash bridge, principal reduction, simple annual coupon relief, visible refinancing costs, revolver movement, insurance-normalized company cash, capital/turnaround burden, cash-interest coverage, throughput, and refining-margin context.","Hold result: full upgrade remains unproven because refinancing NPV, after-tax economics, accrued-interest settlement, fee amortization, ABL legal availability, borrowing-base cushion, recurring outage-normalized refinery cash, refinery-level contribution, and refinery-level return are missing.",capital-flow-pbf-pro-forma-debt-service-refinery-cash-pass-1.md,PBF has pro forma debt-service and refinery-cash proxy evidence but not refinancing value creation or refinery-level return proof.
CFE2EGUQ-009,CFE2EG-013,9,Matador borrowing base,aggregate-source-use-output-cash-proxy-visible,source-specific-use-and-asset-cash-visible,parse-local-and-search,Borrowing notices lender schedule reserve support cash interest and asset contribution evidence,"Matador 10-Q/10-K, credit amendments, borrowing-base notices, reserve summaries, acquisition documents, production and LOE tables","analysis/company-first-principles/data/capital-flow-matador-source-specific-asset-cash-pass-1.csv",executed-local-boundary-pass-1,"draw date; repayment date; lender; borrowing base; reserve value; acquisition payment; capex; asset/basin; production; revenue; LOE; cash interest; EBITDA/cash contribution","Pass result: Matador reaches aggregate source/use plus borrowing-base and output/cash-context status with operating cash, net financing, Credit Agreement movement, San Mateo movement, senior-note net source, development capex, acquisition cash, BLM acquisition evidence, reserve-based capacity, liquidity headroom, lender/collateral mechanics, debt-cost proxy, and production/revenue output.","Hold result: source-specific asset cash remains unproven because borrowing notices, lender commitments, reserve values, note proceeds, operating cash, acquisition funds-flow, well/asset contribution, LOE, cash margin, cash interest, and asset-level return are missing.",capital-flow-matador-source-specific-asset-cash-pass-1.md,Matador has aggregate source/use plus borrowing-base and output/cash context but not source-specific asset-cash proof.
CFE2EGUQ-010,CFE2EG-012,10,Devon treasury allocation,treasury-source-use-cash-coverage-proxy-visible,source-priority-synergy-and-stress-FCF-visible,parse-local-and-search,Treasury source-priority Coterra synergy commodity-stress FCF and asset contribution evidence,"Devon 10-Q/10-K, merger filings, closing funds-flow, debt repayment notices, investor presentations, asset-level production/cash tables, commodity sensitivity disclosures","analysis/company-first-principles/data/capital-flow-devon-source-priority-stress-fcf-pass-1.csv",executed-local-boundary-pass-1,"source priority; OCF; cash balance; merger cash; capex; acquisitions; debt repayment; dividends; buybacks; Coterra synergy; production; LOE; commodity sensitivity; stress FCF","Pass result: Devon reaches same-period source/use/cash-coverage and Coterra contribution proxy status with OCF, merger cash, cash-balance support, capex, acquisitions, debt repayment, shareholder returns, liquidity, covenant room, production, and Coterra revenue/earnings contribution.","Hold result: source priority, stress-tested FCF, asset-level LOE/cash margin, realized Coterra synergy, debt-economics value, and asset cash return remain unproven.",capital-flow-devon-source-priority-stress-fcf-pass-1.md,Devon has same-period source/use/cash-coverage and Coterra contribution proxy evidence but not source-priority or stress-tested asset contribution proof.
