borrower,reporting_entity,manager_or_platform,capital_channel,period,latest_current_flag,funded_fair_value_usd_m,unfunded_commitment_usd_m,transaction_value_or_bank_denominator_usd_m,role_or_instrument,what_this_shows,what_it_does_not_show,source_artifact
Valcourt,Senior Direct Lending Program LLC,Ares-linked SDLP,direct lending program / private credit vehicle,Q1 2026,current,342.0000,,,first lien senior secured loan,"Large Ares-linked direct-lending program holder exposure to a facility-services borrower.","Ultimate investor source, total debt, lender group, and bank replacement are not shown.","capital-flow-valcourt-sec-holder-crosswalk.csv"
Valcourt,Ares Capital Corporation,Ares,public BDC,Q2 2026,current,117.6000,,,first lien senior secured loan,"Public BDC holder exposure to the same borrower complex with a later 05/2033 maturity.","Whether this is a refinancing, add-on, or separate facility is not shown.","capital-flow-valcourt-sec-holder-crosswalk.csv"
Precinmac,Senior Direct Lending Program LLC,Ares-linked SDLP,direct lending program / private credit vehicle,FY2024,current-in-file,253.5000,,,first lien senior secured loan,"Large direct-lending program exposure to Precinmac/Trimaster.","Current 2026 exposure, use of proceeds, and bank-role outcome are not shown.","capital-flow-precinmac-sec-holder-crosswalk.csv"
Precinmac,Blue Owl Capital Corporation,Blue Owl,public BDC,FY2024,current-in-file,21.4120,8.3720,,first lien senior secured loan plus delayed-draw and revolver commitments,"BDC holder exposure plus visible unfunded capacity to Paris US Holdco dba Precinmac.","Whether this is the same facility as SDLP or a later borrower structure is not fully bridged.","capital-flow-precinmac-sec-holder-crosswalk.csv"
Frontline Road Safety,FS KKR Capital Corp.,KKR / FS,public BDC,Q2 2026,current,132.8000,,,first lien senior secured loans,"Public BDC exposure to Frontline Road Safety.","Total facility size, Ares allocation, and bank role are not shown.","capital-flow-frontline-sec-holder-crosswalk.csv"
Frontline Road Safety,KKR FS Income Trust Select,KKR / FS,non-traded BDC / private credit fund,Q2 2026,current,47.9360,,,first lien senior secured loans,"Private/non-traded KKR-FS vehicle exposure to Frontline.","Ultimate investor source and facility-wide lender group are not shown.","capital-flow-frontline-sec-holder-crosswalk.csv"
Frontline Road Safety,Goldman Sachs BDC Inc.,Goldman Sachs,public BDC,Q2 2026,current,17.9390,0.6120,,first lien senior secured loans plus commitment,"Goldman Sachs BDC exposure and small remaining commitment to Frontline.","Does not map directly to the Ares lead-arranger facility or total debt.","capital-flow-frontline-sec-holder-crosswalk.csv"
Frontline Road Safety,Ares Strategic Income Fund,Ares,non-traded BDC / private credit fund,Q1 2026,current-mixed-quarter,76.6927,,,first lien senior secured loan,"Ares-managed holder exposure visible one quarter earlier than the Q2 holder stack.","Should not be added to same-date Q2 exposure without a Q2 ASIF row.","capital-flow-frontline-sec-holder-crosswalk.csv"
Frontline Road Safety,Goldman Sachs Private Credit Corp.,Goldman Sachs,non-traded BDC / private credit fund,Q1 2026,current-mixed-quarter,,53.6880,,unfunded commitment,"Large Goldman Sachs private-credit commitment capacity to Frontline.","Committed capacity is not funded fair value and is not total facility size.","capital-flow-frontline-sec-holder-crosswalk.csv"
Sunvair,Ares Capital Corporation,Ares,public BDC,Q2 2026,current,68.1000,,,first lien revolver and term loans,"Public BDC exposure to aerospace MRO borrower Sunvair.","Total Sunvair debt, lender group, and use of proceeds are not shown.","capital-flow-sunvair-sec-holder-crosswalk.csv"
Sunvair,Ares Strategic Income Fund,Ares,non-traded BDC / private credit fund,Q1 2026,current-mixed-quarter,35.7504,,,first lien revolver and term loan,"Ares-managed private-credit vehicle exposure to Sunvair.","Should not be treated as same-date Q2 exposure without a Q2 ASIF row.","capital-flow-sunvair-sec-holder-crosswalk.csv"
Sunvair,CION Ares Diversified Credit Fund,CION / Ares,registered credit fund,Q2 2026,current-mixed-quarter,2.8650,,,"first lien revolver, term loan, and delayed-draw term loan","Small registered-credit-fund exposure to Sunvair; CION vehicle-level debt, preferred capital, and named credit facilities are now extracted.","CION funding allocation to Sunvair, ultimate investor source, and remaining unfunded capacity are not shown.","capital-flow-sunvair-sec-holder-crosswalk.csv"
AeriTek,Ares Capital Corporation,Ares,public BDC,Q2 2026,current,59.6000,,,first lien revolver and term loans,"Public BDC exposure to AeriTek.","Full acquisition facility, lender group, and bank role are not shown.","capital-flow-aeritek-sec-holder-crosswalk.csv"
AeriTek,Kayne Anderson BDC Inc.,Kayne Anderson,public BDC,Q1 2026,current-mixed-quarter,10.0020,,,first lien senior secured loan,"Separate BDC exposure to AeriTek.","Whether this maps to the same Ares-led financing package is not proven.","capital-flow-aeritek-sec-holder-crosswalk.csv"
AeriTek,Ares Strategic Income Fund,Ares,non-traded BDC / private credit fund,Q1 2026,current-mixed-quarter,1.7721,,,first lien senior secured revolver,"Ares-managed private-credit vehicle exposure to AeriTek.","Total facility size and remaining revolver capacity are not shown.","capital-flow-aeritek-sec-holder-crosswalk.csv"
MAI Capital,Ares Capital Corporation,Ares,public BDC,Q2 2026,current,8.0000,,,first lien senior secured loan,"Public BDC exposure to wealth-management consolidation borrower MAI.","Total facility size, lender group, use of proceeds, and bank role are not shown.","capital-flow-mai-sec-holder-crosswalk.csv"
MAI Capital,Ares Strategic Income Fund,Ares,non-traded BDC / private credit fund,Q1 2026,current-mixed-quarter,0.7263,,,first lien senior secured revolver,"Ares-managed private-credit vehicle exposure to MAI.","Should not be treated as same-date Q2 exposure without a Q2 ASIF row.","capital-flow-mai-sec-holder-crosswalk.csv"
