draft_id,section_order,section_name,core_claim,primary_examples,evidence_type,proof_level,boundary,next_action
ARLFD-001,1,opening_thesis,"Annual reports can be read as maps of economic bottlenecks not only as company documents","Power; healthcare; industrial uptime; built environment; digital control; value retail; private markets",cross-theme synthesis,writing-ready,"This is synthesis not new primary evidence",review for final essay framing
ARLFD-002,2,burden_transfer,"The common mechanism is burden transfer from overwhelmed customers households patients contractors governments borrowers and investors to companies that can organize the burden at scale","Households; patients; contractors; utilities; investors",first-principles mechanism,writing-ready,"Burden transfer does not prove durable cash or return by itself",use as the essay's central plain-English explanation
ARLFD-003,3,capital_flow_backbone,"The capital-flow proof chain keeps broad theme writing honest by separating themes from cash proof","source to wrapper to destination to use to cash-back to waterfall to return",proof discipline,control-ready,"Most public documents stop before final receipts waterfalls collateral certificates and return models",keep proof boxes in the draft
ARLFD-004,4,power_scarcity,"Power is becoming a constraint on economic growth and a permissioned infrastructure theme","Constellation; Vistra; NRG; Exelon; Duke; AEP; NextEra; FPL","GW; PPAs; ESAs; capital plans; rate recovery; tariffs; project status",strong-theme-bridge,"Load forecasts and capex plans are not customer cash or project returns",write final power chapter with recovery and contract evidence boxes
ARLFD-005,5,capital_platforms,"Large asset managers are becoming financial routing infrastructure","BlackRock; Blackstone; Apollo/Athene; KKR/Global Atlantic; Brookfield; Ares; Carlyle","AUM; FPAUM; insurance liabilities; statutory schedules; credit AUM; originations; named holdings",strong-theme-bridge,"AUM and platform scale are not borrower receipt settlement cash waterfall or final return",anchor the big-money chapter with Accordia and Apollo/Athene statutory proof boundaries
ARLFD-006,6,healthcare_access,"Healthcare value is increasingly organized access under cost labor and reimbursement pressure","UnitedHealth; Cigna; DaVita; Option Care; Addus; BrightSpring; Enhabit","Revenue; medical-cost trend; pharmacy economics; census; admissions; reimbursement; labor productivity",writing-ready,"Demand for care does not prove durable reimbursement trust quality or cash conversion",write healthcare access chapter around chronic burden management
ARLFD-007,7,industrial_uptime,"Industrial distribution is uptime infrastructure for physical work","United Rentals; Fastenal; WESCO; Grainger; Applied Industrial; MSC; Watsco","Fleet productivity; OEC; rental revenue; vending/onsite; backlog; branch density; margin; OCF",strong-theme-bridge,"Sales and backlog are not project collection or asset ROIC",write industrial uptime chapter with URI and WESCO anchors
ARLFD-008,8,built_environment_upkeep,"Housing pressure becomes upkeep repair replacement and contractor-channel demand","Home Depot; Lowes; Builders FirstSource; Sherwin-Williams; West Fraser; Ferguson; Core Main","RMI mix; Pro growth; waterworks demand; branch networks; coatings; lumber cycle; cash conversion",writing-ready,"Housing exposure is not one uniform theme",write built-environment chapter around shelter as ongoing burden
ARLFD-009,9,digital_control,"More digital activity creates demand for trust permission security routing execution and governance","Cloudflare; Akamai; Fastly; Zscaler; Fortinet; DigitalOcean; Roblox","ARR; RPO; deferred revenue; traffic/security demand; large contracts; AI workload; FCF; governance cost",writing-ready,"Digital growth does not automatically become operating leverage or durable control",write digital control chapter around trust as infrastructure
ARLFD-010,10,value_retail,"Value retail is household regret management not simple trade-down","Costco; Walmart; Target; Dollar General; Dollar Tree; Burlington; Ollies","Traffic; comps; basket; membership; ads; e-commerce; margin; shrink; inventory quality",writing-ready,"Each retailer solves a different consumer anxiety",write value retail chapter around wallet split by job
ARLFD-011,11,working_capital_proof,"Growth quality depends on whether growth turns into cash or gets trapped in receivables and inventory","Target; Zebra; MSC; Global Industrial; Pool; Core Main; Arrow; Synchrony","DSO; inventory turns; reserves; customer concentration; collateral eligibility; gross margin; OCF",proof-box-ready,"Revenue growth and balance-sheet growth are not cash realization",build working-capital exhibit
ARLFD-012,12,acquisition_backlog_proof,"Acquisitions and backlog need post-close conversion evidence","Sterling; MasTec; URI/Yak; Core Main; Relation; MAI; Frontline; Atwell","Purchase price; debt funding; acquired backlog; backlog burn; retainage; margin; contract assets/liabilities; OCF",proof-box-ready,"Transaction size and backlog are not value creation or cash collection",build acquisition/backlog conversion exhibit
ARLFD-013,13,refinancing_proof,"Refinancing can help or merely move risk forward","PBF; Matador; Devon; Liberty Broadband; Verizon; Wheaton","Issuance proceeds; redemption amounts; maturities; coupon changes; fees; settlement; interest cost; liquidity; NPV",proof-box-ready,"Principal and coupon mechanics are not proof of value creation",build refinancing value exhibit
ARLFD-014,14,final_takeaway,"The valuable positions are increasingly the routes wrappers permissions workflows and assets that other people depend on","All theme families",synthesis,writing-ready,"Final investment conclusion still requires cash conversion and return proof",review draft and choose first final essay chapter
