program_id,theme,subtheme,priority,company_set,primary_documents,outside_data_sources,first_numbers_to_extract,derived_claim_test,acceptance_rule,disproof_test,next_artifact,status
TEP-001,private_credit_platforms,direct_lending_at_scale,1,"Ares; KKR; Apollo; Blackstone; BlackRock; Carlyle; Brookfield","10-K; 10-Q; quarterly supplement; BDC schedules; direct-lending releases","SEC company filings; rating reports; lender transaction notes","credit AUM; direct lending AUM; gross deployment; originations; available capital; borrower count; portfolio fair value","Private-credit platforms are routing committed capital into real borrower loans rather than only reporting management-fee scale.","Promote only when platform-scale metrics and borrower/fund schedule evidence appear in the same period.","Weakens if AUM growth is mostly valuation, fee mix, or acquired AUM without fresh lending deployment.","platform credit source-to-destination table",queued
TEP-002,private_credit_platforms,borrower_level_proof,1,"Atwell; Precinmac; AeriTek; Frontline; Jiffy; MAI; Relation; Sunvair; Valcourt","BDC schedules; 8-K; credit agreement; merger proxy; sponsor release; rating report","UCC filings where available; rating-agency debt reports; law-firm deal notes","facility size; funded principal; unfunded commitment; fair value; pricing; maturity; lender role; use of proceeds","Specific borrowers can be tied to specific private-credit instruments and holder vehicles.","Promote only when borrower, instrument, amount, date, and filing vehicle are all captured.","Weakens if only sponsor press language exists or holder rows cannot be mapped to a transaction.","borrower source-to-use matrix",queued
TEP-003,insurance_retirement_capital,life_and_annuity_spread_assets,1,"MetLife; Prudential; Apollo/Athene; KKR/Global Atlantic; Brookfield Wealth Solutions","10-K; 10-Q; annual insurance report; statutory statement; quarterly supplement","NAIC InsData; state insurance departments; AM Best; S&P; Moody's; Fitch","reserves; policyholder liabilities; invested assets; net investment income; spread income; rating mix; Schedule D; Schedule BA; capital and surplus","Insurance and retirement liabilities are becoming a durable upstream capital source for credit and private assets.","Promote only when liability scale and asset allocation are both quantified for the same insurer or platform.","Weakens if assets remain overwhelmingly public investment-grade bonds or private assets are immaterial.","insurance liability-to-asset bridge",queued
TEP-004,insurance_retirement_capital,managed_care_cash_timing,2,"UnitedHealth; Cigna","10-K; 10-Q; cash-flow statement; segment footnotes","CMS; state insurance filings; NAIC health filings if available","premiums; medical costs payable; claims payable; operating cash flow; investment assets; MLR; PBM cash conversion","Managed-care companies create large timing balances and reinvestable cash, but not the same mechanism as annuity spread capital.","Promote only as cash-timing/float evidence, not as private-credit supply, unless investment allocation proves credit exposure.","Weakens if investment assets are small relative to claims obligations or cash flow is consumed by claims pressure.","managed-care float contrast note",queued
TEP-005,power_grid_project_finance,regulated_rate_base_and_power_capacity,1,"NextEra; Duke; Constellation; Vistra; NRG; AEP; Exelon","10-K; 10-Q; investor deck; rate-case filing; earnings transcript","EIA; FERC; ISO/RTO interconnection queues; state utility commissions","capex plan; rate base; allowed ROE; debt/equity issuance; MW/GW; contracted load; PPA terms; data-center/customer references","Power scarcity and electrification are turning capital into regulated and contracted power assets.","Promote only when demand commentary is tied to capex, rate-base, contracted load, or generation capacity numbers.","Weakens if capex is maintenance, demand language is generic, or projects lack approval/contract proof.","power demand-to-capex extraction pass",queued
TEP-006,power_grid_project_finance,midstream_growth_projects,2,"ONEOK; Targa; Plains; Energy Transfer; Cheniere","10-K; 10-Q; investor deck; project update; debt footnotes","EIA; FERC; PHMSA; export terminal data","growth capex; pipeline miles; processing/fractionation capacity; export capacity; volumes; leverage; project debt; contracted volumes","Energy logistics remain a large capital destination with measurable physical assets and contracted throughput.","Promote only when project capex and capacity/volume additions are both visible.","Weakens if spend is maintenance, commodity-cycle replacement, or not linked to incremental throughput.","midstream project-finance pass",queued
TEP-007,power_grid_project_finance,buildout_service_backlog,2,"MasTec; Dycom; Primoris; Granite; ABM; CACI","10-K; 10-Q; backlog table; segment note; earnings transcript","state DOT awards; federal procurement data; broadband grant data","backlog; funded awards; book-to-bill; working capital; customer concentration; margin; contract duration","Funded infrastructure projects show up as backlog and revenue visibility for contractors and technical-service firms.","Promote only when backlog is funded or award-backed and convertibility to revenue is described.","Weakens if backlog is unfunded, cancellable, low-margin, or produces working-capital drag.","service-layer backlog proof table",queued
TEP-008,debt_refinancing_capital_stack,refinancing_and_facility_change,1,"PBF; Liberty Broadband; Matador; Devon; Coterra; CNX; Ovintiv; Cenovus; Enhabit; Wheaton","10-K; 10-Q; 8-K; indenture; credit agreement; borrowing-base redetermination","rating reports; lender releases; bond prospectuses","old principal; new principal; coupon/spread; maturity; revolver capacity; drawn amount; repayment use; liquidity before/after","Refinancing documents show where capital changed maturity, lender mix, collateral, or liquidity risk.","Promote only when old and new instrument terms are both visible or use-of-proceeds names the debt repaid.","Weakens if financing is routine maturity extension with no change in risk, lender mix, or balance-sheet pressure.","refinancing event ledger",queued
TEP-009,acquisition_finance_consolidation,deal_financing_and_control,2,"Core & Main; Verizon; Sherwin-Williams; Lowe's; Rio Tinto; Expand Energy; Packaging Corp.; Silgan; Phillips 66; Roblox","8-K; merger proxy; acquisition agreement; financing commitment; 10-K; 10-Q","rating reports; merger clearance filings; sponsor/law-firm deal notes","transaction value; cash paid; debt issued; equity issued; bridge loan; target debt assumed/repaid; acquired revenue/assets/sites","M&A reveals capital flowing into control of assets, customers, reserves, routes, or capacity.","Promote only when transaction value and funding mix are disclosed.","Weakens if deals are small relative to the balance sheet or funded entirely by cash without a broader capital-market signal.","acquisition funding proof table",queued
TEP-010,asset_backed_securitization,receivables_inventory_and_abs,2,"Synchrony; Target; Arrow; MSC Industrial; Pool; Dollar General; Zebra; Honeywell; Henry Schein; Global Industrial","10-K; 10-Q; securitization note; receivables trust filing; credit facility footnote","ABS deal data; rating presales; Fed consumer credit; supplier-finance disclosures","receivables; inventory; securitized assets; warehouse lines; SPV debt; charge-offs; allowance; advance rates; retained interests","Operating assets become financeable pools when receivables, loans, leases, or inventory are pledged or securitized.","Promote only when a financing structure is disclosed, not merely because working capital exists.","Weakens if balances are ordinary trade working capital without collateralized funding or credit-risk transfer.","asset-backed finance extraction pass",queued
TEP-011,capital_intensive_buildout,physical_capacity_and_throughput,2,"Eaton; Jacobs; AECOM; United Rentals; Steel Dynamics; Nucor; Knife River; Reliance; KBR; Teledyne","10-K; 10-Q; investor deck; segment backlog; capex table","Census construction spending; EIA; DOE; public infrastructure awards","capex; backlog; orders; capacity additions; utilization; tons shipped; rental fleet OEC; free cash flow; debt issued/repaid","Capital is being absorbed by companies that turn funded demand into equipment, materials, projects, or throughput.","Promote only when capital spend or orders are connected to capacity, utilization, or revenue conversion.","Weakens if growth is price-only, replacement-only, or not tied to funded end-market demand.","capital absorption scorecard",queued
TEP-012,cross_lane_governance,claim_ladder_and_denominators,1,"all 71 lane candidates; 190 high-signal companies","all extracted filings; source manifest; evidence ledger","Federal Reserve; FDIC; EIA; FERC; CMS; BEA; Census; rating agencies","denominator trend; market size; source-to-use count; Level 3/4 claim count; missing proof count","The broad thesis should be assembled only from repeated instrument-level and source-to-use evidence across lanes.","Promote system claims only after at least three claim-grade examples in a lane plus an outside denominator.","Weakens if evidence remains anecdotal, single-company, or inconsistent with outside denominators.","capital-flow claim-grade dashboard",queued
