section_id,section,old_html_inputs,first_principles_point,money_path,company_examples,proof_needed,safe_use
ARPOWEX-001,opening_frame,AI Infrastructure Toll; Outage Anxiety Economy; Grid's New Landlords,"Power scarcity means electricity becomes permission for growth, not a background utility expense.",need for dependable electricity -> physical/legal/regulatory chain -> billable and collectible power,NextEra/FPL; Duke; AEP; MasTec; Sterling; Eaton; Quanta; GE Vernova,load; interconnection; capex; tariffs; contracts; recovery; billing determinants; OCF,"Safe claim: the theme explains a mechanism, not full named-cash proof."
ARPOWEX-002,power_is_permission,all three old dynamics,"The scarce asset is deliverable, reliable, contracted, permitted, financed, constructed, approved, billable, and collectible power at a specific place.",customer site need -> grid/service route -> capital/project work -> approved billing -> cash collection,utilities; contractors; equipment suppliers; generators; data centers,site-level service evidence; rate orders; customer contracts; in-service dates,Safe claim: power controls whether growth can happen at a location.
ARPOWEX-003,load_vs_deliverable_power,Grid's New Landlords,"Load growth is demand visibility, not proof that the system can deliver electricity to a named customer.",load request -> grid study -> generation/transmission/distribution need -> interconnection decision,Duke; AEP; NextEra/FPL; Exelon; Alliant; Entergy,customer load requests; interconnection studies; transmission plans; substation/equipment schedules,"Safe claim: load growth is the first step, not final proof."
ARPOWEX-004,data_centers_as_power_real_estate,AI Infrastructure Toll,"Data centers turn software demand into land, power, cooling, backup, fiber, equipment, contractors, and utility obligations.",AI workload -> data-center site -> power/cooling/buildout stack -> lease/service/tariff billing,Digital Realty; Equinix; Vertiv; Comfort Systems; EMCOR; Eaton; Generac; Duke; AEP,leased MW; power availability; PPA/ESA terms; capex; contractor backlog; rent commencement,"Safe claim: AI demand creates physical infrastructure demand, not automatic project returns."
ARPOWEX-005,outage_anxiety,Outage Anxiety Economy,"Reliability becomes a purchased product when the cost of losing electricity rises for households, hospitals, businesses, and data centers.",fear of interruption -> backup/resilience purchase -> equipment/install/service revenue -> cash collection,Generac; Sunrun; Cummins; Eaton; Trane; Comfort Systems; EMCOR,orders; storage attachment; installed systems; service revenue; margin; receivables; OCF,Safe claim: outage anxiety supports resilience demand but does not prove durable margin.
ARPOWEX-006,grids_new_landlords,Grid's New Landlords,"Owners of wires, interconnection rights, gas corridors, and regulated service territories can become unavoidable routes for growth.",site need -> corridor/service-territory owner -> tariff/contract/rate base -> customer payment,NextEra/FPL; Duke; AEP; Alliant; Williams; Energy Transfer; ONEOK; Kinder Morgan,tariff; contract duration; rate-base filing; throughput; load; billing volumes,"Safe claim: route control matters, but regulation and utilization risk shape cash capture."
ARPOWEX-007,regulated_recovery,Grid's New Landlords; Outage Anxiety Economy,Utility capex becomes valuable only when regulators allow recovery and customers pay through bills.,utility capex -> in-service asset -> approved factor or rates -> bill -> collection -> utility cash,NextEra/FPL; Duke; AEP; Exelon; Alliant; CenterPoint; Dominion; Southern,rate orders; riders; clauses; billing determinants; collections; OCF; earned return,Safe claim: regulated recovery is the bridge from asset to cash.
ARPOWEX-008,interconnection_queue,AI Infrastructure Toll; Grid's New Landlords,"Interconnection is where abstract demand becomes a study, queue position, cost allocation, timing problem, or service obligation.",customer/project request -> interconnection queue -> study fees/upgrades -> service agreement or delay,Duke; AEP; Alliant; NextEra; data-center utilities,queue data; study deposits; upgrade costs; reimbursement mechanics; ESA/PPA terms,"Safe claim: interconnection evidence upgrades demand, but still needs billing and receipt proof."
ARPOWEX-009,contractor_execution_capacity,AI Infrastructure Toll; Outage Anxiety Economy,"Contractors convert utility and data-center capital plans into physical work, but backlog must still become revenue and collected cash.",capital plan -> contractor award/backlog -> labor/materials -> progress billing -> revenue -> OCF,MasTec; Sterling; Quanta; EMCOR; Comfort Systems; Jacobs; Fluor,backlog/RPO; contract assets/liabilities; receivables; gross margin; labor availability; OCF,"Safe claim: contractor backlog is conversion evidence, not final cash proof."
ARPOWEX-010,equipment_bottlenecks,AI Infrastructure Toll; Outage Anxiety Economy,"Transformers, switchgear, turbines, generators, cooling, and controls can determine how fast the power buildout happens.",project need -> equipment order -> capacity/backlog -> shipment -> installation -> supplier revenue/cash,Eaton; GE Vernova; Vertiv; Powell; Hubbell; Generac; Cummins; Trane,orders; backlog; lead times; capacity expansion; shipments; inventory; margin; cash conversion,Safe claim: equipment demand can show a bottleneck without proving end-customer returns.
