metric_id,workbench_gate_id,source_id,company,proof_channel,form,period,metric_family,metric_label,metric_value,unit,current_status,source_anchor,what_it_says,what_it_does_not_say
CFPLFT-001,CFPGW-007,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Direct testimony,2025 final true-up,final true-up,final net true-up over-recovery including interest,16.579976,USD millions,final-trueup-visible,"Page 7 testimony states the final net true-up amount for January-December 2025 is an over-recovery including interest of $16,579,976.","FPL's 2025 SPPCRC recovery has moved from actual/estimated true-up to final true-up evidence.","It does not prove category-level shareholder earnings or project IRR."
CFPLFT-002,CFPGW-007,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Direct testimony,2027 factor calculation,forward recovery,final true-up included in next factor period,2027,year,forward-factor-use-visible,"Page 7 testimony says FPL requests the over-recovery be included in calculating SPPCRC factors for January-December 2027.","The final true-up is intended to affect a later customer-factor period.","It does not itself prove the 2027 factor approval or cash refund."
CFPLFT-003,CFPGW-007,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 1A,2025 final true-up,current-period recovery,current-period over-recovery before interest,10.068108,USD millions,final-period-recovery-visible,"Page 8 Form 1A lists current-period Over/(Under) Recovery of $10,068,108.","The final true-up filing shows the period ended in over-recovery before interest.","It is not a cash-flow statement or customer receipt ledger."
CFPLFT-004,CFPGW-007,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 1A,2025 final true-up,interest,final interest provision,-0.660146,USD millions,final-interest-visible,"Page 8 Form 1A lists Interest Provision of ($660,146).","The final true-up has an interest component, updating the earlier actual/estimated interest estimate.","It does not explain financing cost by project."
CFPLFT-005,CFPGW-007,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 1A,2025 final true-up,true-up amount,true-up amount to be refunded/recovered,9.407962,USD millions,final-trueup-visible,"Page 8 Form 1A lists True-Up Amount to be Refunded/(Recovered) of $9,407,962.","The final period true-up amount is visible before comparison to prior actual/estimated true-up.","It does not prove the refund or recovery has been billed."
CFPLFT-006,CFPGW-007,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 1A,2025 actual/estimated comparator,actual-estimated comparator,prior actual/estimated under-recovery before interest,6.200197,USD millions,approved-comparator-visible,"Page 8 Form 1A lists Actual/Estimated Over/(Under) Recovery for the same period of ($6,200,197).","The final filing reconciles against the actual/estimated amount previously approved in Order No. PSC-2025-0439-FOF-EI.","It does not independently provide the approval order PDF."
CFPLFT-007,CFPGW-007,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 1A,2025 actual/estimated comparator,actual-estimated comparator,prior actual/estimated true-up including interest,7.172014,USD millions,approved-comparator-visible,"Page 8 Form 1A lists Actual/Estimated True-Up Amount to be Refunded/Recovered of ($7,172,014).","This ties the final true-up to the earlier actual/estimated under-recovery extracted from the 2025 filing.","It does not prove actual final collections by customer class."
CFPLFT-008,CFPGW-007,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 2A,2025 final true-up,clause revenue,clause revenues net of revenue taxes,804.620369,USD millions,final-clause-revenue-visible,"Page 9 Form 2A lists Clause Revenues net of Revenue Taxes of $804,620,369.","Actual/final clause revenue is now visible and can be compared with prior actual/estimated clause revenue.","It is not category-level cash by project."
CFPLFT-009,CFPGW-007,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 2A,2025 final true-up,revenue requirement,total jurisdictional revenue requirements,729.233535,USD millions,final-revenue-requirement-visible,"Page 9 Form 2A lists Total Jurisdictional Revenue Requirements of $729,233,535.","Final jurisdictional revenue requirements are visible for the SPPCRC period.","It does not equal shareholder earnings."
CFPLFT-010,CFPGW-007,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 2A,2025 final true-up,period recovery,over-recovery line 5,10.068108,USD millions,final-period-recovery-visible,"Page 9 Form 2A lists Over/(Under) Recovery of $10,068,108 on line 5.","The line connects clause revenues applicable to period with final jurisdictional revenue requirements.","It does not prove the subsequent refund/recovery factor was approved."
