batch_id,pilot_id,lane,company,ticker,bridge_model,cash_realization_source_family,first_source_action,expected_cash_fields,current_proof_level,cash_realization_upgrade_test,disproof_test,next_artifact,safe_claim
CF519CR-001,CF519P2-001,private_credit_direct_lending,Kkr Co. Inc.,KKR,source-to-vehicle-to-borrower bridge,platform credit AUM plus vehicle and borrower schedules,extract current credit AUM Global Atlantic channel and borrower schedule links,AUM; vehicle assets; borrower fair value; facility target; bank role,lane-queue-candidate,Upgrade if platform source and borrower/vehicle schedules can be tied to named facility or borrower cash-use evidence,Treating KKR AUM as borrower cash allocation or bank replacement,capital-flow-private-credit-borrower-cash-use-source-target-pass-1.md,Use KKR as platform and vehicle channel candidate only.
CF519CR-002,CF519P2-002,private_credit_direct_lending,Apollo Global Management Inc.,APO,source-to-vehicle-to-borrower bridge,Athene credit assets and direct origination source stack,extract Athene-linked invested assets ABF direct origination and borrower destinations,invested assets; direct origination; ABF; spread earnings; borrower examples,lane-queue-candidate,Upgrade if liability or vehicle channel links to asset pools and borrower destinations with cash/spread context,Treating Athene liabilities as specific borrower funding without allocation evidence,capital-flow-private-credit-borrower-cash-use-source-target-pass-1.md,Use Apollo/Athene as channel evidence not exact liability-to-loan proof.
CF519CR-003,CF519P2-003,private_credit_direct_lending,Ares Management Corporation,ARES,source-to-vehicle-to-borrower bridge,direct-lending AUM and Ares borrower holder expansion refresh,refresh direct-lending origination borrower examples and same-period holder rows,AUM; direct lending commitments; borrower examples; holder rows; vehicle taxonomy,lane-queue-candidate,Upgrade if Ares platform evidence joins to source-taxonomized same-period borrower rows and facility-use documents,Treating holder fair value as total borrower debt,capital-flow-private-credit-borrower-cash-use-source-target-pass-1.md,Use Ares borrower rows as partial destination evidence.
CF519CR-004,CF519P2-004,private_credit_direct_lending,Blackrock Inc.,BLK,source-to-vehicle-to-borrower bridge,private markets credit and infrastructure debt source channels,extract private markets credit insurance/client source and portfolio schedule evidence,private markets AUM; credit AUM; insurance source; vehicle holdings; borrower examples,lane-queue-candidate,Upgrade if borrower or vehicle schedule evidence links BlackRock credit channel to named assets or cash use,Treating broad private-markets AUM as direct lending or borrower cash proof,capital-flow-private-credit-borrower-cash-use-source-target-pass-1.md,Use BlackRock as candidate source-channel evidence until borrower rows are extracted.
CF519CR-005,CF519P2-005,private_credit_direct_lending,Blackstone Inc.,BX,source-to-vehicle-to-borrower bridge,Credit and Insurance AUM plus vehicle deployment evidence,extract credit and insurance AUM SMA inflows direct lending inflows deployment and borrower examples,Credit and Insurance AUM; SMA inflows; direct lending inflows; deployment; vehicle rows,lane-queue-candidate,Upgrade if deployment joins to vehicle or borrower schedules with same-period cash-use context,Treating insurance SMA inflows as owned liabilities or borrower funding,capital-flow-private-credit-borrower-cash-use-source-target-pass-1.md,Use Blackstone as third-party insurance/client channel evidence.
CF519CR-006,CF519P2-006,insurance_and_retirement_capital,Unitedhealth Group Inc.,UNH,liability-to-asset-quality bridge,statutory investment income and portfolio quality schedules,search statutory filings invested assets investment income and reserve funding links,invested assets; investment income; realized gains; credit quality; liability source,lane-queue-candidate,Upgrade if liability-funded asset pool and investment income are visible with credit-quality controls,Treating insurance float or health reserves as private-credit source without statutory asset proof,capital-flow-insurance-retirement-cash-spread-source-target-pass-1.md,Use UNH only as insurance/asset-quality candidate until statutory extraction.
CF519CR-007,CF519P2-007,insurance_and_retirement_capital,The Cigna Group,CI,liability-to-asset-quality bridge,statutory investment income and reserve asset schedule,search annual/statutory investment schedules and credit quality tables,invested assets; net investment income; ratings; realized gains; reserve/liability context,lane-queue-candidate,Upgrade if investment income and asset-quality evidence can be tied to liability-funded asset pool,Treating broad insurer investment portfolio as private-credit borrower funding,capital-flow-insurance-retirement-cash-spread-source-target-pass-1.md,Use Cigna as liability-to-asset-quality candidate only.
CF519CR-008,CF519P2-008,insurance_and_retirement_capital,Metlife Inc.,MET,liability-to-asset-quality bridge,statutory Schedule D and investment spread evidence,extract portfolio composition ratings impairments investment income and liability segment context,book value; fair value; ratings; impairments; investment income; spread,lane-queue-candidate,Upgrade if statutory asset quality and spread income are visible for same-period liability pools,Treating MetLife AUM as borrower-level private-credit allocation,capital-flow-insurance-retirement-cash-spread-source-target-pass-1.md,Use MetLife as statutory asset-quality extraction candidate.
CF519CR-009,CF519P2-009,insurance_and_retirement_capital,Prudential Financial Inc.,PRU,liability-to-asset-quality bridge,statutory and segment investment income bridge,extract general account assets private credit/alternatives exposure ratings and investment income,general account assets; investment income; alternatives; ratings; impairments; liability segment,lane-queue-candidate,Upgrade if liability segment and investment cash/spread can be tied to asset quality,Treating general account asset mix as specific borrower funding,capital-flow-insurance-retirement-cash-spread-source-target-pass-1.md,Use PRU as statutory cash/spread candidate.
CF519CR-010,CF519P2-010,power_grid_and_project_finance,Oneok Inc.,OKE,source-use-output-return bridge,project capex throughput and contract cash bridge,extract named project capex completion volumes segment cash and contract support,project capex; completion; throughput; contract term; EBITDA/cash contribution,source-table/proxy-visible,Upgrade if named project links funding source asset build output and customer/shipper cash,Treating company EBITDA or capex as named-project return,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use ONEOK as project-source/output candidate with project-return gap.
CF519CR-011,CF519P2-011,power_grid_and_project_finance,Mastec Inc.,MTZ,backlog return/risk bridge,backlog burn customer funding and cash conversion evidence,extract backlog by segment revenue conversion cash after capex and customer funding proxy,backlog; revenue conversion; operating cash flow; capex; customer concentration; margin,source-table/proxy-visible,Upgrade if backlog turns into cash with margin and customer funding support,Treating backlog as fully funded or high margin without owner/cash proof,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use MasTec as backlog/cash proxy with owner funding gap.
