locator_id,linked_credit_rows,company,ticker,theme,subtheme,source_locator,source_family,period,document_or_event,filing_or_exhibit_status,retrieval_status,what_it_adds,what_it_does_not_add,next_action,claim_boundary
CICDL-001,"CICPF-001; CICPF-002; CICPF-003",Energy Transfer LP,ET,Capital-intensive buildout,Credit document pursuit,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-10q.html,local cached SEC 10-Q,Q2 2026,Five-Year Credit Facility description,cached-summary-available,available-local,"Confirms revolver capacity up to 5.00B USD until April 11 2027, 4.84B USD until April 11 2029, potential 7.00B USD accordion, and 1.21B USD outstanding borrowings including commercial paper.","Does not provide full credit agreement text, pricing grid, lender list, covenants, or project-level draw use.","Retrieve underlying Five-Year Credit Facility agreement/amendments and commercial paper backstop mechanics.","Do not call ET project financing proven from facility availability alone."
CICDL-002,"CICPF-004; CICPF-005",Energy Transfer LP,ET,Capital-intensive buildout,Debt issuance document pursuit,SEC accession 0001193125-26-024378 primary d64050d8k.htm,SEC 8-K candidate,2026-01-27,Item 1.01/2.03/9.01 8-K candidate for debt event,candidate-identified,download-blocked-by-sec-automated-tool-page,"Submission metadata identifies a filing likely tied to material definitive agreement/debt creation during the January notes window.","The document text was not retrieved locally, so no new terms can be extracted from it yet.","Retrieve with compliant SEC access or browser/manual source capture; extract agreement, underwriting, indenture, use-of-proceeds, and note terms.","Treat as a source target, not extracted evidence."
CICDL-003,"CICPF-004",Energy Transfer LP,ET,Capital-intensive buildout,Debt issuance document pursuit,SEC accession 0001193125-26-011876 primary d91877d8k.htm,SEC 8-K candidate,2026-01-13,Item 1.01/8.01/9.01 8-K candidate before January note issuance,candidate-identified,not-yet-retrieved,"Submission metadata identifies an earlier January 2026 financing-related candidate event.","No local document text has been extracted.","Retrieve and classify whether this is underwriting, note offering, redemption, or other financing disclosure.","Do not infer terms without the 8-K and exhibits."
CICDL-004,"CICPF-004; CICPF-005",Energy Transfer LP,ET,Capital-intensive buildout,Debt issuance document pursuit,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-10q.html,local cached SEC 10-Q,January 2026,January 2026 senior notes and redemption summary,cached-summary-available,available-local,"Confirms 3.00B USD of January 2026 senior notes and use of proceeds to refinance existing indebtedness, including commercial paper and Five-Year Credit Facility borrowings.","Does not provide indenture text, underwriter economics, covenants, or maturity-ladder impact beyond summarized terms.","Join Q2 10-Q summary to 8-K/indenture documents.","This is refinancing evidence, not named-project funding evidence."
CICDL-005,"CICPF-006; CICPF-007; CICPF-008",Cheniere Energy Inc.,LNG,Capital-intensive buildout,Entity debt document pursuit,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-10q.html,local cached SEC 10-Q,Q2 2026,SPL and CQP debt table,cached-summary-available,available-local,"Separates 5.027B USD SPL debt and 9.550B USD CQP debt and identifies 1.750B USD of long-dated CQP notes issued by Q2 2026.","Does not provide project-finance waterfalls, restricted payment rules, collateral, or train-level source-and-use schedules.","Retrieve SPL/CQP/CCH/parent facility and indenture documents linked from 8-K financing events.","Entity debt is stronger than company debt but still not train-level source-of-funds."
CICDL-006,"CICPF-008",Cheniere Energy Inc.,LNG,Capital-intensive buildout,CQP note document pursuit,SEC accession 0001193125-26-294777 primary d73800d8k.htm,SEC 8-K candidate,2026-07-02,Item 1.01/2.03/9.01 8-K candidate for CQP financing,candidate-identified,download-blocked-by-sec-automated-tool-page,"Submission metadata identifies a likely CQP financing event after Q2 close; relevant to long-dated note and facility mapping.","The document text was not retrieved locally, so no new terms can be extracted from it yet.","Retrieve with compliant SEC access and extract note amount, coupon, maturity, guarantors, covenants, and use of proceeds.","Do not use candidate metadata as proof of terms."
CICDL-007,"CICPF-008; CICPF-009",Cheniere Energy Inc.,LNG,Capital-intensive buildout,Facility and note document pursuit,SEC accession 0001193125-26-263943 primary d318413d8k.htm,SEC 8-K candidate,2026-06-09,Item 1.01/9.01 8-K candidate,candidate-identified,not-yet-retrieved,"Submission metadata identifies a June 2026 material definitive agreement candidate inside the Cheniere financing window.","No source text has been extracted locally.","Retrieve and classify whether it relates to CQP, SPL, CCH, parent revolver, note issuance, or commercial agreement.","Do not assign to a project before document text is read."
CICDL-008,"CICPF-009; CICPF-010",Cheniere Energy Inc.,LNG,Capital-intensive buildout,Facility and project-finance pursuit,SEC accession 0001193125-26-115956 primary d105636d8k.htm,SEC 8-K candidate,2026-03-19,Item 1.01/2.03/9.01 8-K candidate,candidate-identified,not-yet-retrieved,"Submission metadata identifies a debt-agreement and debt-obligation candidate in the 2026 buildout window.","No local document text has been extracted.","Retrieve and join to H1 growth-capex equity/non-equity split.","The remaining 75.2% non-equity-funded H1 growth capex remains unresolved."
CICDL-009,"CICPF-011; CICPF-012; CICPF-015",United Rentals Inc.,URI,Capital-intensive buildout,ABL and AR securitization document pursuit,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html,local cached SEC 10-Q,Q2 2026,URI debt table with AR securitization and ABL,cached-summary-available,available-local,"Confirms 1.414B USD AR securitization facility balance, 1.666B USD ABL facility balance, 971M USD term loan, and 9.823B USD senior-note carrying amount.","Does not provide ABL borrowing base, collateral pool, advance rates, AR securitization trust details, or facility availability bridge.","Retrieve ABL amendments, AR securitization amendments, borrowing-base language, and collateral terms.","Do not call facility balances fleet-source-and-use proof."
CICDL-010,"CICPF-011; CICPF-012",United Rentals Inc.,URI,Capital-intensive buildout,ABL and AR securitization document pursuit,"raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-06-18-8k.html; raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-06-18-ex10-1-receivables-purchase-amendment.html",SEC 8-K and Exhibit 10.1,2026-06-18,Item 1.01/2.03/9.01 8-K and receivables purchase amendment,retrieved-and-extracted,agreement-terms-extracted,"Actual 8-K and Exhibit 10.1 now identify the receivables facility extension, 1.500B USD purchase limit, named bank commitments, reserve formulas, and termination tests.","This resolves the URI AR securitization document blocker but still does not retrieve the ABL agreement, borrowing-base certificates, monthly reports, or fleet source-and-use bridge.","Use URI receivables purchase agreement mechanics pass, then retrieve ABL agreement and collateral reports.","Do not call AR securitization mechanics full ABL borrowing-base proof."
