workbench_id,priority,theme,company_or_lane,current_state,source_to_pull_next,fields_to_extract,claim_it_would_support,failure_or_boundary,output_artifact_needed,status
ARTEW-001,1,Capital platforms,BlackRock / HPS,platform-scale-extracted-with-boundary,"BlackRock latest 10-K, latest 10-Q, earnings supplement, HPS acquisition/integration disclosures, private-markets segment disclosures","AUM, net inflows, fee-earning AUM, advisory fees, technology services revenue, private-market data/workflow, HPS client AUM, HPS fee-paying AUM, fee rate",BlackRock is not only passive index exposure; it is a portfolio operating system with growing private-market and credit routing capacity.,"Public-market AUM and technology revenue do not prove a named borrower, asset use, or final cash return.",annual-report-blackrock-capital-platform-extraction-pass-1.md,completed-platform-scale-hold-for-named-borrower-proof
ARTEW-002,1,Capital platforms,Apollo / Athene statutory continuation,source-visible-with-boundary,"Athene statutory annual statement schedules, Schedule D, Schedule BA, investment income pages, cash-flow pages, named issuer support","Legal entity, asset row, CUSIP, book value, fair value, income, proceeds, maturity/sale, policy liabilities, spread earnings",Retirement liabilities can be traced into named credit instruments more concretely than broad AUM data can.,Even same-CUSIP rows do not prove borrower receipt or parent-level final return without waterfall and allocation support.,capital-flow-apollo-athene-statutory-named-asset-income-next-dig-pass-2.md,queued-open
ARTEW-003,1,Capital platforms,KKR / Global Atlantic statutory continuation,source-visible-with-boundary,"Global Atlantic or Accordia statutory filings, Schedule D/BA, investment income schedules, KKR 10-Q and supplement","Insurance AUM, credit AUM, legal-entity invested assets, income by asset type, named holdings, proceeds, liability cost",KKR has an insurance-linked credit route that can be tested like Apollo/Athene.,AUM and credit allocation are not enough without legal-entity row evidence and asset-income support.,capital-flow-kkr-global-atlantic-statutory-asset-income-pass-1.md,queued-open
ARTEW-004,1,Capital platforms,Blackstone Credit and Insurance borrower follow-through,source-visible-with-boundary,"Blackstone earnings materials, BXSL and BCRED filings, schedule of investments, non-accrual schedules, investment activity tables","Credit AUM, inflows, deployment, borrower rows, fair value, cost, yield, seniority, industry, repayments, non-accruals",Blackstone routes insurance and private-wealth capital into credit and asset-based finance at scale.,"Credit platform scale does not prove borrower use, collateral performance, or realized return.",capital-flow-blackstone-credit-borrower-followthrough-pass-1.md,queued-open
ARTEW-005,1,Power scarcity,FPL / NextEra billed-cash bridge,source-visible-with-boundary,"Florida PSC SPPCRC actual/estimated filings, factor orders, billing determinants, clause revenue schedules, NextEra cash-flow statement","Rate factors, billing units, actual clause revenue, true-up, recoverable cost, capex, regulatory asset, operating cash flow",FPL is the best route from power-grid spending to regulated customer recovery.,Approved recovery still does not equal actual collected customer cash without billing and collection support.,capital-flow-fpl-billed-cash-recovery-bridge-pass-1.md,queued-open
ARTEW-006,1,Power scarcity,Duke / AEP approved recovery comparison,source-visible-with-boundary,"Duke and AEP annual reports, rate case orders, rider filings, FERC transmission tariff material","Capex, rate base, allowed ROE, rider revenue, transmission investment, customer load, operating cash flow","Power scarcity can be tested through regulated recovery, not only load forecasts.","Utility capex can fail if regulators disallow cost, load does not arrive, or recovery lags financing cost.",capital-flow-duke-aep-recovery-comparison-pass-1.md,queued-open
ARTEW-007,1,Energy affordability and supply route,Energy Transfer asset route proof,source-visible-with-boundary,"Energy Transfer 10-K/10-Q, earnings supplement, tariff filings, open-season or contract disclosures, project pages","Volumes, tariff/fee, contracted capacity, expansion capex, EBITDA, DCF, debt, project contribution",Midstream energy demand becomes cash when molecules move through contracted or tariffed assets.,Company-level DCF does not prove a named project return without route revenue and project debt support.,capital-flow-energy-transfer-route-cash-proof-pass-1.md,queued-open
ARTEW-008,1,Energy affordability and supply route,Cheniere train cash waterfall,source-visible-with-boundary,"Cheniere 10-K/10-Q, LNG sale contracts, project-finance debt schedules, DOE cargo reports, train capacity updates","Train capacity, contracted volume, cargoes, LNG revenue, EBITDA, debt service, DSCR, distributions",LNG is one of the clearest routes from physical output to contract-backed cash generation.,Cargo and EBITDA evidence still needs entity waterfall and debt-service reconciliation.,capital-flow-cheniere-train-cash-waterfall-pass-2.md,queued-open
ARTEW-009,2,Value retail,Costco household pressure packet,value-access-extracted-with-boundary,"Costco 10-K, annual report, quarterly release, membership disclosures","Membership fees, net sales, net sales growth, total revenue, net income, comparable sales, adjusted comparable sales, digitally enabled comparable sales, renewal/traffic fields still needed",Households pay for trusted low-regret bulk value even when budgets are pressured.,Membership strength does not prove every category is healthy or that low price protects margin forever.,annual-report-costco-value-retail-extraction-pass-1.md,completed-value-access-hold-for-renewal-traffic-cash-quality
ARTEW-010,2,Value retail,Walmart basket consolidation packet,retail-ecosystem-extracted-with-boundary,"Walmart 10-K, annual report, segment tables, e-commerce and advertising disclosures","Revenue growth, adjusted profit growth, eCommerce growth, advertising growth, Walmart Connect growth, membership fee income growth, operating cash flow, free cash flow, traffic/basket fields still needed",Walmart shows households consolidating essential and discretionary spending into one scale platform.,"Sales growth can hide margin pressure, fulfillment losses, or customer stress.",annual-report-walmart-value-retail-extraction-pass-1.md,completed-ecosystem-hold-for-traffic-basket-margin-quality
