claim_id,theme,subtheme,current_status,promoted_claim,do_not_say_yet,strongest_evidence,missing_evidence,promotion_test,disproof_test,next_artifact,priority
PCO-001,Cross-lane governance,Full capital-flow chain,working,"The capital-flow thesis should be proven as a chain from capital source to funding vehicle to company to asset or backlog to operating output to cash return to durability to safe claim.","The full chain has already been proven across all sectors and companies.","Big-picture remaining-work map defines the 12 proof layers and current dashboards track status buckets.","Company-role taxonomy, funding-wrapper classification, asset/project registry, and durability time series are still incomplete.","Promote only after repeated source-to-use-to-output evidence exists across multiple sectors and outside denominators support the scale claim.","Evidence remains anecdotal, single-company, or contradicted by denominators.","capital-flow-company-role-taxonomy-pass-1.md",high
PCO-002,Private-credit platforms,Direct lending at scale,financed,"Ares and other alternative managers are large credit-routing platforms with measurable AUM, direct-lending AUM, deployment, and borrower examples.","Private credit is broadly replacing banks across lending markets.","Ares Q2 2026 platform rows show 671.319B USD AUM, 440.544B USD Credit Group AUM, 285.725B USD U.S. plus European direct-lending AUM, and 8.2B USD Q2 U.S. direct-lending commitments across 69 transactions.","Lane-matched bank denominator comparisons and repeated borrower-level bank-facility termination cases.","Promote broader share-take only when private-credit growth is matched to shrinking or displaced bank credit in the same borrower lanes.","Bank credit grows in the same lanes or banks remain agent/revolver/ancillary lenders after private-credit loans close.","capital-flow-bank-private-credit-lane-share-pass-1.md",high
PCO-003,Private-credit platforms,Borrower-level destination proof,financed,"Private credit reaches named borrowers in identifiable industries, and several borrower exposures are visible in SEC-filed holder schedules.","Visible BDC fair value equals total borrower debt or total facility size.","Atwell, AeriTek, Frontline, MAI, Precinmac, Relation, Sunvair, and Valcourt crosswalks show borrower-level debt or commitment rows across BDC and private-credit vehicles.","Full facility sizes, lender groups, use-of-proceeds, and direct mapping from holder rows to transaction facilities.","Promote facility-size claims only when the total facility is disclosed or reconstructed from complete documents.","Partial holder rows are mistaken for total debt or cannot be linked to the relevant transaction.","capital-flow-borrower-facility-size-reconstruction-pass-1.md",high
PCO-004,Private-credit platforms,Bank replacement,approved-for-isolated-cases,"Specific borrower-level bank-facility takeout can be proven in selected cases such as Auctane/Stamps.com, while broad bank replacement remains unproven.","Banks are disappearing from corporate lending.","Auctane/Stamps.com closing 8-K confirms termination of a prior credit agreement naming Wells Fargo, JPMorgan Chase Bank, and Bank of America; Medallia has repayment evidence.","Repeated cases across borrower lanes plus post-close bank-role maps and lane-matched bank denominators.","Promote pattern language only after multiple borrower cases show prior bank repayment or termination and new lender-role evidence.","Borrower documents show bank coexistence, agent roles, revolvers, treasury services, or no actual bank-facility repayment.","capital-flow-bank-replacement-pattern-proof-pass-1.md",high
PCO-005,Insurance and retirement capital,Liability-to-credit channel,financed,"Apollo/Athene, KKR/Global Atlantic, Brookfield, and Blackstone show a measurable insurance or retirement-linked credit supply channel.","All insurance assets are private credit or all insurance risk has moved outside banks.","Apollo/Athene invested assets and inflows; KKR/Global Atlantic credit AUM and insurance investments; Brookfield allocation rows; Blackstone insurance SMA inflows.","Statutory Schedule D/BA, NAIC designations, capital and surplus, rating reports, impairments, affiliated investment detail, and borrower destination links.","Promote quality and borrower-destination claims only when liability scale, asset allocation, and credit quality are quantified in the same period.","Statutory data shows mostly public investment-grade exposure, weak capital, impairments, or immaterial private-credit allocation.","capital-flow-insurance-statutory-quality-pass-1.md",high
PCO-006,Power grid and project finance,Customer-backed load,filed,"Some large-load and power-demand evidence has moved into tariffs, ESAs, dockets, and utility planning processes.","AI demand has already created fully funded in-service power assets everywhere.","AEP Ohio and Duke materials include tariff, LOA, ESA, collateral, minimum-demand, exit-fee, generation procurement, and docket evidence.","Operating-company project status, MW, dollar capex, customer identity where allowed, recovery mechanism, approval status, and in-service timing.","Promote project-grade load claims only when demand is tied to approved project dollars, MW, contracts, and recovery mechanism.","Load pipeline is cancelled, speculative, not approved, or not tied to recoverable project spend.","capital-flow-power-load-project-status-pass-1.md",high
PCO-007,Utilities,Regulated recovery,filed,"Utilities can fund approved assets with debt/equity and recover costs from customers when regulators authorize rate-base or rider treatment.","Every utility capex dollar is recoverable at attractive returns.","Utility denominator maps and dockets show rate-base, capex, rider, and approval entry points for selected companies and jurisdictions.","Rate-case orders, allowed ROE, capital structure, rider mechanics, regulatory lag, disallowances, and customer bill impacts.","Promote recoverable-capital claims only by jurisdiction and docket after approval or clear rider mechanism exists.","Regulators deny recovery, lower allowed ROE, impose disallowances, or delay cost recovery.","capital-flow-utility-recovery-mechanism-pass-1.md",high
PCO-008,Energy infrastructure,Midstream and LNG buildout,company-entity-output-visible,"ET and Cheniere show capital flowing into identifiable energy infrastructure, LNG cargo conversion, export capacity, debt stacks, contracted production, and bounded physical-output evidence; Cheniere has the strongest partial entity/cargo bridge.","Project-level source-of-funds, returns, and customer economics are fully proven for every named asset.","ET/Cheniere source-table, annual baseline, DOE LNG cargo, EIA export denominator, credit/debt extraction rows, and energy project source-use-return pass.","Named-project cost, financing source, use allocation, FERC/train status, customer contract economics, entity waterfall, debt service, and return evidence.","Promote project-and-cash-grade claims only when project cost, funding, physical output, customer economics, debt service, and waterfall controls are joined.","Capex is maintenance, project delayed, customer economics weak, output cannot be attributed, or funding cannot be tied to the named project.","capital-flow-energy-project-source-use-return-pass-1.md",high
PCO-009,Industrial buildout,Fleet-access capital absorption,filed-to-cash-converting,"United Rentals is a fleet-access capital absorber with visible fleet OEC, rental capex, operating cash flow, used-equipment proceeds, and collateralized funding stack.","All URI fleet capex is high-return growth capex or fully collateral-protected funding.","URI annual/Q2 source rows show OEC, rental capex, operating cash flow, fleet productivity, liquidity, ABL, AR securitization, and debt stack evidence.","Borrowing-base detail, advance rates, eligible collateral, fleet utilization, fleet mix, maintenance/growth split, and loss/liquidation assumptions.","Promote collateral-grade claims only after borrowing-base and fleet-collateral details are extracted.","Fleet productivity weakens, utilization falls, collateral eligibility is lower than assumed, or capex is mostly replacement.","capital-flow-uri-borrowing-base-fleet-collateral-pass-1.md",high
PCO-010,Industrial buildout,Customer-project execution backlog,conversion-supported-with-boundary,"Sterling is a conversion-supported customer-project execution and acquisition platform whose funding need is timing, retainage, bonding/L/C support, working capital, capex, acquisitions, and backlog conversion.","Sterling's entire backlog is fully customer-funded, non-cancellable, organic, high-margin, and risk-free.","Sterling agreement-term, customer-funding, covenant-cushion, eight-quarter conversion, acquired-versus-organic, L/C/surety, and backlog credit-platform conversion passes show 1.500B USD revolver, 600M USD L/C sublimit, 646.306M USD Q2 2026 net contract-liability timing, RPO growth from 2.055081B USD to 4.233618B USD, positive quarterly OCF less capex across the eight-quarter table, and 2.56B USD of CEC/Stone Ridge acquired signed and unsigned backlog visibility.","Actual post-reset L/C usage, bonded backlog, formal covenant calculations, project-owner source-of-funds, margin by project, cancellation economics, and source-to-project credit allocation.","Promote project-source-grade claims only when customer funding, L/C/surety usage, backlog conversion, project margin, and cash data are visible by project or segment.","Backlog fails to convert, unsigned awards do not become contracts, working-capital reverses, or acquired backlog is low-margin.","capital-flow-sterling-backlog-credit-platform-conversion-pass-1.md",high
PCO-011,Funding-wrapper theory,Funding type follows asset type,hypothesis-strengthened,"Funding type appears to follow asset type: networks, contracted LNG entities, reusable collateral, backlog platforms, and regulated assets use different funding wrappers.","Funding reason is proven for every company or every project.","Funding-type hypothesis map, filed-credit term summary, agreement extraction, URI/Cheniere/ET/Sterling evidence, and Sterling wrapper/cushion passes.","More companies classified by wrapper; covenant/collateral/waterfall/recovery proof; disproof tests by funding type.","Promote theory as pattern-proven only after multiple examples per wrapper have source-backed collateral/cash-flow/recovery logic.","Funding wrappers do not line up with collateral quality, legal separability, contracted cash flows, or recovery mechanisms.","capital-flow-funding-wrapper-classification-pass-1.md",high
