answer_id,question,current_answer,proof_level,strongest_evidence,what_changed_after_followups,boundary,next_test,show_page,safe_claim
CFPGAS2-001,Does the first power/grid pilot prove capital-to-operating-return conversion?,"No. It proves multiple bridge layers toward operating return, but not full project-level return.",bridge-evidence-visible,"25 source-table rows; extracted metric/status/bridge rows across priority-1, gap-closure, FPL/NextEra follow-up, Plains commercial-durability, FPL category, factor/WACC, final true-up, factor-order, project-detail, earnings/cash bridge, category-attribution bridge, Distribution Inspection attribution, Distribution Inspection component extraction, and remaining-source passes; 20 task proof-status rows.","FPL now has final factor-order authorization, AP-1/AP-2 physical-output evidence, FPL-wide earnings/cash context, Distribution/Transmission Inspection category-output-recovery bridge rows, and Distribution Inspection equity/debt/depreciation component attribution, but no SPPCRC customer-receipt or financing-source proof.","Project-level capex, realized revenue, customer receipts, customer price, financing, cash flow, earnings, and debt-service waterfall are still missing.","Build project/category tables that tie asset capex to tariff/PPA/revenue requirement, output, and realized cash flow.",/cluster/capital-flow-power-grid-pilot-proof-status-dashboard-pass-1.md,"The pilot supports operating-return bridge evidence, not full project-return proof."
CFPGAS2-002,What is the clearest positive answer so far?,Regulated utility recovery is the clearest path from capital need to customer-charge and physical-output mechanics; FPL now decomposes Distribution Inspection final recoverable expense and adds Form 8A capital-structure support.,category-output-recovery-with-component-and-capital-structure-attribution-partial,"FPL PSC order, settlement exhibit, SPPCRC filing, final factor order PSC-2025-0439-FOF-EI, AP-1/AP-2 project detail, Q2 2026 FPL-wide earnings/cash bridge, Distribution/Transmission Inspection category-attribution bridge, Distribution Inspection component extraction, AEP/Duke approved-recovery bridge, tariff/docket rows.","FPL moved beyond source discovery into category attribution: Distribution Inspection and Transmission Inspection now line up AP-1 project counts and costs with final category recovery, factor-order authorization, WACC support, and FPL-wide cash/earnings context.","FPL still lacks Distribution Inspection customer receipts, source-of-funds allocation, full project-level asset IDs, and realized return.","Search for category receipts by rate class, financing-source support, AP-1 row-level project detail, and workpaper notes explaining final-vs-actual/estimated schedule differences.",/cluster/capital-flow-fpl-distribution-inspection-receipts-financing-boundary-pass-1.md,"Utility recovery can be document-extracted through category output, recovery rows, and component attribution, but customer cash and financing source still have to be reconciled."
CFPGAS2-003,Does power/grid demand convert into customer-backed infrastructure evidence?,"Partially. NextEra/Meta and AEP/Duke show customer/tariff gates, but price and project economics are still hidden.",named-customer-and-tariff-gate-visible,Meta clean-energy release; NextEra Q1 2026 SEC exhibit; AEP/Duke approved-recovery bridge; FPL large-load/rate-case materials.,"NextEra Energy Resources now has named customer contract evidence: 2.5 GW, 11 PPAs, 2 ESAs, 13 projects, ERCOT/SPP/MISO, and PNM Rate 36B support.","Customer name, project count, and MW/GW do not prove PPA price, margin, financing, or debt service.","Find PPA/ESA filings, interconnection queues, project finance records, utility tariff riders, and customer-specific regulatory filings.",/cluster/capital-flow-power-grid-followup-metric-extraction-pass-1.md,"Customer-backed output evidence is visible, but economics remain below return-grade."
CFPGAS2-004,Does Plains Cactus III prove commercial durability?,"Partially. It now has an exact tariff route/rate and SEC acquisition-control evidence, but not committed shipper economics.",tariff-rate-and-acquisition-stack-visible,Texas RRC tariff TX 3.6.0; Plains SEC 2025 10-K Cactus III acquisition and control rows.,Plains moved from failed company-PDF tariff test to state-tariff-rate-visible and acquisition-capital-stack-visible.,The 178.98 cents-per-barrel tariff is not realized average revenue; negotiated-rate language does not prove executed term agreements.,"Search Cactus III committed/uncommitted tariff distinctions, transportation agreements, open-season results, realized volume/rate disclosures, and post-acquisition contribution.",/cluster/capital-flow-plains-commercial-durability-extraction-pass-1.md,"Cactus III has official tariff and acquisition evidence, not committed-shipper or project-return proof."
CFPGAS2-005,Which companies are closest to full operating-return proof?,FPL is closest on recovery mechanics and same-period output; Plains is closest on tariff/acquisition stack; NextEra Energy Resources is closest on named customer backlog; ONEOK and MasTec remain bridge-visible but less legally closed.,ranked-frontier-visible,FPL/NextEra follow-up metric extraction; Plains commercial durability extraction; ONEOK/MasTec gap-closure extraction; proof-status dashboard.,"The leading edge shifted from generic power/grid metrics to three sharper lanes: regulated recovery with physical output, tariffed midstream movement, and named customer clean-energy contracts.","Closest does not mean complete; each still lacks at least one of project capex, price, financing, cash flow, or debt-service proof.",Score each company by source/use/output/cash/recovery/durability fields after adding project-level records.,/cluster/capital-flow-operating-return-frontier-pass-1.md,"The best candidates are identifiable, but none has reached full project-return-grade proof."
CFPGAS2-006,What did the company earnings PDFs fail to answer?,"They exposed capex, backlog, capacity, volumes, and segment metrics, but often stopped before tariff, docket, customer, contract, and project-return evidence.",company-pdf-boundary-proven,Priority-1 metric extraction pass and proof-status dashboard.,"The follow-up passes showed that missing proof lives in regulator, SEC exhibit, tariff, and customer-contract sources rather than only quarterly PDFs.","This is a source-package boundary, not evidence that the economics do not exist.","For every failed/partial company-PDF row, add the official external source class required to close it.",/cluster/capital-flow-power-grid-pilot-followup-source-route-map-pass-1.md,Company PDFs are necessary but insufficient for project-return proof.
CFPGAS2-007,What is now disproven or corrected?,The pilot disproves the shortcut that capacity/backlog/capex equals return. It also corrects the idea that one source class can prove the whole chain.,overclaim-corrected,"Claims-not-to-make sections across priority extraction, gap closure, proof-status, FPL/NextEra, and Plains pages.","Follow-up extraction strengthened the evidence while keeping the forbidden claims intact: no full project returns, no implied committed shippers, no assumed PPA pricing, no blanket recovery.",This does not disprove eventual returns; it only blocks premature claims.,Attach a disproof test to each next extraction row: what would falsify the claim or keep it below promotion?,/cluster/capital-flow-power-grid-pilot-proof-status-dashboard-pass-1.md,The research is stronger because it can say what not to claim.
CFPGAS2-008,What mechanism is emerging across the pilot?,"Capital becomes investable evidence only when it enters a recoverable, contracted, tariffed, or physically measurable channel.",mechanism-visible,FPL recovery order/settlement; NextEra/Meta PPAs/ESAs; Plains tariff and acquisition stack; ONEOK volume/capex; MasTec backlog/cash/contract-liability rows.,"The mechanism sharpened from broad power/grid demand into four proof channels: regulatory recovery, named customer contracts, tariffed movement, and operating-output denominator.",Mechanism evidence is not enough without economics and time-series durability.,"Build comparable rows for recovery, contract, tariff, and output channels across more companies in the 35-company pilot.",/cluster/capital-flow-power-grid-pilot-answer-synthesis-pass-2.md,The pilot now has a mechanism hypothesis that can scale.
CFPGAS2-009,What remains the highest-value open question?,Can Distribution Inspection or Transmission Inspection convert from category-output-recovery bridge visible into SPPCRC category-level realized return proof?,open-hard-question,"Proof-status dashboard still shows 11 partial and 9 not-attempted tasks, with zero full project-return passes.",The easy missing-source problem is partly solved; the remaining problem is deeper economics.,The next evidence may be unavailable publicly or may require multiple filings stitched together.,"Start with Distribution Inspection: reconcile AP-1 193199 projects and 61.5M USD actual capital cost to 15.942971M USD final recovery, then find depreciation/tax/AFUDC/return, customer collections, and financing source.",/cluster/capital-flow-power-grid-pilot-proof-status-dashboard-pass-1.md,The next frontier is not more FPL source discovery; it is cash and earnings conversion.
CFPGAS2-010,What should be done next?,"Use the Distribution Inspection attribution, component, and receipts/financing boundary tables to pursue category customer receipts and source-of-funds allocation, then test committed shipper economics for Plains and project economics for NextEra/Meta.",next-work-ready,"Follow-up source route map plus extracted FPL/NextEra, Plains, Distribution Inspection attribution, and Distribution Inspection component extraction passes.",The research now has enough extracted facts to design a narrower project-return workbench instead of broad searching.,"A workbench may still end with no full pass if public sources omit cash collection, financing allocation, pricing, or project-level economics.","Search for SPPCRC rate-class billing determinants, later collection schedules, financing-source support, AP-1 row-level project detail, Plains shipper economics, and NextEra/Meta project economics.",/cluster/capital-flow-power-grid-pilot-answer-synthesis-pass-2.md,"The next executable step is a missing-source search for customer cash and financing allocation, not another broad source route map."
