extraction_id,company,ticker,period,field,value,unit,source_anchor,what_it_proves,boundary,claim_status
ARDVCSA-001,DaVita Inc.,DVA,FY2025,total revenue,13.643,B USD,analysis/company-first-principles/healthcare/specialized-health-services/davita-inc/company-analysis.md; extracted/healthcare/specialized-health-services/davita-inc/company-packet.md,DaVita has large recurring treatment scale.,"Revenue does not prove patient outcomes, reimbursement quality, payer mix, or clean cash collection.",recurring-treatment-scale-visible
ARDVCSA-002,DaVita Inc.,DVA,FY2025,operating income,2.044,B USD,analysis/company-first-principles/healthcare/specialized-health-services/davita-inc/company-analysis.md; extracted/healthcare/specialized-health-services/davita-inc/company-packet.md,The treatment model produced visible operating profit.,"Operating income does not prove treatment-level margin, site-level return, or patient access quality.",operating-profit-visible-with-boundary
ARDVCSA-003,DaVita Inc.,DVA,Q4 2025,operating cash flow,541,M USD,extracted/healthcare/specialized-health-services/davita-inc/company-packet.md; extracted/healthcare/specialized-health-services/davita-inc/company-profile.md,The model was converting operating activity into cash at year end.,"Quarterly operating cash flow does not allocate cash to centers, payer classes, or treatment types.",operating-cash-flow-visible-with-boundary
ARDVCSA-004,DaVita Inc.,DVA,Q1 2026,revenue,3.416,B USD,extracted/healthcare/specialized-health-services/davita-inc/company-packet.md; extracted/healthcare/specialized-health-services/davita-inc/company-profile.md,The business entered 2026 with a large quarterly revenue base.,Revenue does not prove commercial mix durability or reimbursement adequacy.,quarterly-revenue-visible
ARDVCSA-005,DaVita Inc.,DVA,Q1 2026,operating income,482,M USD,extracted/healthcare/specialized-health-services/davita-inc/company-packet.md,Quarterly operating profit was visible.,"Operating income can weaken if labor, reimbursement, utilization, or payer mix deteriorate.",q1-operating-income-visible-with-boundary
ARDVCSA-006,DaVita Inc.,DVA,Q1 2026,operating cash flow,321,M USD,extracted/healthcare/specialized-health-services/davita-inc/company-packet.md,Cash generation was visible in the first quarter.,Operating cash flow does not prove treatment-level collections or free cash flow after capex.,q1-operating-cash-flow-visible-with-boundary
ARDVCSA-007,DaVita Inc.,DVA,Q1 2026,U.S. treatments per day,91650,count,analysis/company-first-principles/healthcare/specialized-health-services/davita-inc/company-analysis.md; extracted/healthcare/specialized-health-services/davita-inc/company-packet.md; extracted/healthcare/specialized-health-services/davita-inc/company-profile.md,Repeated treatment volume is the core demand unit.,"Treatments per day do not prove clinical quality, outcomes, authorization success, or payment collection.",treatment-density-visible-with-boundary
ARDVCSA-008,DaVita Inc.,DVA,Q2 2026,revenue,3.554,B USD,analysis/company-first-principles/healthcare/specialized-health-services/davita-inc/company-analysis.md; extracted/healthcare/specialized-health-services/davita-inc/company-packet.md; extracted/healthcare/specialized-health-services/davita-inc/company-profile.md,Revenue remained large in the latest local quarter.,"Current-quarter revenue does not prove payer mix, patient affordability, or future reimbursement durability.",q2-revenue-visible
ARDVCSA-009,DaVita Inc.,DVA,Q2 2026,operating income,579,M USD,analysis/company-first-principles/healthcare/specialized-health-services/davita-inc/company-analysis.md; extracted/healthcare/specialized-health-services/davita-inc/company-packet.md; extracted/healthcare/specialized-health-services/davita-inc/company-profile.md,Operating profit improved versus Q1 in the local packet.,Operating income does not prove care quality or site-level cash returns.,q2-operating-income-visible-with-boundary
ARDVCSA-010,DaVita Inc.,DVA,Q2 2026,operating cash flow,490,M USD,analysis/company-first-principles/healthcare/specialized-health-services/davita-inc/company-analysis.md; extracted/healthcare/specialized-health-services/davita-inc/company-packet.md,Operating cash flow remained visible in the latest local quarter.,"Operating cash flow still needs receivables, capex, debt, and center-level reconciliation before cash-proof use.",q2-operating-cash-flow-visible-with-boundary
ARDVCSA-011,DaVita Inc.,DVA,Q2 2026,U.S. treatments per day,92649,count,extracted/healthcare/specialized-health-services/davita-inc/company-profile.md,Treatment density remained visible and slightly higher than Q1.,Treatment growth can still be too modest to offset reimbursement pressure or labor inflation.,q2-treatment-density-visible-with-boundary
ARDVCSA-012,DaVita Inc.,DVA,Q2 2026,risk-based patients and annualized medical spend,64900 patients / 5.8B,count / B USD,analysis/company-first-principles/healthcare/specialized-health-services/davita-inc/company-analysis.md; extracted/healthcare/specialized-health-services/davita-inc/company-packet.md,"DaVita is also participating in total-cost kidney-care coordination, not only in-center dialysis sessions.","Risk-based patient count and medical spend do not prove risk-contract profitability, outcomes, or lower total cost.",risk-based-kidney-care-visible-with-boundary
