parser_row_id,schedule,page,cusip_or_identifier,name_and_raw_terms,naic_designation_detected,asset_type_guess,first_numeric_values,current_status,proof_use,boundary
CFAASPP-001,Schedule BA Part 1,5813,00264#-AA-5,"AP Aristotle Holdings LLC Aristotle Junior 0% Perpetual 0.000% 09/30/24 ...................... .......... WIlmington .......................... ......... DE......... Tax Free Exchange ........................... ......... .......... ....02/28/2025 ... ....... ....... ...... 16,122,455 ...... 10,783,834 ...... 10,783,834 ...... (5,338,621) ................. ................. ................. ................. ................. ................. ......0.000",,affiliated_or_apollo_related,"16,122,455; 10,783,834; 10,783,834; (5,338,621)",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-002,Schedule BA Part 1,5813,G2973#-AB-4,"AP Chia Issuer LLC AP Chia PERP NC10 JR Notes 0.000% 04/14/25 ..................................... .......... ...................................... .........CYM........ ................................................. ......... .......... ....05/29/2025 ... ....... ....... ..........118,042 ..........112,655 ..........111,779 ........... (6,262) ..........9,118 ................. ................. ................. .............(24)................. ......0.000",,affiliated_or_apollo_related,"(6,262)",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-003,Schedule BA Part 1,5813,G2971@-AA-0,"AP Pistachio LP Pistachio Jr Secured Perp Nts 0.000% 04/01/88 ..................................... .......... ...................................... .........CYM........ Transfer from Schedule D .................. ......... .......... ....01/01/2025 ... ....... ....... ........3,944,526 ........4,425,152 ........4,291,472 ................... ................. ................. ................. ........346,946 ................. ................. ......0.000 0499999. Debt securities that do not qualify as bonds - debt securities that do not reflect a creditor relationship in substance - NAIC Designation not assigned by the SVO - affiliated 20,185,023 15,321,641 15,187,085 (5,344,883) 9,118 3",,affiliated_or_apollo_related,"944,526; 425,152; 291,472; 20,185,023; 15,321,641; 15,187,085; (5,344,883); 9,118",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-004,Schedule BA Part 1,5813,90117P-AQ-8,"1211 Avenue of the Americas Tr AOTA 2015-1211 E 4.142% 08/10/35 ................................ .......... New York ............................ ......... NY......... Transfer from Schedule D .................. ....... 3.C ........ ....01/01/2025 ... ....... ....... ......85,081,101 ...... 77,949,983 ...... 77,949,983 ......(6,856,740) ........129,259 ................. ................. ................. .....3,463,856 ................. ......0.000",3.C,schedule_ba_other_invested_asset,"081,101; 77,949,983; 77,949,983; 6,856,740); 463,856",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-005,Schedule BA Part 1,5813,04410R-AQ-9,"Ashford Hospitality Trust 2018 AHT1 2018-ASHF F 8.022% 04/15/35 ................................ .......... Dallas ............................... ......... TX......... Transfer from Schedule D .................. ....... 3.B ........ ....01/01/2025 ... ....... ....... ...... 46,997,050 ...... 46,962,386 ...... 46,962,386 ..........(34,664) ........407,905 ................. ................. ................. ..... 4,052,450 ................. ......0.000",3.B,schedule_ba_other_invested_asset,"46,997,050; 46,962,386; 46,962,386; 34,664); 4,052,450",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-006,Schedule BA Part 1,5813,61764B-AU-7,"Morgan Stanley Capital I Trust MSC 2014-150E G 4.295% 09/09/32 ..................................... .......... New York ............................ ......... NY......... Transfer from Schedule D .................. ........6. ........ ....01/01/2025 ... ....... ....... ...... 34,234,162 ...... 22,425,000 ...... 22,425,000 ................... .........20,409 ....11,809,162 ................. ................. ........595,159 ................. ......0.000 0599999. Debt securities that do not qualify as bonds - debt securities that lack substantive credit enhancement - NAIC Designation assigned by the SVO - unaffiliated 166,312,313 147,337,369 147,337,369 (6,891,404) 557,573 11,809,162 8,111,46",6.,structured_credit_or_cmbs,"34,234,162; 22,425,000; 22,425,000; 809,162; 166,312,313; 147,337,369; 147,337,369; (6,891,404)",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-007,Schedule BA Part 1,5813,L0009*-AB-4,"AP Dolphin (Luxembourg) S.a.r. AP Dolphin 4.750% 12/31/32 ..................................... .......... ...................................... .........LUX........ Transfer from Schedule D .................. ....... 2.B ........ ....01/01/2025 ... ....... ....... ...... 33,967,353 ...... 37,110,374 ...... 37,110,374 .........(723,954).....4,438,791 ................. ................. .....3,939,010 ..... 1,393,124 ................. ......0.000",2.B,affiliated_or_apollo_related,"33,967,353; 37,110,374; 37,110,374; 723,954; 438,791; 939,010; 1,393,124",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-008,Schedule BA Part 1,5813,G2964#-AB-5,"AP Grange Holdings LLC AP Grange Tranche B 5.000% 03/20/45 ..................................... .......... ...................................... .........CYM........ Transfer from Schedule D .................. ....... 2.B ........ ....01/01/2025 ... ....... ....... .....429,756,073 .....411,998,739 .....411,998,739 .....(17,743,830) ....42,889,185 ................. ................. ................. ....31,661,927 ................. ......0.000 0699999. Debt securities that do not qualify as bonds - debt securities that lack substantive credit enhancement - NAIC Designation assigned by the SVO - affiliated 463,723,426 449,109,113 449,109,113 (18,467,784) 47,327,976 3,939,010 33,055,051 XXX",2.B,affiliated_or_apollo_related,"756,073; 998,739; 998,739; 17,743,830); 889,185; 661,927; 463,723,426; 449,109,113",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-009,Schedule BA Part 2,5826,00455*-AA-8,"Ace Credit Fund LP ACE J59738 5.420% 04/01/69 ................................................ .................................................... .........IRL........ Direct ......................................................................................... ....10/01/2025 ... ....... ....... ................. 50,955,599 .............................. .............................. .................0.000",,credit_fund_or_private_credit_vehicle,"50,955,599",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-010,Schedule BA Part 2,5826,00455*-AB-6,"Ace Credit Fund LP ACE J59738 5.460% 07/18/68 ............................................... .................................................... .........IRL........ Direct ......................................................................................... ....10/01/2025 ... ....... ....... .................37,389,504 .............................. .............................. .................0.000 ....................... AP Aristotle Holdings LLC ............................................................................ WIlmington ....................................... ......... DE......... Transfer from Schedule D ..............................................................",,credit_fund_or_private_credit_vehicle,"389,504; 500,000",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
