extraction_id,company,linked_queue_id,source_id,source_url,source_period,page_or_section,line_refs,metric_label,value,unit,definition_bucket,what_it_supports,caveat,next_step
ADSE-001,AEP,ADST-001,AEP-T19,https://www.aep.com/news/stories/view/12135/,Q2 2026,official earnings release,lines 247-250,new load additions through 2030,69,GW,expected/contracted load headline,"Official release supports the Q2 2026 69 GW load headline plus turbine and affordability headlines.","Release headline alone does not provide state/customer split or full footnote definitions.","Use AEP Q2 presentation rows ADSE-002 to ADSE-006 for definition and state/regulatory context."
ADSE-002,AEP,ADST-001,AEP-T20,https://docs.aep.com/docs/newsroom/resources/earnings/2026-07/2Q26EarningsReleasePresentation.pdf,Q2 2026,slide/page 3,lines 67-74,incremental contracted load by 2030,69,GW,contracted load with footnote,"AEP presentation labels the 69 GW figure as incremental contracted load by 2030 and ties it to demand trends.","Footnote says forecasted data-center demand is supported by existing and future customer financial agreements subject to terms and conditions.","Extract exact slide image/table and preserve footnote in the next local table pass."
ADSE-003,AEP,ADST-001,AEP-T20,https://docs.aep.com/docs/newsroom/resources/earnings/2026-07/2Q26EarningsReleasePresentation.pdf,Q2 2026,slide/page 4,lines 79-112,incremental contracted load by 2030 up from Q1,69,GW,contracted load bridge,"AEP presentation explicitly states the 69 GW load figure is up from 63 GW disclosed on the Q1 2026 call and shows 7 GW of contracted load additions in 2026.","This is still an investor-deck bridge; it needs reconciliation to source table/footnote wording and utility/state mapping.","Tie this row to ADSE-008 and ADSE-010 to keep 69/63/56 comparable."
ADSE-004,AEP,ADST-005,AEP-T20,https://docs.aep.com/docs/newsroom/resources/earnings/2026-07/2Q26EarningsReleasePresentation.pdf,Q2 2026,slide/page 7,lines 138-148,expected cost offsets for residential customers,16,B USD,customer offset,"AEP says expected cost offsets come from fully executed take-or-pay ESAs within vertically integrated utilities and also cites DOE loans/grants and large-load tariff approvals.","Offsets are expected over the life of agreements and depend on ESA execution, regulatory treatment, and customer allocation.","Split offsets into ESA/customer-contribution, DOE financing, grants, securitization, and tariff categories."
ADSE-005,AEP,ADST-005,AEP-T20,https://docs.aep.com/docs/newsroom/resources/earnings/2026-07/2Q26EarningsReleasePresentation.pdf,Q2 2026,slide/page 8,lines 164-207,DOE loans and grants customer savings,1.4,B USD,projected savings,"AEP slide supports the DOE savings claim and gives more mechanism detail: nearly 400M USD in grants and roughly 5B USD DOE loans, including an AEP Texas loan.","Projected savings depend on loan/grant execution and state/rate treatment; this is not yet a customer bill outcome.","Match DOE loan/grant items to utility, project, award notice, state docket, and rate treatment."
ADSE-006,AEP,ADST-004,AEP-T20,https://docs.aep.com/docs/newsroom/resources/earnings/2026-07/2Q26EarningsReleasePresentation.pdf,Q2 2026,slide/page 15,lines 488-493,secured turbine capacity through 2031,13,GW,secured turbine capacity,"AEP presentation supports the physical procurement claim: secured turbine capacity through 2031.","Turbine capacity is not the same as approved generation capacity, interconnection, fuel supply, or in-service MW.","Extract project/utility mapping, delivery schedule, and approval status from AEP and state dockets."
ADSE-007,AEP,ADST-013,AEP-T20,https://docs.aep.com/docs/newsroom/resources/earnings/2026-07/2Q26EarningsReleasePresentation.pdf,Q2 2026,slide/page 9,lines 211-245,recent regulatory progress,multiple,mixed,regulatory progress,"AEP lists regulatory actions across PSO, AEP Ohio, I&M, Arkansas, West Virginia, SWEPCO, Louisiana, Texas, and Virginia.","This is a docket lookup map, not final regulatory proof; the exact orders and docket numbers still need extraction.","Create a state docket queue for each named regulatory action."
ADSE-008,AEP,ADST-002,AEP-T14,https://docs.aep.com/docs/newsroom/resources/earnings/2026-05/1Q26EarningsReleasePresentation.pdf,Q1 2026,slide/page 15,lines 521-568,incremental contracted load by 2030,63,GW,contracted load,"AEP Q1 presentation supports 63 GW contracted load by 2030, with annual ramp, RTO split, state split, and customer-type split.","The row shows LOAs and ESAs, with different ESA conversion percentages by RTO; this complicates simple signed-load language.","Preserve RTO, state, and LOA/ESA conversion percentages in the next normalized table."
ADSE-009,AEP,ADST-003,AEP-T14,https://docs.aep.com/docs/newsroom/resources/earnings/2026-05/1Q26EarningsReleasePresentation.pdf,Q1 2026,slide/page 17,lines 619-669,updated capital plan,78,B USD,capital plan,"AEP Q1 presentation supports the 78B USD 2026-2030 capital forecast and gives category percentages and a bridge from 72B USD.","The row gives category mix but still needs local table reconstruction and utility/entity allocation.","Extract 22% distribution, 42% transmission, 31% generation, and the 72B-to-78B reconciliation into a normalized capex table."
ADSE-010,AEP,ADST-002,AEP-T10,https://docs.aep.com/docs/newsroom/resources/earnings/2026-02/4Q25EarningsReleasePresentation.pdf,Q4 2025,slide/page 15,lines 515-552,incremental contracted load by 2030,56,GW,contracted load,"AEP Q4 presentation supports 56 GW contracted load by 2030, with RTO split, state split, customer split, and ESA/LOA wording.","The row says all 56 GW is backed by ESAs and LOAs and supported by about 180 GW of active projects; active queue is not the same as contracted load.","Compare to Q1 63 GW and Q2 69 GW without losing LOA/ESA distinctions."
