bridge_id,platform,channel_type,metric_or_status,period,value,unit,evidence_page,evidence_status,what_it_says,what_it_does_not_say,next_source
"CFISAQ-001","Apollo / Athene","owned and affiliated retirement-services liability channel","Retirement-services gross inflows","Q2 2026","22.069","B USD","capital-flow-apollo-athene-liability-to-credit-pass.md","company-supplement-extraction","Apollo/Athene has a large current retirement-services inflow channel.","It does not identify which liabilities funded which credit assets or borrowers.","Athene statutory statement, liability roll-forward, and investment allocation schedules."
"CFISAQ-002","Apollo / Athene","owned and affiliated retirement-services liability channel","Inflows attributable to Athene","Q2 2026","17.095","B USD","capital-flow-apollo-athene-liability-to-credit-pass.md","company-supplement-extraction","Athene-attributable inflows are a major component of Apollo's retirement-services flow.","It does not prove private-credit allocation or asset quality.","Athene Schedule D/BA and rating-agency asset-quality exhibits."
"CFISAQ-003","Apollo / Athene","owned and affiliated retirement-services liability channel","Net invested assets","Q2 2026","314.090","B USD","capital-flow-apollo-athene-liability-to-credit-pass.md","company-supplement-extraction","The invested-asset base is large enough to be a real capital-routing channel.","It does not separate public bonds, private credit, structured credit, real estate credit, or alternatives.","Asset-class allocation by rating, liquidity, affiliate, and NAIC designation."
"CFISAQ-004","Apollo / Athene","owned and affiliated retirement-services liability channel","Gross alternative investments","Q2 2026","20.396","B USD","capital-flow-apollo-athene-liability-to-credit-pass.md","company-supplement-extraction","Apollo discloses an alternatives bucket inside the retirement investment base.","The label does not equal all private credit and does not prove borrower destinations.","Alternative-investment composition and statutory/rating treatment."
"CFISAQ-005","Apollo / Athene","owned and affiliated retirement-services liability channel","Spread related earnings","Q2 2026","877","M USD","capital-flow-apollo-athene-liability-to-credit-pass.md","company-supplement-extraction","The liability/investment channel generates spread earnings.","Spread earnings do not prove risk-adjusted asset quality or absence of credit migration.","Net investment spread, impairments, realized losses, and capital charges."
"CFISAQ-006","Apollo / Athene","owned and affiliated retirement-services liability channel","Athene Accounts AUM","FY2025","392.2","B USD","capital-flow-apollo-athene-fy2025-asset-quality-pass.md","company-10k-extraction","Athene-related accounts are a large Apollo-managed capital base.","AUM does not prove statutory asset quality or borrower-level allocation.","Athene account investment schedules and affiliate exposure."
"CFISAQ-007","Apollo / Athene","owned and affiliated retirement-services liability channel","Floating-rate investments net of floating-rate liabilities","FY2025","3.5","B USD","capital-flow-apollo-athene-fy2025-asset-quality-pass.md","company-10k-extraction","Gross rate exposure appears largely offset at the net floating-rate level.","It does not address credit quality, liquidity, or asset-liability duration matching beyond rate exposure.","ALM, duration, surrender, and credit-quality tables."
"CFISAQ-008","KKR / Global Atlantic","owned and affiliated insurance platform plus sponsored reinsurance vehicles","Global Atlantic AUM","Q2 2026","220","B USD","capital-flow-kkr-global-atlantic-insurance-pass.md","company-supplement-extraction","KKR has a large insurance-linked capital base through Global Atlantic.","AUM does not identify liability type, asset quality, or private-credit allocation.","Global Atlantic statutory statements and asset allocation details."
"CFISAQ-009","KKR / Global Atlantic","owned and affiliated insurance platform plus sponsored reinsurance vehicles","Global Atlantic credit AUM","Q2 2026","164","B USD","capital-flow-kkr-global-atlantic-insurance-pass.md","company-supplement-extraction","The Global Atlantic channel is credit-heavy at platform scale.","Credit AUM is not automatically private credit or originated loans.","Public/private credit split, ratings mix, and statutory holdings."
"CFISAQ-010","KKR / Global Atlantic","owned and affiliated insurance platform plus sponsored reinsurance vehicles","Insurance investments","Q2 2026","189.204380","B USD","capital-flow-kkr-global-atlantic-q2-2026-10q-pass.md","company-10q-extraction","KKR's insurance channel has a visible investment-balance-sheet denominator.","It does not prove asset-class risk grade by itself.","Investment schedule by asset type, rating, level, and affiliate."
