reporting_entity,manager_or_platform,vehicle_taxonomy,capital_channel_group,public_or_private_visibility,classification_basis,confidence,ultimate_source_of_funds_status,next_document_needed,appears_in_borrower_cases,source_artifacts
Ares Capital Corporation,Ares,business development company,public BDC,public SEC filer,"Entity name and SEC-filed 10-Q portfolio schedules used in crosswalks.",high,"Ultimate investor mix not proven from borrower schedule rows.","ARCC 10-K/10-Q capital structure and shareholder/funding notes.",Valcourt; Sunvair; AeriTek; MAI Capital,"capital-flow-valcourt-sec-holder-crosswalk.csv; capital-flow-sunvair-sec-holder-crosswalk.csv; capital-flow-aeritek-sec-holder-crosswalk.csv; capital-flow-mai-sec-holder-crosswalk.csv"
FS KKR Capital Corp.,KKR / FS,business development company,public BDC,public SEC filer,"Entity name and SEC-filed 10-Q portfolio schedules used in crosswalks.",high,"Ultimate investor mix not proven from borrower schedule rows.","FSK 10-K/10-Q capital structure and funding notes.",Frontline Road Safety; Atwell,"capital-flow-frontline-sec-holder-crosswalk.csv; capital-flow-atwell-sec-holder-crosswalk.csv"
Goldman Sachs BDC Inc.,Goldman Sachs,business development company,public BDC,public SEC filer,"Entity name and SEC-filed 10-Q portfolio schedules used in crosswalks.",high,"Ultimate investor mix not proven from borrower schedule rows.","GSBD 10-K/10-Q capital structure and funding notes.",Frontline Road Safety; Relation Insurance,"capital-flow-frontline-sec-holder-crosswalk.csv; capital-flow-relation-sec-holder-crosswalk.csv"
Blue Owl Capital Corporation,Blue Owl,business development company,public BDC,public SEC filer,"Entity name and SEC-filed 10-K portfolio schedule used in crosswalk.",high,"Ultimate investor mix not proven from borrower schedule rows.","OBDC 10-K/10-Q capital structure and funding notes.",Precinmac,"capital-flow-precinmac-sec-holder-crosswalk.csv"
Kayne Anderson BDC Inc.,Kayne Anderson,business development company,public BDC,public SEC filer,"Entity name and SEC-filed 10-Q portfolio schedule used in crosswalk.",high,"Ultimate investor mix not proven from borrower schedule rows.","Kayne Anderson BDC 10-K/10-Q capital structure and funding notes.",AeriTek,"capital-flow-aeritek-sec-holder-crosswalk.csv"
KKR FS Income Trust Select,KKR / FS,non-traded BDC or private credit fund,non-traded BDC / private credit fund,SEC filer but not treated as listed BDC in this workstream,"Entity name, SEC-filed 10-Q schedule, and existing source map label.",medium,"Investor channel not proven; needs vehicle registration/prospectus confirmation.","Registration statement, prospectus, or annual report description of vehicle type and distribution channel.",Frontline Road Safety; Atwell,"capital-flow-frontline-sec-holder-crosswalk.csv; capital-flow-atwell-sec-holder-crosswalk.csv"
Ares Strategic Income Fund,Ares,non-traded BDC or private credit fund,non-traded BDC / private credit fund,SEC filer / supplement source,"Entity name, SEC-filed N-14/10-Q supplement schedules, and existing source map label.",medium,"Investor channel not proven; insurance-linked source not proven by borrower rows.","Prospectus, registration statement, annual report, and any advisory/funding relationship disclosures.",Frontline Road Safety; Sunvair; AeriTek; MAI Capital,"capital-flow-frontline-sec-holder-crosswalk.csv; capital-flow-sunvair-sec-holder-crosswalk.csv; capital-flow-aeritek-sec-holder-crosswalk.csv; capital-flow-mai-sec-holder-crosswalk.csv"
Goldman Sachs Private Credit Corp.,Goldman Sachs,non-traded BDC or private credit fund,non-traded BDC / private credit fund,SEC schedule resource,"Entity name, SEC schedule resource, and existing source map label.",medium,"Investor channel not proven; borrower rows only show commitments.","Registration statement, prospectus, annual report, and funding/capital-source disclosure.",Frontline Road Safety; Relation Insurance,"capital-flow-frontline-sec-holder-crosswalk.csv; capital-flow-relation-sec-holder-crosswalk.csv"
Senior Direct Lending Program LLC,Ares-linked SDLP,direct-lending program / joint venture-style credit vehicle,direct lending program / private credit vehicle,SEC exhibit / annual report schedule,"SDLP schedule appears in Ares-linked SEC exhibits and is used as a direct-lending program holder source.",medium,"Ownership, investor funding, and any insurance-account linkage are not proven from schedule rows alone.","SDLP formation/ownership notes, ARCC exhibit notes, annual report footnotes, and capital contribution disclosures.",Valcourt; Precinmac,"capital-flow-valcourt-sec-holder-crosswalk.csv; capital-flow-precinmac-sec-holder-crosswalk.csv"
CION Ares Diversified Credit Fund,CION / Ares,registered credit fund,registered credit fund,SEC filer / N-PORT schedule,"Entity name and SEC N-PORT schedule source used in Sunvair crosswalk.",medium,"Investor channel not proven beyond registered fund visibility.","Fund annual report, prospectus, and advisory/funding relationship disclosures.",Sunvair,"capital-flow-sunvair-sec-holder-crosswalk.csv"
